Model,Accuracy,Precision,Recall,F1_Score,AUC,CV_Mean,CV_Std
Logistic Regression,0.9542604205090373,0.9668508287292817,0.9678693705557019,0.9673598315346144,0.9769443892951923,0.9501959880101453,0.0017438478580759898
Random Forest,0.9461453338251568,0.9605781865965834,0.9626020542533579,0.9615890555117075,0.9804774619638985,0.9403735300899239,0.002954949383186681
Gradient Boosting,0.9474363703430468,0.9596858638743455,0.9654990782196471,0.9625836943678614,0.9804974777658476,0.94175697486742,0.0023541155670925174
SVM,0.9537071191442272,0.9658434051497635,0.9681327363708191,0.9669867157700908,0.9773913008245376,0.9484436246253172,0.0017656619524165581
Naive Bayes,0.766875691626706,0.9759488913942127,0.6839610218593627,0.8042737689687209,0.9369845829703612,0.7576665898086234,0.009844192277965251
