,SJR,H index,IPP,SNIP,Total Docs. (2023),Total Docs. (3years),Total Refs.,Est. value (USD) (2023),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration
count,18983.0,18983.0,18983.0,18983.0,18983.0,18983.0,18983.0,18983.0,18983.0,18983.0,18983.0,18983.0,18983.0,18983.0,18983.0
mean,0.8678364325975872,64.77284939156087,2.8622895848434813,1.0791925962324571,132.457936048043,391.67096876152345,6299.670547331823,2061488.018858979,1616.155770952958,0.08143531276208489,0.36564460756705486,366.4058368013486,2.6054569878312175,46.90569246167624,29.629984723173365
std,1.5281447961231283,66.88507408155407,5.17152422941652,1.5261310001584534,372.43327385017346,1059.2809980822158,20555.54400230053,6055527.926616447,7097.644833529671,0.10433224881412677,0.2039261584709699,1037.9716371133454,4.126951853234585,27.835661087305752,20.307522758750626
min,0.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
25%,0.318,25.0,1.0366750358680048,0.5935237493349849,29.0,86.0,1194.0,381428.0,115.0,0.0220195051672069,0.2073968855218855,81.0,0.97,31.53,15.0
50%,0.544,44.0,1.95652173913043,0.877805595620419,56.0,167.0,2417.0,793085.0,330.0,0.0499001996007984,0.3381818181818182,156.0,1.83,44.46,25.0
75%,0.944,81.0,3.390955464399415,1.27178245931003,124.0,375.0,5488.5,1876492.0,1018.0,0.0983812616092008,0.5,349.0,3.15,58.5,40.0
max,106.094,1442.0,508.896103896104,167.948450689578,22324.0,67033.0,1089152.0,368418582.0,310673.0,1.0,0.9946808510638298,66981.0,385.46,933.8,219.0
