,SJR,H index,IPP,SNIP,Total Docs. (2023),Total Docs. (3years),Total Refs.,Est. value (USD) (2023),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration
count,27107.0,27107.0,27107.0,27107.0,27107.0,27107.0,27107.0,27107.0,27107.0,27107.0,27107.0,27107.0,27107.0,27107.0,27107.0
mean,0.6635700372597484,48.917512081750104,2.145631057258957,0.8711997334686442,116.23735566458848,339.2529604899104,5447.154129929539,1700367.8715829859,1257.7264913122071,0.09385764828621015,0.47993688170703,318.7825284981739,1.9707754454568929,43.80894787324307,24.678533220201423
std,1.3188553337717879,61.57632461071831,4.480989128057358,1.3282369401502958,399.43415683315123,1106.8067306897788,22979.53378909689,6003050.478496016,6605.83416879367,0.12987323427436476,0.2626436016669643,1086.0882986578818,3.609821639175801,27.789671876380204,19.193633981692585
min,0.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
25%,0.183,12.0,0.436974789915966,0.3942872545910675,22.0,70.0,824.0,253238.0,40.0,0.0178571428571428,0.2567567567567567,65.0,0.43,28.53,11.0
50%,0.365,28.0,1.24390243902439,0.698090733955209,43.0,129.0,1736.0,548326.0,163.0,0.0516129032258064,0.4552845528455284,121.0,1.17,40.89,19.0
75%,0.743,62.0,2.692084078711985,1.0905540768539148,99.0,296.0,4112.0,1398581.5,645.0,0.1128411834897727,0.6987951807228916,274.0,2.53,55.36,33.0
max,106.094,1442.0,508.896103896104,167.948450689578,22324.0,67033.0,1386983.0,368418582.0,310673.0,1.0,0.9996316758747698,66981.0,385.46,933.8,219.0
