,Count,Percentage,Lower_Bound,Upper_Bound
SJR,1997.0,7.367100748884052,-0.657,1.5830000000000002
H index,1931.0,7.1236212048548335,-63.0,137.0
IPP,1648.0,6.079610432729553,-2.9456891432780616,6.074748011906013
SNIP,1322.0,4.876969048585236,-0.6501129788032035,2.134954310248186
Self-Cites/Total Cites (3years),2354.0,8.684103737042093,-0.12461891809180209,0.2553172444387176
Uncited Docs./Total Docs. (3years),0.0,0.0,-0.40630087919244573,1.361852816672094
