Model,Best_Score,Best_Params
Random Forest,0.9583699773702798,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
Gradient Boosting,0.9624229892510886,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200}"
