,SJR,H index,IPP,SNIP,Total Docs. (2023),Total Docs. (3years),Total Refs.,Est. value (USD) (2023),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration
count,8124.0,8124.0,8124.0,8124.0,8124.0,8124.0,8124.0,8124.0,8124.0,8124.0,8124.0,8124.0,8124.0,8124.0,8124.0
mean,0.18626957163958643,11.86903003446578,0.4710460216684813,0.3851917923256769,78.33542589857213,216.7700640078779,3455.115829640571,856554.016863614,420.20027080256034,0.12288438330030048,0.7469987034696038,207.50320039389464,0.4877424913835549,36.57291851304776,13.108690300344659
std,0.14782758174033203,15.434455332761717,0.7078518972725745,0.3272865142163505,454.1119024685576,1201.7948237058997,27731.899894236198,5791842.339029355,5185.711336821262,0.17217532626331566,0.1764980121318019,1183.5867705192218,0.736176359184557,26.29839347348486,8.628367696048565
min,0.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
25%,0.115,5.0,0.115384615384615,0.16255806769691825,14.0,48.0,462.0,130404.0,9.0,0.0,0.6551724137931034,44.0,0.13,23.19,7.0
50%,0.148,8.0,0.275862068965517,0.319686637023168,26.0,80.0,891.0,249543.0,24.0,0.0606060606060606,0.7787247932685333,75.0,0.28,33.8,11.0
75%,0.203,14.0,0.545454545454545,0.527101992700371,48.0,141.0,1585.0,466761.25,63.0,0.1692307692307692,0.8793622766929787,131.0,0.55,46.155,17.0
max,5.705,314.0,12.1685393258427,7.02346474665834,17611.0,41644.0,1386983.0,220829258.0,218392.0,1.0,0.9996316758747698,41295.0,11.5,584.0,118.0
