Publisher,0.0,1.0,Total,Problematic_Percentage
Wiley-Blackwell Publishing Ltd,11,416,427,2.576112412177986
Dove Medical Press Ltd,1,40,41,2.4390243902439024
BioMed Central Ltd,5,250,255,1.9607843137254901
IOP Publishing Ltd.,1,56,57,1.7543859649122806
American Psychological Association,1,66,67,1.4925373134328357
Elsevier Masson s.r.l.,1,123,124,0.8064516129032258
Springer Verlag,1,184,185,0.5405405405405406
Springer Science and Business Media Deutschland GmbH,1,224,225,0.4444444444444444
Springer,1,263,264,0.3787878787878788
Taylor and Francis Ltd.,5,1375,1380,0.36231884057971014
Elsevier B.V.,3,979,982,0.30549898167006106
Elsevier Inc.,1,332,333,0.3003003003003003
Elsevier Ltd,1,533,534,0.18726591760299627
Quintessence Publishing Company,0,7,7,0.0
Radiological Society of North America Inc.,0,5,5,0.0
De Gruyter Open Ltd,0,38,38,0.0
De Gruyter Open Ltd.,0,9,9,0.0
De Gruyter Mouton,0,41,41,0.0
De Gruyter Oldenbourg,0,11,11,0.0
Royal Society of Chemistry,0,48,48,0.0
Royal Society Publishing,0,5,5,0.0
National Research Council of Canada,0,13,13,0.0
Elsevier Ireland Ltd,0,49,49,0.0
Walter de Gruyter GmbH,0,264,264,0.0
MIT Press Journals,0,8,8,0.0
American Society of Civil Engineers (ASCE),0,33,33,0.0
American Phytopathological Society,0,5,5,0.0
Adis International Ltd,0,8,8,0.0
Academy of Management,0,5,5,0.0
W.B. Saunders Ltd,0,18,18,0.0
American Association for Cancer Research Inc.,0,8,8,0.0
Landes Bioscience,0,12,12,0.0
Public Library of Science,0,7,7,0.0
Kluwer Academic/Human Sciences Press Inc.,0,11,11,0.0
Kluwer Academic Publishers,0,16,16,0.0
Elsevier,0,5,5,0.0
Polish Academy of Sciences,0,6,6,0.0
Praise Worthy Prize S.r.l,0,6,6,0.0
Psychology Press Ltd,0,8,8,0.0
Penerbit Universiti Kebangsaan Malaysia,0,6,6,0.0
Optica Publishing Group (formerly OSA),0,9,9,0.0
Electromagnetics Academy,0,5,5,0.0
Nature Publishing Group,0,46,46,0.0
Emarald Group Publishing Ltd,0,6,6,0.0
European Mathematical Society Publishing House,0,18,18,0.0
Nature Research,0,30,30,0.0
Elsevier (Singapore) Pte Ltd,0,8,8,0.0
Elsevier Espana S.L.U,0,15,15,0.0
Elsevier GmbH,0,46,46,0.0
Elsevier Editora Ltda,0,6,6,0.0
Academie des sciences,0,6,6,0.0
Microbiology Society,0,6,6,0.0
Medical Journals Sweden AB,0,7,7,0.0
Springer-Verlag Wien,0,19,19,0.0
Springer-Verlag Italia s.r.l.,0,24,24,0.0
Cogent OA,0,5,5,0.0
Growing Science,0,6,6,0.0
Geological Society of London,0,6,6,0.0
Geological Society of America,0,5,5,0.0
Taylor and Francis Inc.,0,14,14,0.0
Taylor and Francis A.S.,0,5,5,0.0
SpringerOpen,0,40,40,0.0
The Royal Society,0,5,5,0.0
Springer Publishing Company,0,29,29,0.0
Springer Paris,0,7,7,0.0
