Feature,Importance
H index,0.3990259649908654
Uncited Docs./Total Docs. (3years),0.2607009712601781
Coverage_Duration,0.12679275409279428
SJR,0.1261404535288656
SNIP,0.03046644843132449
Self-Cites/Total Cites (3years),0.016151774829936454
Ref. / Doc.,0.014672382187199705
Total Docs. (2023),0.010984480871128141
Cites / Doc. (2years),0.005987777656057791
Total Cites (3years),0.005287781354746541
IPP,0.0037892107969034285
