Title,SJR,H index,Total Docs. (2009),Total Docs. (3years),Total Refs.,Est. value (USD) (2009),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Reviews of Modern Physics,36.88,399,47,103,14529,1154374.0,4162,0.0064872657376261,0.0485436893203883,100,35.0,309.13,97,American Physical Society
Cell,26.21,925,550,1603,20673,15683406.0,36942,0.0183260245790698,0.1185277604491578,1517,21.42,37.59,52,Elsevier B.V.
Annual Review of Neuroscience,25.89,269,18,65,3023,617824.0,1966,0.0045778229908443,0.0,65,27.27,167.94,47,Annual Reviews Inc.
Nature Genetics,24.768,660,256,915,7106,8399580.0,22434,0.0249621110813943,0.1103825136612021,810,25.42,27.76,34,Nature Research
Physiological Reviews,22.65,401,33,105,14749,997989.0,4410,0.0045351473922902,0.0,105,41.63,446.94,81,American Physiological Society
Ca-A Cancer Journal for Clinicians,22.215,223,39,114,2218,1086842.0,5114,0.0039108330074305,0.4385964912280701,106,58.86,56.87,76,John Wiley and Sons Inc
Nature Reviews Molecular Cell Biology,19.519,531,183,595,8365,5330378.0,10868,0.0077291129922708,0.5647058823529412,527,18.79,45.71,26,Nature Research
Annual Review of Biophysics,18.089,178,19,66,1818,560651.0,1347,0.0037119524870081,0.0303030303030303,65,19.85,95.68,17,Annual Reviews Inc.
Nature Immunology,17.635,452,206,658,7395,6159052.0,10507,0.0287427429332825,0.1671732522796352,566,16.69,35.9,26,Nature Research
Quarterly Journal of Economics,17.601,322,43,125,1984,1182806.0,1020,0.0313725490196078,0.04,125,7.4,46.14,140,Oxford University Press
Molecular Cell,17.237,459,368,1056,15229,9699813.0,14062,0.0360546152752097,0.0634469696969697,1040,13.41,41.38,29,Cell Press
Acta Crystallographica Section A: Foundations and Advances,16.68,92,49,175,1324,1254982.0,5853,0.0056381342901076,0.4171428571428571,172,46.05,27.02,13,John Wiley &amp; Sons Inc.
Annual Review of Plant Biology,16.31,307,24,83,3419,683680.0,2329,0.0107342206955775,0.0240963855421686,83,25.4,142.46,29,Annual Reviews Inc.
Nature Cell Biology,16.183,420,231,686,7008,6340565.0,9360,0.0117521367521367,0.1720116618075801,613,13.38,30.34,27,Nature Research
Immunity,16.015,475,206,588,9173,5130234.0,9283,0.0399655283852202,0.1071428571428571,548,15.54,44.53,32,Cell Press
Chemical Reviews,15.979,873,183,532,67000,4656801.0,16656,0.0090658021133525,0.0225563909774436,511,35.65,366.12,102,American Chemical Society
Advances in Physics,15.87,127,9,30,2301,256543.0,544,0.0,0.0333333333333333,30,21.78,255.67,72,Taylor and Francis Ltd.
Progress in Materials Science,15.561,255,26,53,4775,469376.0,1219,0.0073831009023789,0.0188679245283018,52,17.53,183.65,56,Elsevier Ltd
Nature Materials,15.548,583,226,704,5983,5988296.0,11873,0.0120441337488419,0.1974431818181818,614,17.55,26.47,24,Nature Publishing Group
Genes and Development,15.51,489,269,932,14918,8241125.0,12807,0.0227219489341766,0.0300429184549356,931,12.58,55.46,39,Cold Spring Harbor Laboratory Press
Nature,15.185,1442,2384,7340,35610,65482605.0,99929,0.0132093786588477,0.4028610354223433,4904,13.34,14.94,157,Nature Research
Cancer Cell,15.159,416,133,356,4007,3285721.0,6424,0.0126089663760896,0.0786516853932584,353,17.09,30.13,24,Cell Press
National Vital Statistics Reports,14.828,120,6,23,0,189745.0,830,0.0,0.0434782608695652,23,35.88,0.0,27,"Public Health Services, US Dept of Health and Human Services"
Current Opinion in Cell Biology,14.272,284,116,297,7247,2781362.0,4128,0.0072674418604651,0.074074074074074,276,14.07,62.47,37,Elsevier Ltd
Journal of Finance,13.359,370,81,256,3611,2214090.0,1648,0.0661407766990291,0.078125,251,4.76,44.58,80,Wiley-Blackwell Publishing Ltd
MMWR Recommendations and Reports,12.719,155,5,36,0,300448.0,1533,0.0,0.0555555555555555,36,35.68,0.0,35,Centers for Disease Control and Prevention (CDC)
"Vital and health statistics. Series 11, Data from the National Health Survey",12.686,13,1,1,11,14323.0,41,0.0,0.0,1,41.0,11.0,27,U.S. National Center for Health Statistics
Journal of Experimental Medicine,12.581,503,262,887,11846,8106274.0,13309,0.023142234578105,0.0574971815107102,853,14.52,45.21,128,Rockefeller University Press
Trends in Cell Biology,12.428,271,77,245,6192,2206877.0,3274,0.0076359193646915,0.036734693877551,241,12.7,80.42,35,Elsevier Ltd
Cell Stem Cell,12.348,316,180,273,5188,1871037.0,3557,0.064661231374754,0.1794871794871795,232,13.03,28.82,19,Cell Press
Annual Review of Psychology,12.326,298,28,71,4203,604954.0,1918,0.0114702815432742,0.028169014084507,70,26.84,150.11,74,Annual Reviews Inc.
Nature Structural and Molecular Biology,12.133,310,231,679,8764,5783104.0,6170,0.0210696920583468,0.1561119293078056,641,9.31,37.94,23,Nature Research
Quarterly Reviews of Biophysics,12.101,111,10,23,1488,256447.0,333,0.003003003003003,0.0434782608695652,23,10.6,148.8,57,Cambridge University Press
Nature Physics,12.03,349,275,786,5148,5342684.0,6991,0.0224574452867973,0.3905852417302799,676,8.78,18.72,21,Nature Publishing Group
Science,11.897,1382,2283,6790,34567,59059552.0,87843,0.0101544801520895,0.312960235640648,4831,12.59,15.14,145,American Association for the Advancement of Science
Developmental Cell,11.827,306,200,603,9255,5202266.0,6049,0.0279385022317738,0.1310116086235489,598,9.6,46.28,25,Cell Press
Journal of Political Economy,11.806,225,31,102,1103,943314.0,573,0.0087260034904013,0.0980392156862745,99,4.77,35.58,48,University of Chicago Press
New England Journal of Medicine,11.765,1231,1620,4974,18323,40311707.0,63094,0.0084477129362538,0.4782870928829915,1945,12.67,11.31,81,Massachussetts Medical Society
Econometrica,11.666,231,66,164,2077,1510990.0,846,0.0472813238770685,0.1768292682926829,161,4.38,31.47,43,Wiley-Blackwell Publishing Ltd
Progress in Polymer Science,11.539,346,43,107,10027,954289.0,2632,0.0178571428571428,0.0093457943925233,106,26.42,233.19,51,Elsevier Ltd
Nature Reviews Immunology,11.366,486,191,588,7947,5151705.0,8729,0.0112269446672012,0.5714285714285714,540,14.64,41.61,25,Nature Research
Nature Nanotechnology,11.107,444,229,465,4929,3108474.0,6506,0.0250537964955425,0.232258064516129,420,13.55,21.52,20,Nature Publishing Group
Nature Neuroscience,11.015,496,278,819,9066,7246801.0,9673,0.0217099141941486,0.1391941391941392,767,11.35,32.61,28,Nature Research
Neuron,10.998,548,368,1148,18600,9992209.0,13089,0.0464512185804874,0.1236933797909407,1139,10.52,50.54,38,Cell Press
Aldrichimica Acta,10.954,62,12,24,672,205330.0,418,0.0023923444976076,0.0416666666666666,23,17.82,56.0,34,Aldrich
Endocrine Reviews,10.53,317,31,105,8773,914582.0,2349,0.0068114091102596,0.0476190476190476,102,21.61,283.0,46,The Endocrine Society
Trends in Biochemical Sciences,10.467,309,86,254,5338,2301692.0,2943,0.0146109412164458,0.0708661417322834,239,11.29,62.07,50,Elsevier Ltd
Review of Economic Studies,10.425,177,50,138,2044,1186760.0,544,0.0275735294117647,0.1376811594202898,138,3.42,40.88,93,Oxford University Press
Genome Research,10.404,338,234,576,11554,4993288.0,7165,0.0466154919748778,0.0208333333333333,571,11.94,49.38,35,Cold Spring Harbor Laboratory Press
Annual Review of Genomics and Human Genetics,10.399,134,23,55,2929,478834.0,801,0.0087390761548064,0.0181818181818181,55,13.32,127.35,25,Annual Reviews Inc.
Nature Reviews Cancer,10.315,527,194,617,9940,5320080.0,8746,0.0117768122570317,0.5786061588330632,550,12.37,51.24,25,Nature Publishing Group
Chemical Society Reviews,10.253,673,230,423,20009,3634808.0,8381,0.0120510678916597,0.0496453900709219,418,19.57,87.0,54,Royal Society of Chemistry
Microbiology and Molecular Biology Reviews,10.205,287,32,89,7195,764248.0,1519,0.0085582620144832,0.0112359550561797,89,13.79,224.84,28,American Society for Microbiology
Annual Review of Pathology: Mechanisms of Disease,10.126,156,22,59,3177,280131.0,941,0.004250797024442,0.0508474576271186,56,13.41,144.41,19,Annual Reviews Inc.
Nature Reviews Genetics,10.075,439,187,611,7609,4973379.0,7134,0.0133165124754695,0.5908346972176759,549,12.5,40.69,26,Nature Research
Accounts of Chemical Research,10.06,472,183,429,8755,3566016.0,7420,0.0060646900269541,0.0139860139860139,417,18.08,47.84,58,American Chemical Society
Annual Review of Microbiology,10.04,220,29,78,3319,671285.0,1173,0.0093776641091219,0.0769230769230769,75,13.74,114.45,74,Annual Reviews Inc.
