Title,SJR,H index,Total Docs. (2022),Total Docs. (3years),Total Refs.,Est. value (USD) (2022),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Nature Neuroscience,12.124,496,227,626,10278,5788097.0,12284,0.0116411592315206,0.1661341853035143,562,17.88,45.28,28,Nature Research
Advances in Physics,12.034,127,2,15,432,107769.0,324,0.0,0.3333333333333333,13,24.27,216.0,72,Taylor and Francis Ltd.
Annals of Oncology,11.945,311,167,839,5885,7041800.0,16560,0.0080917874396135,0.2038140643623361,493,18.78,35.24,36,Elsevier Ltd
Nature Photonics,11.774,404,180,552,5536,4899506.0,12565,0.0120970951054516,0.2554347826086957,338,22.71,30.76,19,Nature Publishing Group
Living Reviews in Relativity,11.561,101,6,14,3396,139203.0,536,0.0074626865671641,0.0714285714285714,14,39.38,566.0,28,Springer International Publishing AG
Nature Reviews Disease Primers,11.388,210,53,265,8171,2191426.0,8282,0.0008452064718666,0.2226415094339622,163,25.24,154.17,11,Nature Publishing Group
The Lancet Respiratory Medicine,11.204,197,272,941,4865,7555929.0,14473,0.0069094175361017,0.2805526036131774,401,17.52,17.89,13,Elsevier Ltd
Science Immunology,11.191,123,194,428,11206,3626237.0,8146,0.0176773876749324,0.1658878504672897,410,19.75,57.76,10,American Association for the Advancement of Science
Nature Reviews Chemistry,10.967,131,101,265,8804,2501800.0,4683,0.0070467648942985,0.3660377358490566,160,17.46,87.17,9,Nature Publishing Group
Nature Electronics,10.927,131,177,481,4322,3290961.0,7897,0.0188679245283018,0.3284823284823285,276,17.5,24.42,8,Nature Publishing Group
Nature Immunology,10.921,452,284,745,9675,6515155.0,11134,0.0151787318124663,0.338255033557047,513,15.2,34.07,26,Nature Research
Academy of Management Journal,10.91,396,79,221,9033,2035409.0,2495,0.0529058116232464,0.0271493212669683,220,9.11,114.34,50,Academy of Management
American Economic Journal: Macroeconomics,10.871,88,54,123,2783,1073968.0,754,0.0225464190981432,0.1056910569105691,123,5.54,51.54,16,American Economic Association
Journal of Marketing,10.802,296,53,167,3755,1371525.0,2550,0.0372549019607843,0.0419161676646706,144,12.38,70.85,38,American Marketing Association
Academy of Management Review,10.687,320,40,167,3583,1260408.0,1927,0.0259470679813181,0.1077844311377245,153,11.91,89.58,43,Academy of Management
Annual Review of Condensed Matter Physics,10.644,96,18,59,2804,507543.0,1410,0.0,0.0677966101694915,59,23.05,155.78,15,Annual Reviews Inc.
Journal of Financial Economics,10.601,331,203,494,11785,4247144.0,4321,0.047442721592224,0.0668016194331983,490,7.81,58.05,52,Elsevier B.V.
The Lancet Public Health,10.591,106,169,493,4465,3980132.0,7596,0.0056608741442864,0.2251521298174442,175,18.93,26.42,10,Elsevier Ltd
Nature Reviews Microbiology,10.396,393,166,509,8083,4496339.0,12838,0.0041283689048138,0.518664047151277,362,25.15,48.69,23,Nature Research
Annual Review of Economics,10.247,84,33,90,3832,711415.0,745,0.0174496644295302,0.1444444444444444,90,5.49,116.12,15,Annual Reviews Inc.
Cell Host and Microbe,10.227,255,208,601,9741,4995939.0,11845,0.0124102997045166,0.1597337770382695,522,21.23,46.83,19,Cell Press
Nature Reviews Gastroenterology and Hepatology,10.178,211,160,448,8596,3669320.0,10781,0.0057508579909099,0.328125,272,21.68,53.73,17,Nature Research
Journal of Clinical Oncology,10.163,646,569,1631,16722,14460295.0,25845,0.0184561810795124,0.2912323727774371,1156,16.77,29.39,43,Lippincott Williams and Wilkins
Cell Metabolism,10.037,368,174,668,10484,5423693.0,14332,0.0112336031258721,0.1137724550898203,590,19.84,60.25,21,Cell Press
Annual Review of Public Health,9.963,189,29,86,3392,697263.0,2128,0.0061090225563909,0.0232558139534883,56,19.79,116.97,44,Annual Reviews Inc.
Astronomy and Astrophysics Review,9.937,84,8,24,2605,186903.0,683,0.0043923865300146,0.0,24,23.88,325.63,35,Springer Verlag
The Lancet Neurology,9.819,379,270,776,5157,6932813.0,11571,0.0074323740385446,0.4729381443298969,329,12.08,19.1,24,Elsevier Ltd
Nature Cancer,9.817,81,169,285,6654,1592584.0,3414,0.0117164616285881,0.2666666666666666,183,11.98,39.37,6,Nature Research
Nature Cell Biology,9.568,420,217,516,9732,4824528.0,8618,0.0074263170109074,0.2306201550387596,405,12.39,44.85,27,Nature Research
Molecular Cell,9.541,459,399,1275,24796,10738390.0,17838,0.0299360914900773,0.1364705882352941,1186,12.06,62.15,29,Cell Press
Advanced Materials,9.538,675,1819,4318,137713,38819979.0,130899,0.0335984232117892,0.017137563686892,4274,29.03,75.71,37,Wiley-Blackwell
Nature Reviews Methods Primers,9.476,67,71,83,8596,357839.0,1661,0.0096327513546056,0.072289156626506,44,20.01,121.07,4,Springer Nature
The Lancet Microbe,9.419,53,163,233,3495,1579198.0,2782,0.0068296189791516,0.278969957081545,83,11.94,21.44,6,Elsevier Ltd
Nature Reviews Physics,9.34,87,134,346,7897,1890032.0,5275,0.0062559241706161,0.4161849710982659,170,13.22,58.93,7,Springer International Publishing
Genome Biology,9.249,319,262,920,17613,7065450.0,14380,0.022183588317107,0.075,887,11.48,67.23,26,BioMed Central Ltd
Annual Review of Psychology,9.226,298,30,86,4448,700921.0,2552,0.0054858934169279,0.0348837209302325,83,25.91,148.27,74,Annual Reviews Inc.
Nature Microbiology,9.187,157,252,668,12094,5531640.0,12557,0.0082822330174404,0.1497005988023952,478,21.72,47.99,10,Nature Research
Cell Stem Cell,9.156,316,152,581,8860,4780741.0,8762,0.0208856425473636,0.1996557659208261,503,14.86,58.29,19,Cell Press
Reviews of Geophysics,9.061,207,23,76,9337,595536.0,2238,0.0044682752457551,0.0394736842105263,74,26.68,405.96,63,John Wiley and Sons Inc
Advanced Energy Materials,9.044,355,794,2030,67838,18233472.0,56646,0.0374783744659817,0.012807881773399,2018,27.46,85.44,15,John Wiley and Sons Inc
Electrochemical Energy Reviews,8.905,76,46,68,9804,336937.0,2384,0.0209731543624161,0.0,68,32.92,213.13,8,Springer Science and Business Media B.V.
Molecular Cancer,8.703,222,207,469,17557,3908683.0,16505,0.0210239321417752,0.0703624733475479,421,28.76,84.82,24,BioMed Central Ltd
Annual Review of Pathology: Mechanisms of Disease,8.628,156,0,83,0,493970.0,2418,0.0,0.072289156626506,83,27.05,0.0,19,Annual Reviews Inc.
Journal of Economic Perspectives,8.59,239,41,128,2638,1059200.0,1603,0.0062383031815346,0.09375,127,8.8,64.34,33,American Economic Association
Gut,8.588,364,339,1003,14129,8016281.0,17244,0.0199489677569009,0.1794616151545364,632,16.09,41.68,66,BMJ Publishing Group
Progress in Materials Science,8.515,255,83,174,27307,1555511.0,8128,0.0043061023622047,0.0172413793103448,173,43.37,329.0,56,Elsevier Ltd
Strategic Management Journal,8.497,351,102,273,8259,2573928.0,2489,0.0614704700683005,0.0402930402930402,270,7.75,80.97,46,John Wiley and Sons Ltd
Annual Review of Neuroscience,8.389,269,27,72,4087,633472.0,1180,0.009322033898305,0.0138888888888888,72,14.31,151.37,47,Annual Reviews Inc.
Review of Economics and Statistics,8.371,211,90,197,4125,1731376.0,1173,0.0144927536231884,0.1065989847715736,197,5.13,45.83,47,MIT Press Journals
Journal of the American College of Cardiology,8.343,512,645,2691,18343,21848818.0,25744,0.0283561218147917,0.3370494240059457,1161,9.33,28.44,43,Elsevier Inc.
Advances in Optics and Photonics,8.332,91,11,51,3578,360905.0,1197,0.0008354218880534,0.196078431372549,41,26.9,325.27,16,Optica Publishing Group (formerly OSA)
Nucleic Acids Research,8.234,675,1269,3860,76231,31687632.0,70081,0.0374423880937772,0.0746113989637305,3854,14.5,60.07,52,Oxford University Press
The Lancet Diabetes and Endocrinology,8.217,189,192,586,4073,4947528.0,7392,0.0131222943722943,0.3583617747440273,240,13.43,21.21,13,Elsevier Ltd
American Economic Journal: Economic Policy,8.175,97,65,152,3636,1298688.0,930,0.0172043010752688,0.0592105263157894,152,4.9,55.94,16,American Economic Association
The Lancet Psychiatry,8.167,160,254,941,4532,7294824.0,11003,0.0086340089066618,0.436769394261424,317,14.04,17.84,12,Elsevier Ltd
Nature Chemistry,8.14,308,237,622,9584,5385145.0,9158,0.007534396156366,0.2266881028938907,469,14.13,40.44,17,Nature Publishing Group
The Lancet Infectious Diseases,8.14,304,496,1492,7771,12148768.0,18206,0.0070855761836757,0.3552278820375335,590,14.08,15.67,25,Elsevier Ltd
Annual Review of Plant Biology,8.131,307,27,111,4341,855721.0,2849,0.0045630045630045,0.063063063063063,106,19.88,160.78,29,Annual Reviews Inc.
Nature Reviews Endocrinology,8.124,224,173,450,7816,3945085.0,6996,0.0055746140651801,0.3666666666666666,203,13.52,45.18,17,Nature Publishing Group
JAMA Oncology,8.103,193,379,1253,6165,10324825.0,11907,0.0097421684723272,0.4189944134078212,515,9.03,16.27,11,American Medical Association
Cell Research,8.06,232,153,441,4889,3467658.0,8200,0.0057317073170731,0.1859410430839002,258,21.3,31.95,30,Springer Nature
Nature Physics,7.955,349,359,988,10302,8328561.0,10625,0.016,0.3795546558704453,522,10.76,28.7,21,Nature Publishing Group
ACS Energy Letters,7.855,223,509,1334,26747,10970032.0,27787,0.0364918846942814,0.0307346326836581,1263,20.54,52.55,10,American Chemical Society
Circulation,7.8,691,558,2313,20537,18855551.0,33514,0.0147401086113266,0.3324686554258538,1468,14.52,36.8,76,Lippincott Williams and Wilkins
Neuron,7.736,548,374,1262,25081,10688624.0,14868,0.0308716707021791,0.2083993660855784,1119,10.49,67.06,38,Cell Press
American Political Science Review,7.734,215,105,268,7432,2098232.0,1933,0.0434557682359027,0.1380597014925373,258,6.09,70.78,120,Cambridge University Press
IEEE Journal on Selected Areas in Communications,7.656,274,242,685,11676,5052053.0,11544,0.0289327789327789,0.0423357664233576,660,17.67,48.25,43,Institute of Electrical and Electronics Engineers Inc.
Gastroenterology,7.645,482,705,2237,15824,17740768.0,23217,0.0249386225610544,0.4050067054090299,1104,10.5,22.45,81,W.B. Saunders
Psychological Bulletin,7.635,379,29,124,7652,976006.0,2715,0.0125230202578268,0.032258064516129,120,21.08,263.86,122,American Psychological Association
Marketing Science,7.593,159,59,169,2478,1328439.0,1100,0.0481818181818181,0.136094674556213,163,4.91,42.0,30,INFORMS Institute for Operations Research and the Management Sciences
Clinical Microbiology Reviews,7.584,340,29,116,10347,897798.0,3788,0.0042238648363252,0.0344827586206896,115,26.48,356.79,37,American Society for Microbiology
Nature Structural and Molecular Biology,7.549,310,171,498,8031,4091685.0,5276,0.0104245640636846,0.251004016064257,415,10.53,46.96,23,Nature Research
Journal of Marketing Research,7.415,212,64,180,3874,1435917.0,1478,0.0446549391069012,0.05,177,5.86,60.53,32,American Marketing Association
American Sociological Review,7.412,240,37,126,3821,958206.0,1515,0.0264026402640264,0.0873015873015873,119,7.45,103.27,61,American Sociological Association
Journal of Hepatology,7.398,319,432,1262,14377,10097108.0,17289,0.0332003007692752,0.251188589540412,655,12.93,33.28,41,Elsevier B.V.
JAMA Cardiology,7.371,127,259,894,4249,6806615.0,8638,0.0109979161843019,0.4373601789709172,434,10.94,16.41,10,American Medical Association
The Lancet Global Health,7.37,153,373,1064,6220,8430900.0,9462,0.0110970196575776,0.3148496240601504,359,9.29,16.68,13,Elsevier Ltd
Cancer Discovery,7.268,250,462,1102,11292,9132692.0,11844,0.0151131374535629,0.4519056261343013,701,9.5,24.44,15,American Association for Cancer Research Inc.
Living Reviews in Solar Physics,7.235,74,3,13,1522,108769.0,300,0.0066666666666666,0.0,13,20.13,507.33,21,Springer International Publishing AG
Journal of Management,7.213,296,78,251,8814,2173734.0,3713,0.0201992997576084,0.0398406374501992,240,13.79,113.0,51,SAGE Publications Inc.
Endocrine Reviews,7.205,317,36,105,9565,907760.0,2804,0.0042796005706134,0.0761904761904762,105,21.19,265.69,46,The Endocrine Society
The Lancet Regional Health - Europe,7.133,55,246,243,5683,1176572.0,2863,0.0136220747467691,0.1934156378600823,135,11.78,23.1,5,Elsevier Ltd
Manufacturing and Service Operations Management,7.126,116,186,232,9102,2182093.0,1856,0.1099137931034482,0.0991379310344827,229,7.44,48.94,27,INFORMS Institute for Operations Research and the Management Sciences
Cell Systems,7.112,98,94,326,5314,2698328.0,3030,0.0105610561056105,0.1441717791411043,295,7.89,56.53,11,Cell Press
Nature Metabolism,7.045,92,190,466,8778,2392411.0,6196,0.0166236281471917,0.223175965665236,342,12.98,46.2,7,Springer Berlin
Annual Review of Organizational Psychology and Organizational Behavior,7.036,86,18,53,2238,440738.0,694,0.0187319884726224,0.0754716981132075,50,11.79,124.33,12,Annual Reviews Inc.
Nature Reviews Neuroscience,6.97,493,118,433,9878,3675608.0,5182,0.0046314164415283,0.6004618937644342,290,10.58,83.71,26,Springer Nature
European Urology,6.963,274,374,1400,5615,10998840.0,10595,0.0267107126002831,0.4778571428571428,455,7.19,15.01,51,Elsevier B.V.
Nature Reviews Cardiology,6.932,201,158,511,7993,3953843.0,7596,0.0067140600315955,0.4442270058708414,245,15.7,50.59,17,Nature Research
Annual Review of Biophysics,6.926,178,23,63,3205,566980.0,988,0.0040485829959514,0.0,63,12.8,139.35,17,Annual Reviews Inc.
Nature Climate Change,6.849,296,287,812,9182,6604756.0,11871,0.0138151798500547,0.2894088669950739,382,15.02,31.99,15,Nature Research
Materials Science and Engineering R: Reports,6.842,182,15,77,4386,497492.0,2624,0.0034298780487804,0.0,77,31.87,292.4,33,Elsevier B.V.
Chem,6.8,167,261,762,12775,5909248.0,12776,0.0113494051346274,0.1430446194225721,664,15.53,48.95,10,Elsevier Inc.
Annals of Mathematics,6.76,145,29,104,1543,805124.0,611,0.0130932896890343,0.0769230769230769,104,4.47,53.21,30,Department of Mathematics at Princeton University
Annual Review of Clinical Psychology,6.744,158,22,65,2911,511539.0,1353,0.0044345898004434,0.0307692307692307,64,18.2,132.32,20,Annual Reviews Inc.
Nature Protocols,6.732,320,110,534,7215,3798771.0,8402,0.0067840990240418,0.0786516853932584,529,14.07,65.59,20,Springer Nature
JAMA Neurology,6.697,284,220,772,4651,5799112.0,8155,0.0094420600858369,0.3626943005181347,421,11.56,21.14,13,American Medical Association
JAMA,6.695,794,1525,4817,13298,37052305.0,57602,0.0071178084094302,0.4490346688810463,1856,14.32,8.72,143,American Medical Association
Foundations and Trends in Signal Processing,6.676,22,4,6,538,54838.0,87,0.0114942528735632,0.1666666666666666,6,19.5,134.5,17,Now Publishers Inc
Signal Transduction and Targeted Therapy,6.63,161,388,776,39725,5205748.0,14846,0.0117203287080695,0.1056701030927835,477,19.24,102.38,10,Springer Nature
Nature Biomedical Engineering,6.625,140,142,441,7174,3321065.0,7352,0.0092491838955386,0.2086167800453514,329,18.0,50.52,9,Nature Research
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,6.582,52,6,26,327,180757.0,119,0.0,0.1153846153846153,26,4.56,54.5,63,Springer Verlag
JAMA Psychiatry,6.578,417,204,691,5614,5407091.0,7704,0.0116822429906542,0.2474674384949348,376,11.48,27.52,13,American Medical Association
Nature Sustainability,6.568,146,178,556,6849,3298760.0,10781,0.0077914850199424,0.1780575539568345,379,20.06,38.48,8,Nature Publishing Group
IEEE Wireless Communications,6.556,198,134,467,1737,3174970.0,6780,0.0128318584070796,0.0749464668094218,430,12.87,12.96,24,Institute of Electrical and Electronics Engineers Inc.
Organization Science,6.541,294,105,226,10912,1800428.0,1332,0.069069069069069,0.1017699115044247,226,4.48,103.92,30,INFORMS Institute for Operations Research and the Management Sciences
Nature Reviews Neurology,6.536,225,158,473,8538,3777038.0,6394,0.0053174851423209,0.4164904862579281,265,11.99,54.04,17,Nature Research
Nature Reviews Nephrology,6.494,177,141,415,8688,3085381.0,5846,0.0104344851180294,0.380722891566265,210,14.22,61.62,17,Nature Publishing Group
Annals of the Rheumatic Diseases,6.489,300,474,1427,10969,10685082.0,12986,0.0599106730324965,0.3076384022424667,599,9.31,23.14,80,Elsevier B.V.
Science Robotics,6.479,122,90,292,4518,1766854.0,5645,0.0221434898139946,0.0958904109589041,235,14.43,50.2,10,American Association for the Advancement of Science
The Lancet Digital Health,6.433,85,126,348,3283,1756159.0,4321,0.0131913908817403,0.1954022988505747,145,13.92,26.06,7,Elsevier Ltd
Accounts of Chemical Research,6.382,472,306,975,20429,7881687.0,20201,0.0061383099846542,0.0205128205128205,951,18.18,66.76,58,American Chemical Society
Science Translational Medicine,6.361,303,331,1222,21497,9311567.0,16102,0.0082598434977021,0.2176759410801964,1134,13.26,64.95,17,American Association for the Advancement of Science
Acta Numerica,6.341,91,5,20,1003,132032.0,401,0.0049875311720698,0.05,20,15.21,200.6,33,Cambridge University Press
Psychological Science in the Public Interest,6.295,62,7,20,936,151731.0,271,0.0,0.25,11,14.29,133.71,25,SAGE Publications Inc.
Physical Review X,6.267,198,218,782,17150,6073655.0,10836,0.0167958656330749,0.0294117647058823,779,12.35,78.67,15,American Physical Society
EnergyChem,6.26,50,21,55,6102,204263.0,1566,0.0268199233716475,0.0181818181818181,54,24.0,290.57,7,Elsevier B.V.
Journal of the Academy of Marketing Science,6.248,221,63,188,5621,1374587.0,3173,0.0466435549952726,0.0638297872340425,172,19.04,89.22,53,Springer New York
American Journal of Respiratory and Critical Care Medicine,6.237,436,623,2206,13540,16559822.0,14851,0.0343411218099791,0.3776065276518586,787,6.4,21.73,33,American Thoracic Society
Journal of Experimental Medicine,6.237,503,170,856,11243,6058827.0,10993,0.009278631856636,0.1109813084112149,826,12.57,66.14,128,Rockefeller University Press
Intensive Care Medicine,6.229,246,335,1086,6002,8197882.0,10742,0.0259728169800782,0.3103130755064456,452,12.49,17.92,49,Springer Science and Business Media Deutschland GmbH
Molecular Systems Biology,6.22,178,64,223,4390,1678585.0,2274,0.0123131046613896,0.0627802690582959,203,9.1,68.59,21,Springer Science and Business Media Deutschland GmbH
Nature Machine Intelligence,6.21,94,153,339,7112,1929039.0,6693,0.0134468848050201,0.1740412979351032,221,17.81,46.48,7,Springer International Publishing
Materials Today,6.194,244,147,414,18414,3064211.0,9734,0.0099650708855557,0.0314009661835748,411,22.67,125.27,25,Elsevier B.V.
Nature Reviews Earth and Environment,6.193,91,120,224,9145,1056560.0,3727,0.0136839280922994,0.4375,168,16.64,76.21,6,Springer International Publishing
The Lancet Gastroenterology and Hepatology,6.174,123,223,648,4936,4854755.0,6460,0.009907120743034,0.375,244,11.28,22.13,10,Elsevier Ltd
InfoMat,6.153,86,85,183,9981,395609.0,4389,0.0277967646388699,0.0163934426229508,182,23.5,117.42,7,John Wiley and Sons Ltd
Journal of Business and Economic Statistics,6.15,122,167,208,6831,1909192.0,1148,0.0383275261324041,0.2548076923076923,193,3.19,40.9,43,Taylor and Francis Ltd.
Journal of Applied Psychology,6.13,353,128,333,14973,2507117.0,3511,0.0902876673312446,0.063063063063063,330,10.04,116.98,109,American Psychological Association
Nature Geoscience,6.11,280,215,551,9896,4522679.0,8042,0.0115642874906739,0.1887477313974591,431,13.56,46.03,18,Nature Publishing Group
Journal of Accounting and Economics,6.1,197,48,133,3124,1048327.0,826,0.0702179176755447,0.112781954887218,131,4.83,65.08,47,Elsevier B.V.
Journal of the European Economic Association,6.087,125,63,219,3513,1572967.0,858,0.0151515151515151,0.1917808219178082,219,3.34,55.76,23,Wiley-Blackwell
Journal of Hematology and Oncology,6.046,171,169,496,18270,3463580.0,11337,0.0168474905177736,0.0483870967741935,432,21.14,108.11,18,BioMed Central Ltd
Journal of Consumer Research,6.024,234,52,175,3912,1367141.0,1431,0.0517120894479385,0.1371428571428571,173,6.39,75.23,33,Oxford University Press
Diabetes Care,6.008,433,491,1466,16726,11374828.0,18316,0.0362524568683118,0.1575716234652114,1133,12.83,34.07,48,American Diabetes Association Inc.
Trends in Cell Biology,5.987,271,104,279,6898,2317686.0,4380,0.0029680365296803,0.07168458781362,276,15.09,66.33,35,Elsevier Ltd
Journal of the American Chemical Society,5.945,734,2494,7403,150765,58194538.0,115151,0.0530086581966287,0.0241793867351073,7390,14.87,60.45,147,American Chemical Society
Journal of Monetary Economics,5.944,158,83,324,3254,2183272.0,1274,0.0345368916797488,0.2746913580246913,320,3.48,39.2,51,Elsevier B.V.
Journal of Thoracic Oncology,5.866,190,202,973,5131,6599881.0,8520,0.0265258215962441,0.2517985611510791,496,9.34,25.4,20,Elsevier Inc.
Journal of the American Mathematical Society,5.848,116,19,66,975,508693.0,262,0.0,0.106060606060606,66,3.72,51.32,38,American Mathematical Society
