Title,SJR,H index,Total Docs. (2022),Total Docs. (3years),Total Refs.,Est. value (USD) (2022),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Ca-A Cancer Journal for Clinicians,86.091,223,41,118,3509,1469555.0,31031,0.0010956785150333,0.1949152542372881,85,306.76,85.59,76,John Wiley and Sons Inc
Quarterly Journal of Economics,36.73,322,48,122,3272,1338635.0,2160,0.0208333333333333,0.0081967213114754,122,15.0,68.17,140,Oxford University Press
Nature Reviews Molecular Cell Biology,34.201,531,114,327,9761,3547285.0,13271,0.0042197272247758,0.363914373088685,155,36.31,85.62,26,Nature Research
Cell,26.494,925,415,1631,27134,16069600.0,69365,0.0081453182440712,0.1042305334150827,1434,44.87,65.38,52,Elsevier B.V.
New England Journal of Medicine,26.015,1231,1413,4568,14682,43279732.0,139941,0.0042803753010197,0.3743432574430823,1834,35.22,10.39,81,Massachussetts Medical Society
Nature Medicine,24.687,653,504,1239,14657,11965123.0,42802,0.0056539414046072,0.2251815980629539,660,36.13,29.08,31,Nature Research
MMWR Recommendations and Reports,23.962,155,4,20,192,174032.0,945,0.001058201058201,0.0,20,52.63,48.0,35,Centers for Disease Control and Prevention (CDC)
Nature Biotechnology,22.781,531,388,1033,9525,9876931.0,21063,0.0099226131130418,0.3610842207163601,421,16.86,24.55,37,Nature Research
Nature Reviews Materials,21.927,215,121,293,10962,3155143.0,11938,0.0035181772491204,0.3071672354948805,167,41.32,90.6,10,Nature Publishing Group
American Economic Review,21.833,380,117,353,7171,3282421.0,4116,0.0235665694849368,0.0679886685552408,352,9.82,61.29,50,American Economic Association
Nature Reviews Cancer,20.977,527,110,325,8233,3232203.0,10751,0.0039996279415868,0.3507692307692308,174,37.95,74.85,25,Nature Publishing Group
Nature,20.957,1442,2682,7380,65277,73238109.0,171228,0.0093092251267316,0.332520325203252,3472,24.54,24.34,157,Nature Research
Journal of Political Economy,20.643,225,73,258,4302,2325893.0,2632,0.0182370820668693,0.0736434108527131,255,8.1,58.93,48,University of Chicago Press
Reviews of Modern Physics,20.343,399,36,108,12178,1086829.0,5377,0.0042774781476659,0.0555555555555555,104,43.43,338.28,97,American Physical Society
Nature Energy,19.588,259,210,610,6197,5959610.0,18108,0.0107134967969958,0.2754098360655738,366,27.11,29.51,10,Springer Nature
Nature Reviews Genetics,19.454,439,119,331,7830,3413004.0,8006,0.0042468148888333,0.459214501510574,186,17.88,65.8,26,Nature Research
Nature Reviews Drug Discovery,19.423,412,241,673,8576,6098816.0,12437,0.0025729677574977,0.438335809806835,139,17.34,35.59,24,Nature Research
Chemical Reviews,18.911,873,309,758,135611,7576172.0,49221,0.0087564251031063,0.0224274406332453,727,60.54,438.87,102,American Chemical Society
Nature Reviews Immunology,18.141,486,156,527,8219,4835342.0,15830,0.0025268477574226,0.3453510436432637,287,31.72,52.69,25,Nature Research
Morbidity and Mortality Weekly Report,16.786,274,318,1105,2359,9317362.0,24214,0.0083009829024531,0.2054298642533936,912,26.27,7.42,45,Department of Health and Human Services
Nature Genetics,16.732,660,258,635,12825,6488903.0,15453,0.0237494337669061,0.1858267716535433,480,19.61,49.71,34,Nature Research
Administrative Science Quarterly,16.555,218,31,90,3489,809886.0,1223,0.0359771054783319,0.0777777777777777,85,11.36,112.55,47,Johnson School at Cornell University
National Vital Statistics Reports,16.495,120,12,46,308,414910.0,1221,0.0147420147420147,0.108695652173913,45,18.93,25.67,27,"Public Health Services, US Dept of Health and Human Services"
Academy of Management Annals,15.633,119,23,72,6475,662143.0,1586,0.0138713745271122,0.0277777777777777,71,20.57,281.52,16,Academy of Management
Journal of Finance,15.515,370,71,230,4079,2061213.0,1764,0.0334467120181405,0.1304347826086956,223,6.86,57.45,80,Wiley-Blackwell Publishing Ltd
MMWR Surveillance Summaries,15.178,119,10,49,539,409126.0,1551,0.0038684719535783,0.2040816326530612,44,33.89,53.9,22,Centers for Disease Control and Prevention (CDC)
Chemical Society Reviews,15.109,673,309,860,72439,8146168.0,45165,0.010162736632348,0.0104651162790697,853,46.13,234.43,54,Royal Society of Chemistry
Nature Reviews Clinical Oncology,14.809,238,130,442,8154,4030005.0,9686,0.0032004955606029,0.3438914027149321,201,24.59,62.72,17,Nature Publishing Group
Immunity,14.795,475,213,725,13815,6351085.0,18754,0.0153567238989015,0.1351724137931034,643,22.72,64.86,32,Cell Press
The Lancet,14.607,936,1220,4397,21035,39114052.0,81180,0.0054570091155457,0.4173299977257221,1367,21.52,17.24,203,Elsevier B.V.
Review of Economic Studies,14.432,177,91,232,5795,2130328.0,1513,0.0158625247851949,0.1120689655172413,232,5.02,63.68,93,Oxford University Press
Nature Methods,14.358,408,345,1023,9199,9690956.0,16092,0.0154113845389013,0.4027370478983382,666,14.26,26.66,22,Nature Research
World Psychiatry,14.306,153,104,292,4345,2623690.0,4277,0.0374093991115267,0.071917808219178,62,15.74,41.78,19,Wiley-Blackwell
IEEE Communications Surveys and Tutorials,14.248,287,75,306,16589,2546930.0,13963,0.0276444890066604,0.0392156862745098,297,42.48,221.19,21,Institute of Electrical and Electronics Engineers Inc.
Nature Materials,13.874,583,275,835,9244,7362982.0,21403,0.0062608045601083,0.2,577,25.29,33.61,24,Nature Publishing Group
Foundations and Trends in Machine Learning,13.775,42,3,15,357,108153.0,1045,0.000956937799043,0.0666666666666666,15,47.8,119.0,17,Now Publishers Inc
Physiological Reviews,13.693,401,46,122,17428,1188174.0,6216,0.0045045045045045,0.0163934426229508,119,33.14,378.87,81,American Physiological Society
MMWR supplements,13.467,30,7,9,0,32537.0,364,0.0,0.0,9,40.44,0.0,5,Epidemiology Program Office
Science,13.328,1382,2014,9270,41037,76888556.0,133702,0.0074942783204439,0.5286947141316073,4200,15.24,20.38,145,American Association for the Advancement of Science
Nature Catalysis,13.187,162,168,486,6360,3487928.0,12112,0.0094947159841479,0.2119341563786008,369,22.57,37.86,8,Nature Publishing Group
Nature Nanotechnology,13.141,444,229,668,8447,6289590.0,17146,0.008223492359734,0.1901197604790419,423,26.61,36.89,20,Nature Publishing Group
Econometrica,12.979,231,92,237,4257,2178125.0,1354,0.0295420974889217,0.1772151898734177,232,5.06,46.27,43,Wiley-Blackwell Publishing Ltd
Journal of Economic Literature,12.966,189,30,67,4735,663859.0,958,0.0062630480167014,0.1940298507462686,67,11.46,157.83,32,American Economic Association
American Economic Journal: Applied Economics,12.694,117,59,127,3700,1214154.0,1033,0.0174249757986447,0.0629921259842519,127,5.7,62.71,16,American Economic Association
Cancer Cell,12.578,416,191,548,6970,4810750.0,12694,0.0092169528911296,0.1332116788321168,426,21.62,36.49,24,Cell Press
Energy and Environmental Science,12.306,466,407,990,31578,9058197.0,35543,0.0221421939622429,0.0171717171717171,983,32.27,77.59,18,Royal Society of Chemistry
Joule,12.282,221,202,750,10741,6119844.0,22009,0.0135853514471352,0.0706666666666666,619,25.46,53.17,9,Cell Press
The Lancet Oncology,12.27,432,474,1518,6616,13991410.0,20209,0.0076203671631451,0.4077733860342556,626,13.82,13.96,26,Elsevier Ltd
Review of Financial Studies,12.239,250,128,407,7844,3474967.0,3900,0.0335897435897435,0.1056511056511056,406,8.83,61.28,30,Oxford University Press
