Title,SJR,H index,Total Docs. (2013),Total Docs. (3years),Total Refs.,Est. value (USD) (2013),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Ca-A Cancer Journal for Clinicians,47.288,223,38,105,3182,1153818.0,10632,0.0018811136192626,0.3333333333333333,94,117.64,83.74,76,John Wiley and Sons Inc
Reviews of Modern Physics,39.784,399,45,159,13075,1675623.0,7513,0.0046585917742579,0.050314465408805,158,45.31,290.56,97,American Physical Society
Cell,28.254,925,559,1476,28317,15714647.0,40730,0.0205745150994353,0.1023035230352303,1422,27.39,50.66,52,Elsevier B.V.
Quarterly Journal of Economics,26.754,322,40,130,1926,1251947.0,1205,0.0174273858921161,0.0461538461538461,130,7.87,48.15,140,Oxford University Press
Nature Reviews Genetics,24.23,439,157,502,8467,4684361.0,10677,0.0107708157722206,0.4422310756972111,305,20.04,53.93,26,Nature Research
Nature Genetics,24.193,660,331,852,10974,8709900.0,21886,0.027003563922142,0.1467136150234742,705,23.3,33.15,34,Nature Research
Chemical Reviews,22.299,873,216,580,86456,5631967.0,30541,0.0070069742313611,0.0086206896551724,565,46.68,400.26,102,American Chemical Society
Nature Reviews Molecular Cell Biology,21.949,531,165,524,8256,5032513.0,8918,0.0072886297376093,0.5362595419847328,332,15.65,50.04,26,Nature Research
Advances in Physics,20.648,127,5,29,1857,256122.0,742,0.0040431266846361,0.1724137931034483,25,16.0,371.4,72,Taylor and Francis Ltd.
Acta Crystallographica Section D: Structural Biology,20.386,155,266,474,11636,4562741.0,6439,0.1506445100170834,0.2172995780590717,466,7.75,43.74,10,John Wiley &amp; Sons Inc.
Journal of Political Economy,19.809,225,34,91,1324,856819.0,483,0.0227743271221532,0.1318681318681318,91,4.43,38.94,48,University of Chicago Press
Journal of Finance,19.793,370,68,194,3243,1917833.0,1664,0.0492788461538461,0.0309278350515463,192,7.83,47.69,80,Wiley-Blackwell Publishing Ltd
Econometrica,19.762,231,67,193,2772,1806562.0,932,0.0665236051502145,0.1191709844559585,184,4.12,41.37,43,Wiley-Blackwell Publishing Ltd
Annual Review of Neuroscience,19.692,269,24,71,3352,670699.0,1855,0.0053908355795148,0.0,70,25.12,139.67,47,Annual Reviews Inc.
Nature,19.69,1442,2523,7561,36946,70213006.0,120248,0.0110604750182955,0.3856632720539611,4361,15.51,14.64,157,Nature Research
Physiological Reviews,19.639,401,34,104,19592,989379.0,3816,0.0044549266247379,0.0,104,31.9,576.24,81,American Physiological Society
Journal of Economic Literature,19.535,189,24,64,2658,579306.0,830,0.0120481927710843,0.03125,64,10.49,110.75,32,American Economic Association
