Title,SJR,H index,Total Docs. (1999),Total Docs. (3years),Total Refs.,Est. value (USD) (1999),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Cell,43.449,925,351,1340,15964,2342559.0,48295,0.019235946,0.004477612,1332,34.68,45.48,52,Elsevier B.V.
Annual Review of Neuroscience,25.76,269,21,60,3419,127273.0,1632,0.011029412,0.0,60,22.79,162.81,47,Annual Reviews Inc.
Genes and Development,25.272,489,298,889,16623,1799712.0,17382,0.03768266,0.004499438,888,18.97,55.78,39,Cold Spring Harbor Laboratory Press
Immunity,22.298,475,151,438,7770,891122.0,9222,0.044025157,0.0,438,20.47,51.46,32,Cell Press
Current Opinion in Cell Biology,21.691,284,104,318,5829,610637.0,6603,0.013327275,0.110062893,298,22.57,56.05,37,Elsevier Ltd
Advances in Theoretical and Mathematical Physics,20.965,85,48,55,1821,280069.0,1225,0.038367347,0.236363636,55,22.27,37.94,28,"International Press, Inc."
Molecular Cell,20.282,459,193,203,8814,1119253.0,3624,0.022350993,0.02955665,202,17.85,45.67,29,Cell Press
Neuron,18.242,548,296,757,19449,1683346.0,12495,0.055702281,0.034346103,745,15.68,65.71,38,Cell Press
Physiological Reviews,17.173,401,43,94,18222,241832.0,2388,0.010887772,0.0,94,23.41,423.77,81,American Physiological Society
Brookings Papers on Economic Activity,16.673,99,10,31,644,55934.0,204,0.039215686,0.129032258,31,4.9,64.4,31,Brookings Institution Press
Science,16.615,1382,2240,7753,41400,12521264.0,78780,0.016742828,0.466529086,3956,9.36,18.48,145,American Association for the Advancement of Science
Quarterly Journal of Economics,16.278,322,40,120,1425,222751.0,604,0.034768212,0.1,120,5.39,35.63,140,Oxford University Press
Nature,15.599,1442,2550,8538,30670,14089225.0,80940,0.01493699,0.510072617,4369,9.26,12.03,157,Nature Research
Trends in Biochemical Sciences,15.126,309,129,405,4225,708714.0,5524,0.009413469,0.17037037,323,13.49,32.75,50,Elsevier Ltd
EMBO Journal,15.002,441,665,2148,35100,3647904.0,29732,0.040595991,0.013035382,2148,13.87,52.78,44,Springer Science and Business Media Deutschland GmbH
Nature Genetics,14.31,660,363,1014,7572,1973997.0,18355,0.012530646,0.111439842,869,18.17,20.86,34,Nature Research
Journal of Cell Biology,14.107,422,457,1566,25592,2478631.0,20794,0.080648264,0.008301405,1563,13.17,56.0,71,Rockefeller University Press
Annual Review of Plant Biology,13.979,307,24,82,3636,129950.0,1581,0.013282732,0.048780488,82,17.41,151.5,29,Annual Reviews Inc.
Microbiology and Molecular Biology Reviews,13.69,287,37,104,10337,199570.0,1982,0.010595358,0.009615385,104,18.8,279.38,28,American Society for Microbiology
Reviews of Modern Physics,13.273,399,94,110,10415,504131.0,1516,0.019129288,0.236363636,110,15.52,110.8,97,American Physical Society
Current Opinion in Genetics and Development,12.947,203,99,307,5375,528517.0,3272,0.015586797,0.09771987,291,11.15,54.29,35,Elsevier Ltd
Chemical Reviews,12.871,873,113,299,27326,602602.0,6537,0.011320177,0.023411371,299,20.23,241.82,102,American Chemical Society
Development (Cambridge),12.279,369,520,1383,27972,2749064.0,14225,0.172231986,0.014461316,1383,10.05,53.79,39,Company of Biologists Ltd
Journal of Experimental Medicine,12.049,503,400,1478,17985,2107304.0,22971,0.045100344,0.01285521,1432,15.06,44.96,128,Rockefeller University Press
Econometrica,11.873,231,52,148,732,273207.0,436,0.027522936,0.27027027,148,2.62,14.08,43,Wiley-Blackwell Publishing Ltd
Advances in Physics,11.67,127,8,26,2220,41898.0,288,0.006944444,0.076923077,25,11.76,277.5,72,Taylor and Francis Ltd.
Trends in Cell Biology,11.658,271,127,292,3890,665011.0,3166,0.012318383,0.171232877,248,12.53,30.63,35,Elsevier Ltd
Journal of Economic Growth,11.491,103,16,53,669,83558.0,170,0.129411765,0.245283019,53,1.59,41.81,30,Springer New York
Journal of Political Economy,11.201,225,55,135,1727,285881.0,504,0.029761905,0.162962963,135,2.98,31.4,48,University of Chicago Press
Journal of Economic Literature,10.402,189,14,62,1471,71783.0,524,0.007633588,0.064516129,62,6.73,105.07,32,American Economic Association
Molecular and Cellular Biology,10.319,361,840,2246,49084,4300648.0,22222,0.088335883,0.020480855,2246,9.79,58.43,45,Taylor and Francis Ltd.
Surface Science Reports,10.217,131,11,38,3337,56215.0,460,0.010869565,0.078947368,38,12.13,303.36,45,Elsevier B.V.
Trends in Neurosciences,10.131,326,111,357,5429,566376.0,4604,0.015421373,0.170868347,288,12.03,48.91,48,Elsevier Ltd
Annual Review of Biophysics,9.725,178,14,56,1732,70898.0,649,0.009244992,0.035714286,55,11.83,123.71,17,Annual Reviews Inc.
Journal of Financial Economics,9.621,331,55,152,1804,277977.0,589,0.157894737,0.164473684,152,3.65,32.8,52,Elsevier B.V.
MMWR Recommendations and Reports,9.589,155,13,53,0,65663.0,927,0.0,0.056603774,53,17.1,0.0,35,Centers for Disease Control and Prevention (CDC)
Journal of Finance,9.553,370,78,228,2716,393706.0,1012,0.175889328,0.144736842,228,4.07,34.82,80,Wiley-Blackwell Publishing Ltd
Trends in Genetics,9.388,253,154,432,4194,774824.0,3548,0.016629087,0.284722222,323,9.39,27.23,41,Elsevier Ltd
Current Biology,9.228,376,588,1204,10840,2949056.0,9127,0.026624302,0.218438538,1166,7.82,18.44,35,Cell Press
Biochimica et Biophysica Acta - Reviews on Cancer,9.146,166,34,118,965,170243.0,1326,0.005279035,0.211864407,113,10.41,28.38,52,Elsevier B.V.
Administrative Science Quarterly,9.015,218,26,76,1831,129840.0,369,0.078590786,0.157894737,76,3.84,70.42,47,Johnson School at Cornell University
Nature Medicine,8.926,653,509,1538,7497,2537224.0,14861,0.012314111,0.422626788,930,9.36,14.73,31,Nature Research
Plant Cell,8.834,412,196,535,10669,975141.0,5617,0.083318497,0.05046729,522,9.94,54.43,37,American Society of Plant Biologists
Endocrine Reviews,8.572,317,43,118,10901,212750.0,2107,0.010915994,0.254237288,117,16.34,253.51,46,The Endocrine Society
Nature Structural and Molecular Biology,8.539,310,253,671,5536,1250869.0,5217,0.01475944,0.195230999,605,7.87,21.88,23,Nature Research
Proceedings of the National Academy of Sciences of the United States of America,8.52,896,2760,8309,101939,13640241.0,84669,0.03637695,0.050427248,8127,9.88,36.93,72,National Academy of Sciences
Academy of Management Review,8.489,320,47,100,3550,232123.0,679,0.100147275,0.06,99,5.29,75.53,43,Academy of Management
Review of Economic Studies,7.939,177,42,95,1151,204883.0,213,0.018779343,0.210526316,95,1.9,27.4,93,Oxford University Press
Current Opinion in Immunology,7.932,215,107,346,4476,521879.0,3351,0.016711429,0.161849711,312,9.9,41.83,38,Elsevier Ltd
Pharmacological Reviews,7.884,264,19,57,8938,92566.0,935,0.012834225,0.01754386,57,15.39,470.42,76,Elsevier Inc.
Current Opinion in Neurobiology,7.857,256,108,331,5988,525834.0,2865,0.017102967,0.160120846,305,7.93,55.44,35,Elsevier Ltd
Journal of Economic Perspectives,7.823,239,51,146,2228,248112.0,621,0.020933977,0.150684932,146,4.37,43.69,33,American Economic Association
Reports on Progress in Physics,7.791,259,31,84,602,150699.0,653,0.003062787,0.119047619,84,6.76,19.42,88,IOP Publishing Ltd.
Molecular Biology of the Cell,7.716,250,312,600,17945,1514013.0,4527,0.066710846,0.035,599,7.23,57.52,36,American Society for Cell Biology
Psychological Review,7.7,249,38,97,4290,184328.0,913,0.036144578,0.082474227,96,6.87,112.89,132,American Psychological Association
Journal of the American Mathematical Society,7.435,116,34,100,988,163864.0,200,0.015,0.3,99,1.52,29.06,38,American Mathematical Society
Astrophysical Journal Letters,7.405,212,59,192,1624,284140.0,1137,0.00703606,0.229166667,192,5.72,27.53,30,American Astronomical Society
New England Journal of Medicine,7.361,1231,1185,3521,19003,5700611.0,34266,0.011031343,0.437659756,1753,9.33,16.04,81,Massachussetts Medical Society
MMWR Surveillance Summaries,7.182,119,13,10,0,62255.0,123,0.0,0.1,10,6.67,0.0,22,Centers for Disease Control and Prevention (CDC)
Trends in Immunology,7.177,265,137,432,4932,655989.0,4892,0.020441537,0.152777778,252,11.32,36.0,31,Elsevier Ltd
BioEssays,7.147,208,130,427,7428,621990.0,3051,0.013765978,0.154566745,415,7.31,57.14,42,John Wiley &amp; Sons Inc.
Ca-A Cancer Journal for Clinicians,7.084,223,32,96,1338,152856.0,1383,0.003615329,0.229166667,74,16.95,41.81,76,John Wiley and Sons Inc
Accounts of Chemical Research,7.054,472,117,221,6085,558441.0,2573,0.01127089,0.009049774,220,10.94,52.01,58,American Chemical Society
Journal of Neuroscience,7.05,515,1089,2630,55742,5197253.0,24157,0.105849236,0.024714829,2630,8.76,51.19,45,Society for Neuroscience
Nature Neuroscience,7.022,496,232,152,6756,1106408.0,1064,0.033834586,0.125,139,7.0,29.12,28,Nature Research
Recent Progress in Hormone Research,6.812,80,19,57,313,90105.0,599,0.0,0.052631579,57,9.74,16.47,48,The Endocrine Society
Quarterly Reviews of Biophysics,6.794,111,9,29,1537,42661.0,290,0.003448276,0.103448276,29,6.79,170.78,57,Cambridge University Press
Structure,6.698,203,177,434,7950,836792.0,3317,0.034368405,0.055299539,432,7.23,44.92,33,Cell Press
Catalysis Reviews - Science and Engineering,6.64,118,7,29,1139,33040.0,303,0.00330033,0.103448276,29,5.72,162.71,57,Taylor &amp; Francis Group LLC
Organization Science,6.6,294,43,127,3909,202737.0,454,0.204845815,0.220472441,127,2.44,90.91,30,INFORMS Institute for Operations Research and the Management Sciences
Journal of Climate,6.462,344,230,621,8591,1080188.0,2657,0.230711329,0.140096618,621,3.63,37.35,37,American Meteorological Society
Bulletin of the American Meteorological Society,6.461,244,75,267,2627,352225.0,1242,0.071658615,0.31835206,267,4.06,35.03,54,American Meteorological Society
Annual Review of Microbiology,6.335,220,21,72,3270,98266.0,709,0.004231312,0.069444444,70,7.73,155.71,74,Annual Reviews Inc.
Review of Financial Studies,6.273,250,40,99,1157,186833.0,214,0.098130841,0.282828283,99,1.98,28.93,30,Oxford University Press
Cybermetrics,6.201,15,2,1,34,9322.0,6,0.0,0.0,1,6.0,17.0,16,Centro de Informacion y Documentacion Cientifica
Ion channels,6.169,9,0,10,0,0.0,90,0.0,0.2,10,0.0,0.0,4,Plenum Press
Journal of Biological Chemistry,6.161,567,5316,14516,235400,24747797.0,111154,0.159787322,0.044640397,14515,7.66,44.28,81,American Society for Biochemistry and Molecular Biology Inc.
American Economic Review,6.146,380,145,443,3380,674721.0,1200,0.045,0.279909707,442,1.93,23.31,50,American Economic Association
Academy of Management Journal,5.986,396,42,158,2289,194488.0,706,0.053824363,0.088607595,158,3.01,54.5,50,Academy of Management
Journal of Clinical Investigation,5.927,558,444,2118,17700,2052266.0,21958,0.019947172,0.042965061,2028,10.28,39.86,81,American Society for Clinical Investigation
Current Opinion in Structural Biology,5.917,223,101,336,4855,466699.0,2395,0.020876827,0.18452381,305,7.07,48.07,35,Elsevier Ltd
Human Molecular Genetics,5.894,307,292,837,12058,1348299.0,7716,0.066744427,0.013142174,837,9.35,41.29,34,Oxford University Press
Genome Research,5.892,338,137,392,4885,632553.0,2605,0.073320537,0.125,384,6.39,35.66,35,Cold Spring Harbor Laboratory Press
DNA Research,5.818,116,54,159,673,248747.0,849,0.048292108,0.427672956,159,4.56,12.46,32,Oxford University Press
Communications on Pure and Applied Mathematics,5.788,127,49,120,1123,225500.0,246,0.12195122,0.316666667,120,1.54,22.92,78,Wiley-Liss Inc.
Critical Reviews in Biochemistry and Molecular Biology,5.771,130,24,35,2258,110389.0,270,0.003703704,0.114285714,35,7.68,94.08,54,Informa Healthcare
Physical Review Letters,5.771,723,2881,8527,62718,13251280.0,49963,0.108420231,0.127008326,8208,5.77,21.77,68,American Physical Society
Reviews of Geophysics,5.757,207,18,54,2856,82755.0,326,0.012269939,0.12962963,54,5.24,158.67,63,John Wiley and Sons Inc
Inventiones Mathematicae,5.698,132,83,256,2002,380867.0,385,0.075324675,0.39453125,256,1.41,24.12,60,Springer New York
Annals of Mathematics,5.655,145,65,113,1773,297853.0,202,0.069306931,0.265486726,113,1.56,27.28,30,Department of Mathematics at Princeton University
JAMA Psychiatry,5.635,417,164,475,5616,751015.0,3618,0.032061913,0.212631579,360,7.01,34.24,13,American Medical Association
Genes to Cells,5.634,125,64,221,2952,293069.0,1006,0.017892644,0.149321267,221,4.79,46.13,30,Wiley-Blackwell Publishing Ltd
