Title,SJR,H index,Total Docs. (2019),Total Docs. (3years),Total Refs.,Est. value (USD) (2019),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Ca-A Cancer Journal for Clinicians,88.192,223,35,125,2924,1410476.0,18105,0.0026512013256006,0.248,88,113.1,83.54,76,John Wiley and Sons Inc
MMWR Recommendations and Reports,41.022,155,4,11,496,120964.0,973,0.0,0.0,11,56.2,124.0,35,Centers for Disease Control and Prevention (CDC)
Nature Reviews Materials,36.691,215,80,287,7672,1663612.0,12689,0.0030735282528174,0.3588850174216028,154,35.93,95.9,10,Nature Publishing Group
Quarterly Journal of Economics,36.22,322,34,119,2167,1195570.0,1990,0.0115577889447236,0.0084033613445378,118,12.84,63.74,140,Oxford University Press
Nature Reviews Molecular Cell Biology,29.997,531,105,375,7453,3743625.0,8155,0.007602697731453,0.4026666666666667,183,22.66,70.98,26,Nature Research
National Vital Statistics Reports,29.81,120,16,30,379,361625.0,1203,0.0174563591022443,0.0,30,47.0,23.69,27,"Public Health Services, US Dept of Health and Human Services"
Nature Reviews Genetics,28.619,439,104,371,7206,3800643.0,6775,0.0069372693726937,0.444743935309973,154,14.93,69.29,26,Nature Research
Cell,24.698,925,551,1797,32588,18049670.0,47835,0.0130448416431483,0.1263216471897607,1618,26.75,59.14,52,Elsevier B.V.
Reviews of Modern Physics,21.938,399,41,123,11794,1173699.0,5718,0.0038474991255683,0.048780487804878,121,45.55,287.66,97,American Physical Society
Nature Reviews Cancer,21.287,527,132,345,7563,3596593.0,8495,0.0067098293113596,0.417391304347826,203,22.26,57.3,25,Nature Publishing Group
Journal of Political Economy,21.239,225,70,183,3812,1621405.0,1204,0.021594684385382,0.1967213114754098,153,5.01,54.46,48,University of Chicago Press
Chemical Reviews,20.847,873,225,803,93153,7550353.0,45184,0.0091846671388101,0.0211706102117061,774,51.0,414.01,102,American Chemical Society
MMWR Surveillance Summaries,20.617,119,12,50,585,436766.0,2262,0.006631299734748,0.06,50,42.47,48.75,22,Centers for Disease Control and Prevention (CDC)
Nature Reviews Immunology,20.611,486,143,432,8420,4387411.0,7457,0.0053640874346251,0.4467592592592592,186,14.99,58.88,25,Nature Research
Nature Methods,20.148,408,389,921,6476,9763393.0,13797,0.013408712038849,0.3713355048859935,550,13.66,16.65,22,Nature Research
