Title,SJR,H index,Total Docs. (2023),Total Docs. (3years),Total Refs.,Est. value (USD) (2023),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Ca-A Cancer Journal for Clinicians,106.094,223,43,124,3952,1508428.0,35769,0.0006989292404037,0.2177419354838709,89,385.46,91.91,76,John Wiley and Sons Inc
Foundations and Trends in Machine Learning,37.044,42,3,13,897,114748.0,1094,0.0,0.0769230769230769,13,115.11,299.0,17,Now Publishers Inc
Nature Reviews Molecular Cell Biology,35.91,531,115,336,9927,3549661.0,13540,0.0032496307237813,0.3601190476190476,153,34.4,86.32,26,Nature Research
Quarterly Journal of Economics,30.448,322,47,136,3645,1383193.0,2166,0.0193905817174515,0.0367647058823529,136,10.79,77.55,140,Oxford University Press
Nature Reviews Cancer,26.837,527,105,303,10805,3155228.0,10966,0.0055626481853,0.3762376237623762,162,31.34,102.9,25,Nature Publishing Group
Cell,24.342,925,433,1495,32237,14997412.0,53276,0.0096478714618214,0.1177257525083612,1206,31.13,74.45,52,Elsevier B.V.
Nature Reviews Drug Discovery,22.399,412,235,729,8040,6224022.0,12927,0.0034037286299992,0.4375857338820302,145,19.44,34.21,24,Nature Research
American Economic Review,22.344,380,95,353,6242,3238907.0,4574,0.0166156536947966,0.0623229461756373,351,9.85,65.71,50,American Economic Association
Nature Reviews Materials,21.836,215,116,334,8684,3246017.0,13591,0.0031638584357295,0.2844311377245509,195,30.88,74.86,10,Nature Publishing Group
Nature Reviews Clinical Oncology,21.048,238,127,400,9888,3783020.0,10844,0.0049797122832902,0.3075,183,28.43,77.86,17,Nature Publishing Group
New England Journal of Medicine,20.544,1231,1388,4534,14980,43354386.0,108703,0.0041765176674056,0.3868548742831936,1808,21.95,10.79,81,Massachussetts Medical Society
Journal of Finance,19.139,370,77,226,4679,2128318.0,1848,0.0324675324675324,0.0884955752212389,220,6.73,60.77,80,Wiley-Blackwell Publishing Ltd
Nature Medicine,19.045,653,580,1359,15980,13516162.0,36624,0.0077271734381826,0.2104488594554819,724,27.61,27.55,31,Nature Research
MMWR supplements,18.587,30,11,16,0,91445.0,754,0.0,0.0,16,44.86,0.0,5,Epidemiology Program Office
Journal of Political Economy,18.53,225,83,261,4493,2394350.0,2462,0.0199025182778229,0.057471264367816,258,6.92,54.13,48,University of Chicago Press
Nature,18.509,1442,2861,7546,72363,72917307.0,159385,0.0101201493239639,0.3177842565597668,3755,21.04,25.29,157,Nature Research
Nature Biotechnology,18.117,531,384,1065,8877,10217424.0,16948,0.0125088506018409,0.3652582159624413,460,13.14,23.12,37,Nature Research
Chemical Reviews,17.828,873,260,842,111222,7630318.0,49867,0.0096657107907032,0.015439429928741,810,49.77,427.78,102,American Chemical Society
Econometrica,17.701,231,79,269,3379,2238838.0,1818,0.0242024202420242,0.1301115241635687,264,5.92,42.77,43,Wiley-Blackwell Publishing Ltd
Review of Financial Studies,17.654,250,118,410,7065,3510184.0,4239,0.0332625619249823,0.0829268292682926,409,7.55,59.87,30,Oxford University Press
Cancer Cell,17.507,416,178,590,11546,4899202.0,12617,0.0112546564159467,0.135593220338983,360,19.87,64.87,24,Cell Press
Nature Energy,17.497,259,228,608,6622,5983592.0,16589,0.011694496353005,0.2796052631578947,378,25.83,29.04,10,Springer Nature
Nature Genetics,17.3,660,335,654,13641,6955045.0,12981,0.0268854479624065,0.209480122324159,504,19.59,40.72,34,Nature Research
Reviews of Modern Physics,16.061,399,36,103,14097,1049416.0,4368,0.0032051282051282,0.0388349514563106,99,43.39,391.58,97,American Physical Society
Nature Reviews Immunology,16.009,486,159,540,8986,4799886.0,13810,0.0041998551774076,0.3611111111111111,304,23.12,56.52,25,Nature Research
IEEE Communications Surveys and Tutorials,15.966,287,88,252,19336,2452721.0,12149,0.0235410321837188,0.0396825396825396,244,42.16,219.73,21,Institute of Electrical and Electronics Engineers Inc.
World Psychiatry,15.827,153,107,297,4362,2708836.0,3994,0.0418127190786179,0.074074074074074,62,12.69,40.77,19,Wiley-Blackwell
National Vital Statistics Reports,14.943,120,16,42,403,436397.0,892,0.0291479820627802,0.0714285714285714,41,24.03,25.19,27,"Public Health Services, US Dept of Health and Human Services"
Nature Methods,14.796,408,389,979,10942,9773124.0,15964,0.0182285141568529,0.3748723186925434,589,17.64,28.13,22,Nature Research
Advances in Physics,14.78,127,3,13,572,103711.0,364,0.0,0.2307692307692307,11,11.67,190.67,72,Taylor and Francis Ltd.
Nano Research Energy,14.707,40,46,35,4815,251414.0,2133,0.017346460384435,0.0,34,60.94,104.67,3,Tsinghua University Press
MMWR Recommendations and Reports,14.618,155,5,20,608,179776.0,1237,0.0008084074373484,0.0,20,87.1,121.6,35,Centers for Disease Control and Prevention (CDC)
Academy of Management Annals,14.605,119,23,72,5797,648757.0,1724,0.0121809744779582,0.0138888888888888,70,13.05,252.04,16,Academy of Management
Nature Nanotechnology,14.577,444,240,637,8929,6146349.0,17374,0.0070219868769425,0.141287284144427,466,27.12,37.2,20,Nature Publishing Group
Nature Reviews Genetics,14.293,439,118,346,9166,3352683.0,6226,0.0081914551879216,0.4479768786127168,207,17.41,77.68,26,Nature Research
Nature Materials,14.231,583,304,833,9449,7649047.0,20382,0.0068197429104111,0.2004801920768307,592,23.64,31.08,24,Nature Publishing Group
Administrative Science Quarterly,14.175,218,28,92,3163,816682.0,1119,0.0473637176050044,0.0869565217391304,86,9.54,112.96,47,Johnson School at Cornell University
Annals of Oncology,13.942,311,139,670,4971,5679858.0,12948,0.0078776645041705,0.2029850746268656,362,19.17,35.76,36,Elsevier Ltd
Journal of Financial Economics,13.655,331,89,563,4857,4116469.0,5808,0.0187672176308539,0.0710479573712255,559,10.23,54.57,52,Elsevier B.V.
Review of Economic Studies,13.609,177,94,249,5410,2278601.0,1637,0.0164935858277336,0.1044176706827309,249,5.86,57.55,93,Oxford University Press
Immunity,13.578,475,233,688,15608,6320543.0,13408,0.0190184964200477,0.1656976744186046,550,16.87,66.99,32,Cell Press
Nature Catalysis,13.315,162,180,470,6682,4453472.0,11846,0.0119871686645281,0.2127659574468085,367,23.65,37.12,8,Nature Publishing Group
Morbidity and Mortality Weekly Report,13.08,274,307,1115,2113,9143671.0,19608,0.0128518971848225,0.1641255605381165,946,16.96,6.88,45,Department of Health and Human Services
Chemical Society Reviews,12.511,673,252,983,61439,7741038.0,43457,0.0098718273235612,0.0122075279755849,979,38.14,243.81,54,Royal Society of Chemistry
American Economic Journal: Macroeconomics,12.324,88,55,137,2838,1185915.0,820,0.0329268292682926,0.1532846715328467,137,5.79,51.6,16,American Economic Association
Nature Reviews Methods Primers,12.294,67,61,154,7940,682504.0,3956,0.0037917087967644,0.0519480519480519,86,25.69,130.16,4,Springer Nature
eScience,12.288,63,59,79,4725,311955.0,3279,0.017688319609637,0.0,78,41.51,80.08,5,KeAi Communications Co.
Nature Neuroscience,12.261,496,279,620,12314,6022309.0,9803,0.0178516780577374,0.2225806451612903,495,14.48,44.14,28,Nature Research
The Lancet Oncology,12.179,432,388,1454,5208,12727543.0,18298,0.0078150617553831,0.4078404401650619,633,11.62,13.42,26,Elsevier Ltd
The Lancet,12.113,936,1390,4043,22032,37953443.0,66124,0.0066995342084568,0.4076181053673015,1369,14.46,15.85,203,Elsevier B.V.
Science,11.902,1382,2117,8199,42282,71694127.0,117626,0.0070817676364069,0.482497865593365,4167,13.58,19.97,145,American Association for the Advancement of Science
Nature Cancer,11.9,81,176,454,7513,2521393.0,5952,0.0100806451612903,0.2731277533039647,298,12.22,42.69,6,Nature Research
Journal of Marketing,11.799,296,49,173,3778,1351008.0,2606,0.0399079048349961,0.0462427745664739,152,13.89,77.1,38,American Marketing Association
Annual Review of Pathology: Mechanisms of Disease,11.748,156,22,63,3087,531310.0,2367,0.0,0.0158730158730158,63,28.84,140.32,19,Annual Reviews Inc.
Joule,11.724,221,218,682,10656,6087944.0,18383,0.0130555404449763,0.0762463343108504,525,24.95,48.88,9,Cell Press
Nature Electronics,11.667,131,196,507,5029,4314912.0,9305,0.0159054271896829,0.3136094674556213,303,15.87,25.66,8,Nature Publishing Group
Nature Reviews Chemistry,11.603,131,107,283,7360,2537384.0,5614,0.0035625222657641,0.3568904593639576,172,19.48,68.79,9,Nature Publishing Group
Cell Metabolism,11.406,368,182,607,11807,5247949.0,12421,0.0132034457773126,0.1235584843492586,488,18.51,64.87,21,Cell Press
Nature Immunology,11.274,452,303,770,10345,6772378.0,10856,0.0170412675018423,0.3376623376623376,527,13.73,34.14,26,Nature Research
Nature Photonics,11.249,404,208,516,6812,4968073.0,11185,0.0126061689763075,0.2286821705426356,362,20.23,32.75,19,Nature Publishing Group
Journal of Economic Literature,11.092,189,36,76,4802,688895.0,1014,0.0078895463510848,0.1710526315789473,75,11.62,133.39,32,American Economic Association
Energy and Environmental Science,10.935,466,459,1125,37015,9838819.0,35698,0.0264160457168468,0.0248888888888888,1117,30.17,80.64,18,Royal Society of Chemistry
Physiological Reviews,10.821,401,51,129,24473,1158286.0,4014,0.004733432984554,0.0310077519379844,119,31.08,479.86,81,American Physiological Society
Journal of Clinical Oncology,10.639,646,782,1661,20940,15219003.0,26470,0.0209671326029467,0.2823600240818784,1203,13.82,26.78,43,Lippincott Williams and Wilkins
Academy of Management Review,10.486,320,43,146,4234,1246639.0,2126,0.0282220131702728,0.0753424657534246,137,15.39,98.47,43,Academy of Management
MMWR Surveillance Summaries,10.275,119,9,47,401,374067.0,1471,0.0054384772263766,0.2127659574468085,42,45.57,44.56,22,Centers for Disease Control and Prevention (CDC)
Cell Stem Cell,10.253,316,150,547,8906,4417995.0,7478,0.0259427654453062,0.1992687385740402,424,12.48,59.37,19,Cell Press
The Lancet Diabetes and Endocrinology,10.247,189,194,575,4605,4875438.0,7095,0.011275546159267,0.3304347826086956,222,12.56,23.74,13,Elsevier Ltd
Nature Reviews Disease Primers,10.215,210,52,233,7205,1903728.0,7480,0.0010695187165775,0.2145922746781116,148,32.03,138.56,11,Nature Publishing Group
Living Reviews in Relativity,10.188,101,5,14,4669,130143.0,481,0.0062370062370062,0.0714285714285714,14,26.1,933.8,28,Springer International Publishing AG
Psychological Science in the Public Interest,9.887,62,9,21,1002,168502.0,437,0.0022883295194508,0.1428571428571428,12,10.29,111.33,25,SAGE Publications Inc.
Journal of Hepatology,9.857,319,424,1323,14982,10275607.0,18478,0.0336616516939062,0.2577475434618291,683,12.85,35.33,41,Elsevier B.V.
Annual Review of Condensed Matter Physics,9.821,96,19,55,3059,482728.0,1223,0.0065412919051512,0.109090909090909,55,15.63,161.0,15,Annual Reviews Inc.
Nature Reviews Gastroenterology and Hepatology,9.741,211,154,459,9253,3792248.0,9081,0.0062768417575156,0.3747276688453159,283,17.98,60.08,17,Nature Research
Astronomy and Astrophysics Review,9.664,84,5,24,2659,185410.0,629,0.0079491255961844,0.0,24,26.29,531.8,35,Springer Verlag
