Title,SJR,H index,Total Docs. (2007),Total Docs. (3years),Total Refs.,Est. value (USD) (2007),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Chemical Reviews,15.142,873,173,522,53205,4545466.0,13665,0.0071716062934504,0.0191570881226053,504,22.81,307.54,102,American Chemical Society
Quarterly Journal of Economics,14.79,322,44,120,1761,1159759.0,771,0.0389105058365758,0.0416666666666666,120,4.94,40.02,140,Oxford University Press
Molecular Cell,14.755,459,359,1049,15056,9559463.0,13141,0.0338634807092306,0.0438512869399428,1043,11.94,41.94,29,Cell Press
Annual Review of Plant Biology,14.274,307,20,77,2479,644998.0,1860,0.0075268817204301,0.0519480519480519,76,21.13,123.95,29,Annual Reviews Inc.
Nature Reviews Immunology,14.196,486,201,501,8971,4818189.0,7790,0.0100128369704749,0.5069860279441117,396,12.97,44.63,25,Nature Research
Current Opinion in Cell Biology,13.888,284,97,299,5018,2740849.0,4085,0.0100367197062423,0.0735785953177257,278,13.48,51.73,37,Elsevier Ltd
Journal of Experimental Medicine,13.089,503,310,1009,13195,8795878.0,15891,0.0280662009942734,0.0356788899900891,997,16.2,42.56,128,Rockefeller University Press
Cancer Cell,12.992,416,121,382,4392,3335176.0,6601,0.0172701105893046,0.0471204188481675,379,17.08,36.3,24,Cell Press
Materials Science and Engineering R: Reports,12.374,182,6,40,1957,301941.0,1001,0.0,0.025,40,18.84,326.17,33,Elsevier B.V.
Microbiology and Molecular Biology Reviews,12.015,287,24,96,6378,767591.0,1841,0.0108636610537751,0.0104166666666666,95,15.76,265.75,28,American Society for Microbiology
Nature Reviews Cancer,11.639,527,206,592,9813,5135809.0,8670,0.0125720876585928,0.581081081081081,469,13.19,47.64,25,Nature Publishing Group
Econometrica,11.619,231,55,178,1735,1559567.0,762,0.0472440944881889,0.146067415730337,173,3.68,31.55,43,Wiley-Blackwell Publishing Ltd
Trends in Cell Biology,11.582,271,77,291,5104,2417902.0,3732,0.0053590568060021,0.0515463917525773,285,12.66,66.29,35,Elsevier Ltd
Endocrine Reviews,11.547,317,33,109,9106,911606.0,2853,0.008061689449702,0.0458715596330275,106,20.59,275.94,46,The Endocrine Society
National Vital Statistics Reports,11.443,120,10,25,60,232124.0,677,0.0,0.0,25,35.36,6.0,27,"Public Health Services, US Dept of Health and Human Services"
Developmental Cell,10.796,306,198,597,7476,5201752.0,6053,0.0213117462415331,0.1641541038525963,591,9.55,37.76,25,Cell Press
Neuron,10.603,548,363,1190,18779,10262214.0,14779,0.0368089857229853,0.1092436974789916,1181,11.32,51.73,38,Cell Press
Annual Review of Microbiology,10.501,220,28,74,2854,663273.0,1122,0.0053475935828877,0.081081081081081,71,14.65,101.93,74,Annual Reviews Inc.
New England Journal of Medicine,10.481,1231,1675,4193,18286,36456946.0,62168,0.0096834384249131,0.3839732888146911,2108,13.87,10.92,81,Massachussetts Medical Society
Trends in Biochemical Sciences,10.39,309,72,316,4190,2555393.0,3813,0.007343299239444,0.050632911392405,309,11.98,58.19,50,Elsevier Ltd
Nature,10.344,1442,2402,7770,33870,65037681.0,93207,0.0126170781164504,0.4142857142857143,5389,12.08,14.1,157,Nature Research
Nature Neuroscience,10.341,496,277,874,9167,7066645.0,11313,0.0179439582780871,0.1464530892448512,819,12.47,33.09,28,Nature Research
Nature Materials,10.274,583,232,684,5879,5441685.0,9484,0.0140236187262758,0.1769005847953216,613,12.97,25.34,24,Nature Publishing Group
Accounts of Chemical Research,10.191,472,153,311,8084,2815655.0,5125,0.0066341463414634,0.0160771704180064,305,16.06,52.84,58,American Chemical Society
Journal of Economic Literature,10.146,189,20,57,1744,494473.0,448,0.0089285714285714,0.1578947368421052,56,5.89,87.2,32,American Economic Association
Science,10.072,1382,2257,6935,32172,59654613.0,85028,0.0108670085148421,0.3413121845710166,4856,11.46,14.25,145,American Association for the Advancement of Science
Annual Review of Genomics and Human Genetics,10.026,134,16,53,1878,414994.0,722,0.002770083102493,0.0,53,11.75,117.38,25,Annual Reviews Inc.
EMBO Journal,9.889,441,443,1374,21133,12403499.0,13519,0.0201198313484725,0.012372634643377,1371,9.07,47.7,44,Springer Science and Business Media Deutschland GmbH
Journal of Finance,9.87,370,87,268,3777,2350750.0,1524,0.09251968503937,0.1455223880597015,263,5.04,43.41,80,Wiley-Blackwell Publishing Ltd
Critical Reviews in Biochemistry and Molecular Biology,9.838,130,23,44,3530,392100.0,491,0.0040733197556008,0.0227272727272727,43,9.16,153.48,54,Informa Healthcare
Briefings in Bioinformatics,9.737,159,44,101,2442,769769.0,2349,0.0072371221796509,0.2178217821782178,89,4.51,55.5,26,Oxford University Press
Nature Structural and Molecular Biology,9.705,310,225,695,7691,5546200.0,5608,0.0237161198288159,0.1712230215827338,653,7.71,34.18,23,Nature Research
Pharmacological Reviews,9.45,264,16,88,4334,686324.0,1849,0.0037858301784748,0.1022727272727272,85,19.61,270.88,76,Elsevier Inc.
Review of Economic Studies,9.425,177,47,136,1700,1095153.0,476,0.0336134453781512,0.1764705882352941,136,3.15,36.17,93,Oxford University Press
MIS Quarterly: Management Information Systems,9.423,283,35,102,2914,750081.0,1662,0.0499398315282791,0.0196078431372549,96,12.96,83.26,45,Management Information Systems Research Center
JAMA Psychiatry,9.422,417,174,424,7345,3587650.0,7068,0.0275891341256366,0.1084905660377358,400,16.29,42.21,13,American Medical Association
Nature Physics,9.333,349,269,314,4695,2532931.0,2198,0.0282074613284804,0.4426751592356688,272,7.0,17.45,21,Nature Publishing Group
Current Opinion in Genetics and Development,9.319,203,83,287,3918,2345643.0,2919,0.0058239122987324,0.0696864111498257,265,10.21,47.2,35,Elsevier Ltd
Cell Metabolism,9.142,368,120,233,4178,1204884.0,2664,0.0292792792792792,0.1716738197424892,229,11.43,34.82,21,Cell Press
Genome Research,9.062,338,199,651,9705,5607304.0,7820,0.0453964194373401,0.0276497695852534,645,11.83,48.77,35,Cold Spring Harbor Laboratory Press
Nature Medicine,8.955,653,409,1309,7007,10942609.0,15101,0.0061585325475134,0.4056531703590527,947,10.07,17.13,31,Nature Research
Physics Reports,8.866,328,60,204,13502,1564253.0,2973,0.0107635385132862,0.1519607843137254,202,20.61,225.03,55,Elsevier B.V.
Chemical Society Reviews,8.837,673,139,228,11239,1940962.0,3292,0.0121506682867557,0.0570175438596491,220,13.02,80.86,54,Royal Society of Chemistry
Progress in Materials Science,8.796,255,26,51,4317,413331.0,785,0.0089171974522292,0.1568627450980392,50,23.85,166.04,56,Elsevier Ltd
Journal of Cell Biology,8.781,422,557,1392,19843,12323635.0,12203,0.0372859133000081,0.1954022988505747,1385,7.59,35.62,71,Rockefeller University Press
Living Reviews in Relativity,8.781,101,5,29,829,190133.0,421,0.0,0.1034482758620689,29,13.21,165.8,28,Springer International Publishing AG
Progress in Polymer Science,8.616,346,43,99,8387,875910.0,1543,0.01749837977965,0.0606060606060606,95,12.73,195.05,51,Elsevier Ltd
Journal of Clinical Investigation,8.586,558,457,1300,22823,10874439.0,18872,0.0166913946587537,0.0838461538461538,1257,14.66,49.94,81,American Society for Clinical Investigation
Nature Reviews Genetics,8.58,439,213,609,8369,4987675.0,5981,0.0140444741681992,0.5960591133004927,490,9.77,39.29,26,Nature Research
Immunological Reviews,8.468,262,110,365,13307,2665154.0,4330,0.0062355658198614,0.021917808219178,355,11.23,120.97,57,Wiley-Blackwell Publishing Ltd
Plant Cell,8.422,412,296,830,17509,6657435.0,9423,0.0731189642364427,0.0518072289156626,782,10.04,59.15,37,American Society of Plant Biologists
Academy of Management Journal,8.221,396,94,207,5506,1676109.0,1556,0.076478149100257,0.0483091787439613,198,6.33,58.57,50,Academy of Management
Current Opinion in Structural Biology,8.143,223,103,303,4742,2410087.0,3135,0.0149920255183413,0.0891089108910891,268,9.95,46.04,35,Elsevier Ltd
Advances in Physics,8.005,127,10,31,3170,255520.0,289,0.0173010380622837,0.032258064516129,31,9.23,317.0,72,Taylor and Francis Ltd.
Journal of the American College of Cardiology,7.987,512,819,2580,20856,19317623.0,24271,0.0616373449796052,0.213953488372093,1822,9.36,25.47,43,Elsevier Inc.
Ecology Letters,7.969,330,120,421,6475,3136587.0,3933,0.0467836257309941,0.0332541567695962,419,8.59,53.96,28,Wiley-Blackwell Publishing Ltd
Nature Reviews Microbiology,7.949,393,188,590,8236,3595892.0,4331,0.0180096975294389,0.5491525423728814,298,7.39,43.81,23,Nature Research
Trends in Ecology and Evolution,7.933,396,115,371,5306,2894458.0,3852,0.0236240913811007,0.1078167115902965,294,9.51,46.14,40,Elsevier Ltd
Current Opinion in Neurobiology,7.917,256,100,313,5541,2502736.0,3316,0.017189384800965,0.0702875399361022,288,9.84,55.41,35,Elsevier Ltd
Surface Science Reports,7.836,131,12,37,2617,304287.0,471,0.0021231422505307,0.027027027027027,37,13.0,218.08,45,Elsevier B.V.
Reports on Progress in Physics,7.788,259,38,141,8678,1041148.0,1769,0.0045223289994347,0.0425531914893617,141,12.9,228.37,88,IOP Publishing Ltd.
Nature Reviews Drug Discovery,7.774,412,158,818,7071,5956369.0,5391,0.015025041736227,0.6332518337408313,294,7.07,44.75,24,Nature Research
Trends in Neurosciences,7.732,326,81,334,5567,2606989.0,3884,0.0139031925849639,0.059880239520958,319,12.33,68.73,48,Elsevier Ltd
Nature Reviews Neuroscience,7.601,493,200,616,10134,5000030.0,6836,0.0099473376243417,0.6038961038961039,581,10.54,50.67,26,Springer Nature
Journal of Financial Economics,7.436,331,104,242,4349,2071097.0,1178,0.0789473684210526,0.1198347107438016,241,4.31,41.82,52,Elsevier B.V.
Foundations and Trends in Communications and Information Theory,7.432,31,4,9,503,48967.0,126,0.0079365079365079,0.0,9,11.83,125.75,21,Now Publishers Inc
Cytokine and Growth Factor Reviews,7.411,187,54,124,4660,1042676.0,1564,0.0070332480818414,0.064516129032258,117,12.8,86.3,30,Elsevier Ltd
Reviews of Geophysics,7.334,207,25,34,3870,369059.0,362,0.011049723756906,0.0294117647058823,34,7.4,154.8,63,John Wiley and Sons Inc
Journal of Marketing,7.31,296,50,132,3368,1001571.0,1115,0.0717488789237668,0.0757575757575757,128,6.41,67.36,38,American Marketing Association
Journal of Accounting and Economics,7.305,197,34,89,1266,786504.0,357,0.0980392156862745,0.247191011235955,80,4.08,37.24,47,Elsevier B.V.
Aldrichimica Acta,7.279,62,9,21,944,169382.0,244,0.0040983606557377,0.0952380952380952,21,11.86,104.89,34,Aldrich
American Economic Review,7.267,380,193,527,4514,4241921.0,1909,0.0481927710843373,0.2371916508538899,508,2.93,23.39,50,American Economic Association
Trends in Genetics,7.198,253,102,349,5064,2782883.0,3531,0.0158595298782214,0.0458452722063037,337,9.84,49.65,41,Elsevier Ltd
Administrative Science Quarterly,7.194,218,19,52,1852,422571.0,278,0.039568345323741,0.173076923076923,48,4.17,97.47,47,Johnson School at Cornell University
Development (Cambridge),7.193,369,422,1478,23461,11741593.0,11994,0.080707020176755,0.0399188092016238,1464,7.68,55.59,39,Company of Biologists Ltd
Annual Review of Psychology,7.16,298,25,73,3802,581607.0,1289,0.0108611326609775,0.0,73,16.91,152.08,74,Annual Reviews Inc.
"Astrophysical Journal, Supplement Series",7.13,286,165,458,10906,3608109.0,3929,0.0488673962840417,0.1135371179039301,458,7.44,66.1,40,American Astronomical Society
JAMA,7.013,794,1111,3325,16950,25949423.0,31054,0.0161653893218264,0.4848120300751879,1857,8.54,15.26,143,American Medical Association
Nano Letters,6.963,569,691,1507,21807,11822724.0,17318,0.0652500288716941,0.0305242203052422,1502,10.53,31.56,25,American Chemical Society
Organization Science,6.95,294,61,146,4791,1170232.0,997,0.0932798395185556,0.1095890410958904,142,5.07,78.54,30,INFORMS Institute for Operations Research and the Management Sciences
Trends in Immunology,6.946,265,86,318,5039,2489467.0,3553,0.0106951871657754,0.0534591194968553,305,10.26,58.59,31,Elsevier Ltd
PLoS Biology,6.899,316,289,829,12549,5272919.0,8286,0.0120685493603668,0.2340168878166465,796,10.91,43.42,23,Public Library of Science
Journal of Clinical Oncology,6.889,646,1206,3433,32321,25125740.0,36722,0.0537824737214748,0.2155549082435187,2372,10.38,26.8,43,Lippincott Williams and Wilkins
Strategic Management Journal,6.887,351,73,200,5218,1627113.0,1264,0.0719936708860759,0.085,200,4.89,71.48,46,John Wiley and Sons Ltd
Proceedings of the National Academy of Sciences of the United States of America,6.867,896,3603,9917,139574,77992129.0,103873,0.0315962762219248,0.0435615609559342,9498,9.91,38.74,72,National Academy of Sciences
Progress in Lipid Research,6.859,178,16,56,2720,430699.0,865,0.0034682080924855,0.0,56,12.39,170.0,48,Elsevier Ltd
Clinical Microbiology Reviews,6.808,340,31,119,7142,875520.0,2112,0.0056818181818181,0.0,119,18.29,230.39,37,American Society for Microbiology
Ecological Monographs,6.802,179,33,92,3027,709249.0,787,0.0177890724269377,0.0543478260869565,90,8.4,91.73,45,John Wiley &amp; Sons Inc.
American Journal of Human Genetics,6.785,339,249,715,9920,6063912.0,8418,0.0351627464956046,0.0685314685314685,653,10.77,39.84,76,Cell Press
Trends in Cognitive Sciences,6.771,375,87,310,4078,2296825.0,3253,0.0215185982170304,0.1419354838709677,268,9.16,46.87,29,Elsevier Ltd
Molecular and Cellular Biology,6.675,361,728,2691,39175,20127197.0,18880,0.0494173728813559,0.0338164251207729,2691,6.76,53.81,45,Taylor and Francis Ltd.
Circulation,6.534,691,1240,4140,34593,31722834.0,44044,0.0363954227590591,0.2084541062801932,3423,9.47,27.9,76,Lippincott Williams and Wilkins
Progress in Neurobiology,6.53,264,59,140,12008,1166489.0,1872,0.0069444444444444,0.05,139,11.54,203.53,55,Elsevier Ltd
MMWR Recommendations and Reports,6.472,155,9,50,129,392055.0,1115,0.0,0.04,50,25.86,14.33,35,Centers for Disease Control and Prevention (CDC)
Annual Review of Medicine,6.392,182,33,95,2527,727316.0,1363,0.008070432868672,0.0105263157894736,95,15.77,76.58,75,Annual Reviews Inc.
Seminars in Immunology,6.364,153,49,147,4187,1075907.0,1146,0.0095986038394415,0.1088435374149659,129,6.7,85.45,37,Academic Press
Annual Review of Physical Chemistry,6.329,189,28,63,2885,527526.0,693,0.0129870129870129,0.0793650793650793,60,9.55,103.04,39,Annual Reviews Inc.
Current Opinion in Plant Biology,6.324,242,97,299,4991,2239891.0,3206,0.0299438552713661,0.0535117056856187,266,9.95,51.45,28,Elsevier Ltd
Review of Financial Studies,6.306,250,59,119,2501,1059108.0,439,0.0660592255125284,0.1848739495798319,117,3.25,42.39,30,Oxford University Press
Journal of the National Cancer Institute,6.26,394,390,1336,7165,10166484.0,8635,0.0193398957730167,0.4199101796407186,640,6.9,18.37,86,Oxford University Press
Journal of Economic Growth,6.202,103,10,37,429,280990.0,210,0.0142857142857142,0.1621621621621621,37,2.13,42.9,30,Springer New York
Academy of Management Review,6.184,320,66,139,6381,1149157.0,1042,0.0335892514395393,0.0863309352517985,130,6.43,96.68,43,Academy of Management
Circulation Research,6.122,402,422,1242,18636,9532103.0,11417,0.0479110098975212,0.107890499194847,973,8.1,44.16,73,Lippincott Williams and Wilkins
Molecular Biology of the Cell,6.115,250,447,1440,24065,10755879.0,9655,0.0534438114966338,0.0277777777777777,1439,6.35,53.84,36,American Society for Cell Biology
Journal of Neuroscience,6.112,515,1525,3942,78429,31308518.0,34204,0.0857502046544263,0.0337392186707255,3915,8.14,51.43,45,Society for Neuroscience
Acta Numerica,6.085,91,6,19,610,105615.0,149,0.0067114093959731,0.1578947368421052,19,7.43,101.67,33,Cambridge University Press
Current Biology,6.08,376,699,2105,15851,16022610.0,12102,0.027929267889605,0.2484560570071259,1942,5.48,22.68,35,Cell Press
Psychological Bulletin,5.965,379,50,146,9654,1083786.0,1864,0.0139484978540772,0.1164383561643835,145,10.32,193.08,122,American Psychological Association
Physical Review Letters,5.95,723,3691,11853,90809,90341697.0,84558,0.0938290877267674,0.1147388846705475,11562,7.25,24.6,68,American Physical Society
Current Opinion in Immunology,5.931,215,110,340,5492,2636521.0,2916,0.0092592592592592,0.1029411764705882,300,8.95,49.93,38,Elsevier Ltd
Annual Review of Entomology,5.868,239,24,72,3009,542452.0,832,0.0144230769230769,0.0555555555555555,69,12.04,125.38,61,Annual Reviews Inc.
Journal of Accounting Research,5.838,179,36,88,1523,686526.0,300,0.1,0.2159090909090909,80,2.79,42.31,30,Wiley-Blackwell Publishing Ltd
Annals of Mathematics,5.823,145,44,171,1375,1195371.0,539,0.0129870129870129,0.2163742690058479,171,3.26,31.25,30,Department of Mathematics at Princeton University
Annual Review of Phytopathology,5.78,195,1,63,0,398158.0,851,0.0,0.0793650793650793,63,12.38,0.0,39,Annual Reviews Inc.
Astrophysical Journal Letters,5.762,212,0,72,0,398748.0,1095,0.0,0.3333333333333333,72,7.98,0.0,30,American Astronomical Society
Nature Methods,5.716,408,265,635,3620,3754931.0,3919,0.0216892064302117,0.4960629921259842,397,5.99,13.66,22,Nature Research
Human Molecular Genetics,5.667,307,310,1062,16057,7924790.0,9534,0.0331445353471785,0.0367231638418079,1060,8.87,51.8,34,Oxford University Press
Psychological Review,5.646,249,53,150,5146,1104320.0,1365,0.0483516483516483,0.0733333333333333,147,6.73,97.09,132,American Psychological Association
American Political Science Review,5.64,215,57,152,2817,1142526.0,671,0.0387481371087928,0.2302631578947368,149,3.12,49.42,120,Cambridge University Press
RNA,5.636,196,227,605,10816,4437918.0,3725,0.0714093959731543,0.0694214876033057,604,6.2,47.65,31,Cold Spring Harbor Laboratory Press
Quarterly Reviews of Biophysics,5.57,111,8,36,1426,254468.0,281,0.0071174377224199,0.0833333333333333,35,7.39,178.25,57,Cambridge University Press
The Lancet,5.547,936,1634,5143,25471,39453394.0,34527,0.0203608769948156,0.5043748784755979,2008,6.5,15.59,203,Elsevier B.V.
Systematic Biology,5.528,208,78,227,4853,1709133.0,2026,0.1001974333662388,0.0616740088105726,226,7.15,62.22,53,Oxford University Press
MMWR Surveillance Summaries,5.512,119,14,34,0,289026.0,581,0.0,0.0,34,14.61,0.0,22,Centers for Disease Control and Prevention (CDC)
Journal of Climate,5.499,344,367,1072,16450,7757531.0,4994,0.2082498998798558,0.1427238805970149,1050,4.39,44.82,37,American Meteorological Society
Journal of the American Mathematical Society,5.499,116,34,87,997,727416.0,229,0.0087336244541484,0.1724137931034483,87,2.28,29.32,38,American Mathematical Society
Journal of Cell Science,5.475,319,441,1694,23823,11916531.0,11322,0.0329447094152976,0.0779220779220779,1609,6.37,54.02,60,Company of Biologists Ltd
Advanced Materials,5.466,675,740,1569,26382,12635335.0,14658,0.0577159230454359,0.0407903123008285,1561,8.79,35.65,37,Wiley-Blackwell
Blood,5.414,540,1586,4362,57776,32535068.0,38410,0.0777141369435042,0.1366345712975699,3899,8.43,36.43,80,Elsevier B.V.
Trends in Plant Science,5.362,325,90,313,5006,2326175.0,3128,0.0201406649616368,0.0702875399361022,282,9.4,55.62,30,Elsevier Ltd
Traffic,5.354,152,153,335,8224,2605607.0,2169,0.0484094052558782,0.0656716417910447,333,6.29,53.75,25,Blackwell Munksgaard
Diabetes,5.323,379,407,1463,15377,10122800.0,13787,0.0579531442663378,0.0396445659603554,1459,9.07,37.78,74,American Diabetes Association Inc.
Plant Journal,5.32,327,364,947,19583,7143061.0,8000,0.068625,0.0253431890179514,945,7.76,53.8,35,Wiley-Blackwell Publishing Ltd
Journal of Economic Perspectives,5.284,239,47,156,2262,1145855.0,699,0.0171673819742489,0.25,144,3.83,48.13,33,American Economic Association
Annals of Statistics,5.279,202,110,303,2971,2151535.0,914,0.1006564551422319,0.2805280528052805,299,2.16,27.01,29,Institute of Mathematical Statistics
Annals of Internal Medicine,5.265,445,499,1684,10639,12288315.0,10854,0.0,0.4910926365795725,957,6.31,21.32,81,American College of Physicians
National Health Statistics Reports,5.264,83,12,35,0,232423.0,418,0.0,0.1428571428571428,35,6.61,0.0,17,U.S. National Center for Health Statistics
Seminars in Cell and Developmental Biology,5.258,175,99,236,8129,1705847.0,1655,0.0054380664652567,0.1525423728813559,209,6.27,82.11,33,Elsevier Ltd
International Journal of Computer Vision,5.229,232,94,214,3787,1478219.0,2679,0.0231429637924598,0.2383177570093458,205,6.2,40.29,39,Springer Netherlands
Journal of Personality and Social Psychology,5.221,447,138,390,9718,3136557.0,2502,0.0883293365307753,0.0897435897435897,389,5.4,70.42,61,American Psychological Association
Coordination Chemistry Reviews,5.22,329,129,436,16402,3016490.0,4477,0.0212195666741121,0.0619266055045871,420,8.48,127.15,60,Elsevier B.V.
Journal of the American Chemical Society,5.202,734,2949,9809,124937,68653057.0,82514,0.0888697675545968,0.032623101233561,9808,8.22,42.37,147,American Chemical Society
Catalysis Reviews - Science and Engineering,5.165,118,8,26,2143,193207.0,266,0.0075187969924812,0.0384615384615384,26,6.87,267.88,57,Taylor &amp; Francis Group LLC
Recent Progress in Hormone Research,5.155,80,0,19,0,152502.0,267,0.0,0.0,19,0.0,0.0,48,The Endocrine Society
Nature Biotechnology,5.146,531,402,1314,5858,9581725.0,10711,0.0141910185790309,0.4200913242009132,888,7.37,14.57,37,Nature Research
Journal of the Royal Statistical Society. Series B: Statistical Methodology,5.133,159,45,138,1399,1066609.0,495,0.0303030303030303,0.2246376811594203,135,2.77,31.09,29,Oxford University Press
Nucleic Acids Research,5.1,675,1138,3424,45626,25056390.0,26658,0.0841023332583089,0.0858644859813084,3413,7.56,40.09,52,Oxford University Press
Journal of Experimental Psychology: General,5.095,196,41,109,2612,784652.0,825,0.0412121212121212,0.073394495412844,107,5.78,63.71,51,American Psychological Association
Inventiones Mathematicae,5.092,132,63,202,1932,1486417.0,384,0.0416666666666666,0.2821782178217821,202,1.75,30.67,60,Springer New York
Cancer Research,5.09,510,1467,4262,56989,31037003.0,36612,0.0578498852835136,0.0326137963397466,4211,8.15,38.85,85,American Association for Cancer Research Inc.
Journal of Engineering Education,5.077,131,34,112,1229,787074.0,627,0.0893141945773524,0.1517857142857142,100,6.29,36.15,42,Wiley-Blackwell
Cell Death and Differentiation,5.062,271,228,630,9137,4461840.0,4139,0.0367238463396955,0.1285714285714285,497,6.83,40.07,32,Springer Nature
Journal of Biology,5.019,57,9,52,443,414014.0,294,0.0238095238095238,0.4038461538461538,50,6.09,49.22,9,BioMed Central Ltd
American Journal of Respiratory and Critical Care Medicine,4.994,436,487,1565,15608,11440195.0,11636,0.0761430044688896,0.2134185303514377,1068,7.72,32.05,33,American Thoracic Society
Seminars in Cancer Biology,4.987,190,55,162,4496,1189597.0,1316,0.0091185410334346,0.0987654320987654,144,7.7,81.75,36,Academic Press
American Journal of Psychiatry,4.983,405,409,1455,11745,10022826.0,10597,0.0260451071057846,0.2508591065292096,967,6.69,28.72,80,American Psychiatric Association
European Heart Journal,4.98,367,662,1511,16154,10683639.0,9624,0.0440565253532834,0.2806088682991396,983,5.99,24.4,46,Oxford University Press
FEMS Microbiology Reviews,4.905,261,41,127,5578,945393.0,1323,0.0068027210884353,0.0393700787401574,122,9.94,136.05,36,Oxford University Press
PLoS Genetics,4.875,282,223,274,12399,1848396.0,2283,0.0324134910205869,0.072992700729927,265,8.33,55.6,21,Public Library of Science
Brain,4.866,391,320,878,15479,6355215.0,7865,0.0354736172917991,0.0979498861047836,765,8.53,48.37,147,Oxford University Press
Annals of Neurology,4.858,340,207,906,6053,6239631.0,7597,0.0160589706463077,0.1390728476821192,714,7.93,29.24,49,John Wiley &amp; Sons Inc.
Acta Mathematica,4.842,80,10,42,399,271675.0,95,0.0,0.3095238095238095,42,2.0,39.9,133,Springer Netherlands
Personality and Social Psychology Review,4.821,194,18,67,2517,463973.0,434,0.0184331797235023,0.1492537313432835,66,6.63,139.83,29,SAGE Publications Inc.
Quarterly Review of Biology,4.817,92,9,33,1005,212075.0,252,0.0158730158730158,0.303030303030303,32,3.67,111.67,80,University of Chicago Press
Current Opinion in Microbiology,4.807,208,102,308,4279,2238400.0,2386,0.0150880134115674,0.1006493506493506,277,7.59,41.95,28,Elsevier Ltd
JAMA Internal Medicine,4.793,403,446,1293,10867,9500551.0,10060,0.0209741550695825,0.2358855375096674,885,7.37,24.37,13,American Medical Association
Biological Psychiatry,4.782,367,395,1012,19286,7364514.0,9210,0.050271444082519,0.0533596837944664,961,9.04,48.83,57,Elsevier Inc.
American Journal of Sociology,4.769,214,38,111,3848,769301.0,633,0.0331753554502369,0.0990990990990991,109,4.73,101.26,66,University of Chicago
Diabetes Care,4.769,433,792,1992,20061,15217068.0,17352,0.0736514522821576,0.1882530120481927,1530,7.79,25.33,48,American Diabetes Association Inc.
Information Systems Research,4.751,192,27,75,1430,530486.0,544,0.0294117647058823,0.16,73,5.09,52.96,35,INFORMS Institute for Operations Research and the Management Sciences
Molecular Psychiatry,4.751,261,136,429,7527,2996948.0,3738,0.0484216158373461,0.1165501165501165,347,7.97,55.35,30,Springer Nature
Nature Nanotechnology,4.749,444,208,57,4115,922930.0,399,0.0651629072681704,0.3508771929824561,55,7.0,19.78,20,Nature Publishing Group
Accounting Review,4.731,206,45,136,1974,951672.0,487,0.1149897330595482,0.1911764705882352,136,2.72,43.87,30,American Accounting Association
Cerebral Cortex,4.717,287,307,516,18376,4258516.0,3890,0.0634961439588688,0.0329457364341085,514,7.2,59.86,35,Oxford University Press
American Sociological Review,4.711,240,46,134,3512,1150258.0,655,0.0473282442748091,0.1492537313432835,125,4.05,76.35,61,American Sociological Association
Nature Chemical Biology,4.707,272,184,261,4805,1544524.0,1784,0.0252242152466367,0.3371647509578544,228,6.84,26.11,21,Nature Research
Annual Review of Nutrition,4.682,184,23,73,2666,505177.0,868,0.0023041474654377,0.0684931506849315,71,10.35,115.91,44,Annual Reviews Inc.
