Title,SJR,H index,Total Docs. (2007),Total Docs. (3years),Total Refs.,Est. value (USD) (2007),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Reviews of Modern Physics,31.498,399,34,94,8564,1023119.0,3746,0.0037373198077949,0.0319148936170212,94,37.69,251.88,97,American Physical Society
Annual Review of Neuroscience,26.86,269,22,65,3515,664822.0,2358,0.003392705682782,0.0,65,28.97,159.77,47,Annual Reviews Inc.
Cell,25.228,925,543,1378,18786,13790355.0,30792,0.0217588984151727,0.1074020319303338,1286,21.23,34.6,52,Elsevier B.V.
Ca-A Cancer Journal for Clinicians,22.782,223,38,102,1943,991215.0,4107,0.0043827611395178,0.392156862745098,83,46.79,51.13,76,John Wiley and Sons Inc
Nature Immunology,20.217,452,219,643,7906,6223485.0,11232,0.0302706552706552,0.1944012441679626,526,17.2,36.1,26,Nature Research
Physiological Reviews,19.714,401,33,100,16153,962658.0,3748,0.0066702241195304,0.0,100,33.4,489.48,81,American Physiological Society
Nature Genetics,17.931,660,307,893,7439,8211543.0,16438,0.0237863487042219,0.1175811870100783,781,18.42,24.23,34,Nature Research
Genes and Development,17.565,489,298,874,16900,8158744.0,13768,0.0299244625217896,0.017162471395881,873,14.4,56.71,39,Cold Spring Harbor Laboratory Press
Journal of Political Economy,16.31,225,33,137,1145,1116053.0,791,0.0139064475347661,0.1094890510948905,137,5.26,34.7,48,University of Chicago Press
Immunity,15.893,475,187,496,7843,4643788.0,7905,0.0321315623023402,0.0786290322580645,477,14.87,41.94,32,Cell Press
Nature Reviews Molecular Cell Biology,15.614,531,191,590,9136,5300217.0,8567,0.0099217929263452,0.5779661016949152,550,14.9,47.83,26,Nature Research
Nature Cell Biology,15.461,420,229,693,6238,6387386.0,7943,0.0117084225103865,0.2395382395382395,545,11.44,27.24,27,Nature Research
Annual Review of Biophysics,15.261,178,22,59,1973,539097.0,1065,0.012206572769953,0.0677966101694915,58,18.18,89.68,17,Annual Reviews Inc.
