Title,SJR,H index,Total Docs. (2000),Total Docs. (3years),Total Refs.,Est. value (USD) (2000),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Cell,36.711,925,348,1232,16557,4596179.0,42103,0.0212573925848514,0.0089285714285714,1222,31.75,47.58,52,Elsevier B.V.
Annual Review of Neuroscience,22.375,269,25,59,344,275317.0,1472,0.0020380434782608,0.0169491525423728,59,27.35,13.76,47,Annual Reviews Inc.
Genes and Development,22.2,489,281,927,16529,3456556.0,17979,0.034484676567106,0.0064724919093851,926,19.61,58.82,39,Cold Spring Harbor Laboratory Press
Current Opinion in Cell Biology,20.144,284,107,316,5307,1230621.0,6827,0.0125970411600996,0.1044303797468354,295,19.9,49.6,37,Elsevier Ltd
Molecular Cell,18.871,459,247,396,11487,2535062.0,7272,0.0229647964796479,0.0126262626262626,395,18.4,46.51,29,Cell Press
Immunity,18.347,475,149,469,7211,1740412.0,9556,0.0329635830891586,0.0021321961620469,468,21.13,48.4,32,Cell Press
Quarterly Journal of Economics,17.5,322,43,119,1986,465359.0,675,0.0414814814814814,0.0840336134453781,119,4.44,46.19,140,Oxford University Press
Advances in Physics,15.763,127,12,25,2671,107914.0,341,0.0058651026392961,0.16,24,13.0,222.58,72,Taylor and Francis Ltd.
Physiological Reviews,14.786,401,34,107,16982,427334.0,2905,0.0048192771084337,0.0093457943925233,107,24.3,499.47,81,American Physiological Society
Journal of Economic Literature,14.575,189,15,58,1458,153792.0,520,0.0173076923076923,0.0517241379310344,58,8.16,97.2,32,American Economic Association
Nature Genetics,14.412,660,355,1030,7343,3907052.0,19635,0.0149732620320855,0.116504854368932,849,18.97,20.68,34,Nature Research
Microbiology and Molecular Biology Reviews,14.4,287,33,112,8490,379351.0,2394,0.0116959064327485,0.0267857142857142,112,20.96,257.27,28,American Society for Microbiology
Neuron,13.979,548,320,797,14996,3423825.0,11836,0.0602399459276782,0.0627352572145545,741,14.05,46.86,38,Cell Press
Nature Cell Biology,13.365,420,262,171,6921,1406921.0,1927,0.0249091852620653,0.1520467836257309,161,11.27,26.42,27,Nature Research
Science,13.319,1382,2291,7675,34678,24844416.0,79633,0.0141398666382027,0.4596742671009772,4345,10.36,15.14,145,American Association for the Advancement of Science
EMBO Journal,13.298,441,661,2088,33119,7195863.0,28767,0.0375082559877637,0.0119731800766283,2088,13.9,50.1,44,Springer Science and Business Media Deutschland GmbH
Current Opinion in Genetics and Development,12.749,203,98,307,4992,1050208.0,3618,0.0129906025428413,0.1172638436482084,287,12.97,50.94,35,Elsevier Ltd
Annual Review of Plant Biology,12.495,307,18,80,2915,225137.0,1586,0.0138713745271122,0.025,80,16.06,161.94,29,Annual Reviews Inc.
Journal of Cell Biology,12.489,422,565,1538,28352,5482984.0,20428,0.0752888192676718,0.0136540962288686,1533,13.37,50.18,71,Rockefeller University Press
Reviews of Modern Physics,11.985,399,31,160,6153,664266.0,2212,0.0094936708860759,0.11875,160,13.18,198.48,97,American Physical Society
Trends in Biochemical Sciences,11.964,309,171,400,4803,1614958.0,5006,0.0111865761086695,0.17,303,11.48,28.09,50,Elsevier Ltd
