Title,SJR,H index,Total Docs. (2014),Total Docs. (3years),Total Refs.,Est. value (USD) (2014),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Ca-A Cancer Journal for Clinicians,47.751,223,41,107,2851,1197971.0,12099,0.0014877262583684,0.3177570093457944,102,86.25,69.54,76,John Wiley and Sons Inc
Rhinology. Supplement,39.558,5,1,1,0,11111.0,117,0.0,0.0,1,117.0,0.0,11,Internationl Rhinologic Society
Reviews of Modern Physics,36.87,399,35,130,10587,1595500.0,5735,0.0033129904097646,0.0153846153846153,129,32.44,302.49,97,American Physical Society
Nature Reviews Genetics,29.409,439,146,480,8016,4641155.0,9580,0.0107515657620041,0.4083333333333333,223,19.52,54.9,26,Nature Research
Cell,28.505,925,587,1566,28922,15990724.0,44272,0.0182508131550415,0.0977011494252873,1520,26.59,49.27,52,Elsevier B.V.
Nature Reviews Immunology,27.596,486,163,553,8289,5015000.0,8510,0.0098707403055229,0.515370705244123,206,14.13,50.85,25,Nature Research
Quarterly Journal of Economics,27.113,322,40,127,2183,1253492.0,1304,0.0276073619631901,0.0708661417322834,127,8.64,54.58,140,Oxford University Press
Nature Reviews Cancer,24.923,527,158,527,9726,4869902.0,9260,0.0053995680345572,0.4554079696394686,229,16.71,61.56,25,Nature Publishing Group
Nature Reviews Molecular Cell Biology,24.869,531,144,499,8884,4854420.0,7998,0.006626656664166,0.4929859719438877,255,16.42,61.69,26,Nature Research
Nature Genetics,23.98,660,252,935,9766,8675796.0,22133,0.0214159851804997,0.1903743315508021,739,21.22,38.75,34,Nature Research
Journal of Finance,21.42,370,74,192,3508,1911007.0,1705,0.0416422287390029,0.0729166666666666,190,7.03,47.41,80,Wiley-Blackwell Publishing Ltd
Econometrica,20.349,231,61,195,2713,1813283.0,1081,0.0444033302497687,0.082051282051282,187,4.57,44.48,43,Wiley-Blackwell Publishing Ltd
