Title,SJR,H index,Total Docs. (2010),Total Docs. (3years),Total Refs.,Est. value (USD) (2010),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Reviews of Modern Physics,46.419,399,74,118,17959,1442953.0,5774,0.0077935573259438,0.0508474576271186,115,53.81,242.69,97,American Physical Society
Nature Genetics,28.013,660,248,867,6899,8294896.0,24844,0.0232249235227821,0.1072664359861591,784,29.46,27.82,34,Nature Research
Ca-A Cancer Journal for Clinicians,26.968,223,36,110,2410,1129914.0,5960,0.0046979865771812,0.3090909090909091,101,66.03,66.94,76,John Wiley and Sons Inc
Cell,25.629,925,469,1615,18919,15830699.0,37423,0.0131469951634021,0.123219814241486,1529,21.87,40.34,52,Elsevier B.V.
Annual Review of Neuroscience,25.551,269,20,63,3081,626269.0,2157,0.0074177097821047,0.0,63,29.76,154.05,47,Annual Reviews Inc.
Advances in Physics,23.811,127,8,27,3691,255294.0,651,0.0030721966205837,0.037037037037037,25,18.41,461.38,72,Taylor and Francis Ltd.
Physiological Reviews,21.022,401,33,106,15835,999720.0,4336,0.003690036900369,0.0,106,30.67,479.85,81,American Physiological Society
Quarterly Journal of Economics,20.983,322,43,128,1842,1200549.0,1203,0.0199501246882793,0.046875,128,7.65,42.84,140,Oxford University Press
Nature Reviews Molecular Cell Biology,20.477,531,190,576,8814,5464235.0,11059,0.0097658016095487,0.5729166666666666,504,16.55,46.39,26,Nature Research
Nature Immunology,18.629,452,193,646,7696,6069725.0,11104,0.0277377521613832,0.174922600619195,563,16.86,39.88,26,Nature Research
Chemical Reviews,18.613,873,196,520,66218,5049445.0,20373,0.0096696608256025,0.0038461538461538,500,33.07,337.85,102,American Chemical Society
Immunity,18.565,475,196,600,9247,5489628.0,10622,0.0367162492939182,0.1033333333333333,570,18.14,47.18,32,Cell Press
Nature Materials,18.404,583,241,696,5875,6291099.0,15066,0.0092924465684322,0.1824712643678161,597,18.14,24.38,24,Nature Publishing Group
Cancer Cell,16.468,416,147,377,4774,3468132.0,6779,0.0172591827703201,0.1193633952254641,372,16.5,32.48,24,Cell Press
