Title,SJR,H index,Total Docs. (2006),Total Docs. (3years),Total Refs.,Est. value (USD) (2006),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Reviews of Modern Physics,28.649,399,32,100,8492,983640.0,3728,0.0067060085836909,0.0,100,34.87,265.38,97,American Physical Society
Annual Review of Neuroscience,24.278,269,20,69,3357,642648.0,2196,0.0077413479052823,0.0144927536231884,68,32.47,167.85,47,Annual Reviews Inc.
Cell,23.831,925,538,1196,18927,12702204.0,27886,0.0205838054937961,0.0944816053511705,1135,22.58,35.18,52,Elsevier B.V.
Ca-A Cancer Journal for Clinicians,22.277,223,43,95,1857,939370.0,3663,0.0038220038220038,0.3684210526315789,68,51.39,43.19,76,John Wiley and Sons Inc
Nature Immunology,20.283,452,218,659,7943,6232167.0,12417,0.025529515986148,0.1623672230652503,510,18.61,36.44,26,Nature Research
Physiological Reviews,20.104,401,32,101,14426,929220.0,3814,0.0060304142632406,0.0,101,36.18,450.81,81,American Physiological Society
Quarterly Journal of Economics,19.825,322,40,120,1676,1130804.0,902,0.0266075388026607,0.0583333333333333,120,5.49,41.9,140,Oxford University Press
Genes and Development,15.479,489,316,841,18165,8135973.0,13029,0.0317752705503108,0.0071343638525564,840,15.32,57.48,39,Cold Spring Harbor Laboratory Press
Current Opinion in Cell Biology,14.862,284,100,304,5471,2764095.0,4631,0.0123083567264089,0.0592105263157894,282,14.28,54.71,37,Elsevier Ltd
Molecular Cell,14.444,459,349,1024,14441,9319375.0,13620,0.0297356828193832,0.0478515625,1019,12.54,41.38,29,Cell Press
Nature Genetics,14.302,660,304,890,7365,8149128.0,16168,0.0177511133102424,0.1595505617977528,778,17.28,24.23,34,Nature Research
Nature Cell Biology,14.255,420,234,695,6023,6556759.0,7880,0.0120558375634517,0.2460431654676259,519,11.11,25.74,27,Nature Research
Journal of Political Economy,14.003,225,38,141,1241,1156000.0,690,0.0144927536231884,0.1063829787234042,141,4.57,32.66,48,University of Chicago Press
Nature Reviews Molecular Cell Biology,13.834,531,202,602,8439,5349658.0,8449,0.0075748609302876,0.5830564784053156,571,14.12,41.78,26,Nature Research
Nature Reviews Cancer,13.766,527,200,559,9527,4924863.0,9136,0.015323992994746,0.5509838998211091,388,14.07,47.64,25,Nature Publishing Group
Immunity,13.705,475,194,476,7673,4435521.0,7473,0.0278335340559346,0.0630252100840336,471,16.39,39.55,32,Cell Press
Chemical Reviews,13.311,873,195,486,48507,4396617.0,13196,0.0137920581994543,0.0164609053497942,470,27.03,248.75,102,American Chemical Society
Econometrica,13.22,231,59,186,1482,1729818.0,693,0.0591630591630591,0.1720430107526881,172,3.0,25.12,43,Wiley-Blackwell Publishing Ltd
Annual Review of Plant Biology,13.029,307,33,71,4680,655103.0,1583,0.0189513581806696,0.056338028169014,70,21.52,141.82,29,Annual Reviews Inc.
Nature Reviews Immunology,12.624,486,188,528,8546,4709971.0,8125,0.0153846153846153,0.5378787878787878,424,15.5,45.46,25,Nature Research
Cancer Cell,12.358,416,112,405,4153,2686918.0,7172,0.0108756274400446,0.0296296296296296,399,17.4,37.08,24,Cell Press
Endocrine Reviews,12.042,317,35,111,8647,959782.0,3206,0.0077978789769182,0.045045045045045,109,27.34,247.06,46,The Endocrine Society
Annual Review of Microbiology,12.007,220,25,77,3259,675181.0,1314,0.0053272450532724,0.0519480519480519,74,15.57,130.36,74,Annual Reviews Inc.
Journal of Experimental Medicine,11.948,503,291,1080,11949,8845615.0,16864,0.025735294117647,0.0212962962962962,1050,14.9,41.06,128,Rockefeller University Press
