Title,SJR,H index,Total Docs. (2015),Total Docs. (3years),Total Refs.,Est. value (USD) (2015),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Ca-A Cancer Journal for Clinicians,35.501,223,39,114,3501,1227409.0,6304,0.0046002538071065,0.3157894736842105,106,52.23,89.77,76,John Wiley and Sons Inc
Nature Reviews Genetics,32.553,439,127,452,6603,4489008.0,9153,0.0068829891838741,0.4380530973451327,209,17.26,51.99,26,Nature Research
Rhinology. Supplement,30.387,5,0,2,0,11452.0,135,0.0,0.0,2,11.0,0.0,11,Internationl Rhinologic Society
Nature Reviews Molecular Cell Biology,29.354,531,119,470,8204,4508155.0,8905,0.0062886019090398,0.4638297872340425,226,17.43,68.94,26,Nature Research
Cell,27.712,925,620,1684,25822,16960067.0,44245,0.0162504237766979,0.1045130641330166,1618,24.3,41.65,52,Elsevier B.V.
Nature Reviews Immunology,26.399,486,145,532,8090,4940565.0,8091,0.0092695587690025,0.4962406015037593,197,15.05,55.79,25,Nature Research
National Vital Statistics Reports,25.709,120,13,29,458,281265.0,1311,0.022883295194508,0.0344827586206896,29,45.39,35.23,27,"Public Health Services, US Dept of Health and Human Services"
Nature Reviews Cancer,25.056,527,124,497,8643,4625173.0,8983,0.0061226761660915,0.4044265593561368,214,15.61,69.7,25,Nature Publishing Group
"Vital & health statistics. Series 3, Analytical and epidemiological studies / [U.S. Dept. of Health and Human Services, Public Health Service, National Center for Health Statistics]",24.786,5,0,1,0,0.0,58,0.0,0.0,1,0.0,0.0,11,U.S. National Center for Health Statistics
Reviews of Modern Physics,24.493,399,38,126,9432,1328886.0,4768,0.0048238255033557,0.0396825396825396,125,36.43,248.21,97,American Physical Society
Nature Genetics,24.157,660,269,924,10745,8752894.0,22237,0.0223501371587894,0.2067099567099567,735,24.73,39.94,34,Nature Research
Quarterly Journal of Economics,22.572,322,40,121,2374,1238621.0,1285,0.0202334630350194,0.0495867768595041,121,8.49,59.35,140,Oxford University Press
Nature Methods,21.488,408,368,1039,6690,9173871.0,18410,0.0143400325909831,0.3243503368623676,593,13.21,18.18,22,Nature Research
Nature,19.669,1442,2552,7460,44706,71599446.0,116566,0.0106634867800216,0.3785522788203753,4200,14.06,17.52,157,Nature Research
MMWR Recommendations and Reports,19.166,155,4,20,1071,144411.0,693,0.0072150072150072,0.0,20,31.41,267.75,35,Centers for Disease Control and Prevention (CDC)
Nature Nanotechnology,18.842,444,240,669,6829,6097443.0,16582,0.0124834157520202,0.1748878923766816,531,21.71,28.45,20,Nature Publishing Group
Nature Biotechnology,18.263,531,375,1004,5794,9335013.0,13585,0.0147221199852778,0.348605577689243,517,14.53,15.45,37,Nature Research
Chemical Reviews,18.035,873,268,684,112998,6678833.0,33297,0.0103312610745712,0.0116959064327485,668,38.12,421.63,102,American Chemical Society
Physiological Reviews,17.706,401,43,103,19437,1015538.0,3702,0.0035116153430578,0.0,103,37.02,452.02,81,American Physiological Society
Nature Photonics,17.275,404,183,683,5023,5899240.0,16451,0.0130691143395538,0.2767203513909224,502,22.34,27.45,19,Nature Publishing Group
Academy of Management Annals,16.908,119,14,31,3480,310836.0,575,0.008695652173913,0.0,31,16.65,248.57,16,Academy of Management
New England Journal of Medicine,16.591,1231,1575,4602,16848,42505421.0,77030,0.0073867324419057,0.379400260756193,2153,16.66,10.7,81,Massachussetts Medical Society
Annual Review of Neuroscience,16.464,269,21,76,2862,698681.0,1798,0.0033370411568409,0.0131578947368421,75,16.55,136.29,47,Annual Reviews Inc.
Nature Materials,16.382,583,276,822,8268,7477604.0,19811,0.0075715511584473,0.2652068126520681,661,23.47,29.96,24,Nature Publishing Group
Journal of Finance,16.246,370,74,206,3294,1939448.0,1576,0.0260152284263959,0.0728155339805825,202,6.61,44.51,80,Wiley-Blackwell Publishing Ltd
Immunity,16.126,475,251,685,10373,6342196.0,12549,0.0296437963184317,0.1401459854014598,678,19.08,41.33,32,Cell Press
Nature Reviews Microbiology,15.714,393,145,501,7757,4215441.0,6154,0.0082872928176795,0.4890219560878243,242,11.89,53.5,23,Nature Research
The Lancet,14.974,936,1775,5187,25665,45081911.0,41726,0.016728179073,0.5070368228262965,1328,7.41,14.46,203,Elsevier B.V.
Nature Reviews Neuroscience,14.865,493,129,525,9228,4346432.0,6812,0.0068995889606576,0.5561904761904762,277,13.08,71.53,26,Springer Nature
Genome Research,14.278,338,171,614,10544,5420554.0,9718,0.0195513480139946,0.014657980456026,612,12.85,61.66,35,Cold Spring Harbor Laboratory Press
Chemical Society Reviews,14.214,673,371,1249,61159,10521848.0,47179,0.0157061404438415,0.0208166533226581,1236,34.86,164.85,54,Royal Society of Chemistry
Living Reviews in Relativity,14.152,101,3,27,1267,200545.0,794,0.008816120906801,0.0,27,38.56,422.33,28,Springer International Publishing AG
Nature Cell Biology,14.151,420,162,530,7871,5039092.0,8100,0.0139506172839506,0.1264150943396226,491,15.61,48.59,27,Nature Research
The Lancet Oncology,13.951,432,598,1330,9986,11829204.0,16642,0.0180867684172575,0.3962406015037594,508,11.67,16.7,26,Elsevier Ltd
Annual Review of Pathology: Mechanisms of Disease,13.788,156,19,51,3652,494569.0,1315,0.0,0.0196078431372549,51,28.39,192.21,19,Annual Reviews Inc.
Annual Review of Condensed Matter Physics,13.78,96,18,45,1845,362851.0,781,0.0051216389244558,0.0666666666666666,44,18.41,102.5,15,Annual Reviews Inc.
Cancer Cell,13.74,416,173,515,6373,4710084.0,9423,0.011779687997453,0.087378640776699,510,16.38,36.84,24,Cell Press
Econometrica,13.734,231,68,206,2603,1827832.0,1090,0.046788990825688,0.0922330097087378,198,4.84,38.28,43,Wiley-Blackwell Publishing Ltd
Molecular Cell,13.587,459,389,1080,17543,9934729.0,13985,0.0275294958884519,0.1037037037037037,1074,13.09,45.1,29,Cell Press
Nature Neuroscience,13.47,496,309,874,14805,7751010.0,13177,0.0243606283676102,0.1327231121281464,803,15.0,47.91,28,Nature Research
Cell Stem Cell,13.002,316,175,579,6601,5073940.0,8645,0.0363215731636784,0.155440414507772,512,15.0,37.72,19,Cell Press
Nature Physics,12.944,349,288,766,7038,7269691.0,8762,0.014266149280986,0.3537859007832898,514,9.82,24.44,21,Nature Publishing Group
Science,12.872,1382,2022,6234,36469,55278436.0,98459,0.0100752597527905,0.3031761308950914,4777,15.91,18.04,145,American Association for the Advancement of Science
Annual Review of Plant Biology,12.787,307,24,89,3681,742747.0,2322,0.0060292850990525,0.0337078651685393,88,25.1,153.38,29,Annual Reviews Inc.
Annual Review of Psychology,12.781,298,33,71,5121,668585.0,2105,0.0033254156769596,0.028169014084507,69,24.08,155.18,74,Annual Reviews Inc.
Nature Medicine,12.642,653,278,1239,9954,10379974.0,17051,0.0070963579848689,0.2929782082324455,890,14.08,35.81,31,Nature Research
Nature Reviews Drug Discovery,12.019,412,187,657,6637,5256786.0,7028,0.0086795674445076,0.4444444444444444,278,10.52,35.49,24,Nature Research
Cell Metabolism,11.858,368,227,637,9570,5365061.0,9699,0.0227858542117744,0.1130298273155416,623,14.35,42.16,21,Cell Press
The Lancet Neurology,11.799,379,262,714,7958,6164646.0,7693,0.0145586897179253,0.3991596638655462,273,10.73,30.37,24,Elsevier Ltd
Nature Immunology,11.699,452,177,726,7961,6209016.0,8498,0.0212991292068722,0.3539944903581267,599,12.23,44.98,26,Nature Research
Genes and Development,11.598,489,207,702,12706,6113535.0,8436,0.0202702702702702,0.0284900284900284,700,11.33,61.38,39,Cold Spring Harbor Laboratory Press
The Lancet Infectious Diseases,11.595,304,385,901,8332,7728189.0,6290,0.0235294117647058,0.4428412874583796,268,7.21,21.64,25,Elsevier Ltd
Neuron,11.412,548,488,1402,31078,12118166.0,19019,0.047215941952784,0.1105563480741797,1399,12.48,63.68,38,Cell Press
Annual Review of Marine Science,11.289,133,24,64,5115,565773.0,1271,0.012588512981904,0.03125,62,14.95,213.13,17,Annual Reviews Inc.
Nature Structural and Molecular Biology,11.288,310,174,694,7636,5760249.0,7137,0.0152725234692447,0.1786743515850144,672,10.81,43.89,23,Nature Research
Nature Chemistry,11.144,308,202,669,6282,5517966.0,11221,0.0072186079672043,0.1644245142002989,544,17.17,31.1,17,Nature Publishing Group
Microbiology and Molecular Biology Reviews,11.125,287,22,78,4659,621462.0,1413,0.0049539985845718,0.0128205128205128,78,15.86,211.77,28,American Society for Microbiology
Progress in Materials Science,11.083,255,27,72,8864,637785.0,2763,0.0072385088671733,0.0138888888888888,71,36.02,328.3,56,Elsevier Ltd
Advances in Physics,11.059,127,7,17,2448,213666.0,299,0.0033444816053511,0.0588235294117647,16,20.0,349.71,72,Taylor and Francis Ltd.
Trends in Ecology and Evolution,11.059,396,118,363,6072,3155473.0,4546,0.0200175978882534,0.1239669421487603,243,11.95,51.46,40,Elsevier Ltd
Academy of Management Journal,11.053,396,78,223,7732,1830637.0,2293,0.0619276057566506,0.0403587443946188,219,8.06,99.13,50,Academy of Management
Review of Financial Studies,10.873,250,88,274,4335,2538781.0,1347,0.058648849294729,0.1496350364963503,273,4.08,49.26,30,Oxford University Press
Journal of Financial Economics,10.802,331,121,382,5806,3362338.0,2506,0.0594573024740622,0.0654450261780104,379,4.77,47.98,52,Elsevier B.V.
Accounts of Chemical Research,10.775,472,317,855,17374,6789927.0,20467,0.0052767870230126,0.0093567251461988,836,23.31,54.81,58,American Chemical Society
Journal of Experimental Medicine,10.719,503,196,627,8371,5536793.0,8016,0.0121007984031936,0.0574162679425837,593,11.33,42.71,128,Rockefeller University Press
Journal of the American College of Cardiology,10.686,512,1071,2968,21439,25099621.0,28013,0.0450505122621639,0.3359164420485175,1626,9.36,20.02,43,Elsevier Inc.
Journal of Economic Literature,10.637,189,20,68,1921,601877.0,694,0.0086455331412103,0.1617647058823529,68,8.82,96.05,32,American Economic Association
Administrative Science Quarterly,10.532,218,24,60,2294,525490.0,338,0.0355029585798816,0.1333333333333333,55,5.63,95.58,47,Johnson School at Cornell University
Trends in Cognitive Sciences,10.312,375,122,357,7620,2913405.0,4854,0.018953440461475,0.1876750700280112,252,11.91,62.46,29,Elsevier Ltd
Review of Economic Studies,10.291,177,9,176,484,1228315.0,901,0.004439511653718,0.1534090909090909,176,4.03,53.78,93,Oxford University Press
Systematic Biology,10.289,208,83,213,5884,1812953.0,3222,0.0626939788950962,0.0610328638497652,201,8.29,70.89,53,Oxford University Press
Annual Review of Biophysics,10.281,178,15,77,1897,573195.0,1081,0.0009250693802035,0.0519480519480519,74,12.96,126.47,17,Annual Reviews Inc.
Annals of Mathematics,10.191,145,45,168,1569,1462596.0,742,0.0080862533692722,0.119047619047619,168,3.83,34.87,30,Department of Mathematics at Princeton University
Trends in Biochemical Sciences,9.99,309,90,224,6280,1971327.0,2775,0.0054054054054054,0.1116071428571428,202,11.59,69.78,50,Elsevier Ltd
Science Translational Medicine,9.859,303,541,1519,12976,12327769.0,12824,0.0105271366188396,0.4963791968400263,758,7.97,23.99,17,American Association for the Advancement of Science
Energy and Environmental Science,9.783,466,324,1237,23362,9981599.0,31766,0.028898822640559,0.0161681487469684,1225,26.81,72.1,18,Royal Society of Chemistry
Political Analysis,9.622,89,36,89,1496,749797.0,626,0.0591054313099041,0.2359550561797752,83,4.07,41.56,27,Cambridge University Press
Trends in Cell Biology,9.585,271,92,250,8098,2206901.0,3048,0.0078740157480314,0.044,234,11.31,88.02,35,Elsevier Ltd
MMWR Surveillance Summaries,9.575,119,19,111,257,838751.0,1879,0.0010643959552953,0.054054054054054,104,15.71,13.53,22,Centers for Disease Control and Prevention (CDC)
Reports on Progress in Physics,9.324,259,50,185,11513,1468104.0,3400,0.005,0.0216216216216216,185,14.51,230.26,88,IOP Publishing Ltd.
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,9.27,52,14,25,539,224035.0,117,0.0,0.2,25,4.31,38.5,63,Springer Verlag
Nature Climate Change,9.187,296,293,845,8007,5327727.0,9449,0.0313260662503968,0.2378698224852071,554,11.18,27.33,15,Nature Research
Genome Biology,9.167,319,283,717,14637,5909533.0,7542,0.024396711747547,0.1589958158995816,639,10.46,51.72,26,BioMed Central Ltd
Journal of Clinical Oncology,9.146,646,862,2862,24478,24413374.0,32853,0.0335433598149331,0.2526205450733753,1823,11.2,28.4,43,Lippincott Williams and Wilkins
Clinical Microbiology Reviews,9.12,340,37,103,11484,850899.0,2278,0.0083406496927129,0.0097087378640776,103,19.04,310.38,37,American Society for Microbiology
Academy of Management Review,9.056,320,38,111,3631,943531.0,1097,0.0428441203281677,0.072072072072072,97,7.23,95.55,43,Academy of Management
Nature Protocols,9.034,320,141,556,6200,4119559.0,6926,0.0138608143228414,0.0557553956834532,555,10.67,43.97,20,Springer Nature
American Economic Journal: Applied Economics,8.993,117,36,118,1311,966757.0,600,0.0266666666666666,0.1101694915254237,118,4.88,36.42,16,American Economic Association
American Economic Review,8.969,380,244,758,7153,6379083.0,3866,0.036989136057941,0.20844327176781,746,4.41,29.32,50,American Economic Association
Annual Review of Microbiology,8.85,220,27,82,3571,704872.0,1182,0.0016920473773265,0.0609756097560975,81,11.68,132.26,74,Annual Reviews Inc.
Journal of Political Economy,8.835,225,37,97,1702,902382.0,465,0.0021505376344086,0.134020618556701,91,3.93,46.0,48,University of Chicago Press
Pharmacological Reviews,8.793,264,32,98,14357,833103.0,2109,0.0071123755334281,0.0,98,20.53,448.66,76,Elsevier Inc.
American Political Science Review,8.764,215,50,153,3587,1250402.0,963,0.0269989615784008,0.1830065359477124,145,5.21,71.74,120,Cambridge University Press
American Journal of Human Genetics,8.755,339,184,660,7510,5075568.0,7307,0.0307923908580812,0.1227272727272727,582,10.96,40.82,76,Cell Press
Journal of Clinical Investigation,8.747,558,445,1521,23801,12253583.0,19176,0.0103775552774301,0.1025641025641025,1388,11.74,53.49,81,American Society for Clinical Investigation
Molecular Systems Biology,8.685,178,77,204,4336,1919301.0,2203,0.0199727644121652,0.0441176470588235,195,10.55,56.31,21,Springer Science and Business Media Deutschland GmbH
Reviews of Geophysics,8.644,207,29,62,7536,530692.0,1024,0.02734375,0.0161290322580645,62,13.36,259.86,63,John Wiley and Sons Inc
Advanced Materials,8.625,675,988,2722,49290,22003701.0,55131,0.0428434093341314,0.0231447465099191,2696,19.98,49.89,37,Wiley-Blackwell
Trends in Neurosciences,8.582,326,88,238,7801,1971437.0,3313,0.0087533957138545,0.0672268907563025,223,12.56,88.65,48,Elsevier Ltd
Ecology Letters,8.573,330,137,514,7731,3983211.0,6088,0.0254599211563731,0.0136186770428015,508,11.07,56.43,28,Wiley-Blackwell Publishing Ltd
Cell Reports,8.545,246,808,1398,36842,9675874.0,12647,0.0210326559658417,0.01931330472103,1392,8.73,45.6,14,Elsevier B.V.
Nano Letters,8.359,569,1255,3138,52025,26736695.0,49515,0.0534787438150055,0.0207138304652645,3136,15.02,41.45,25,American Chemical Society
Psychological Bulletin,8.354,379,43,178,10337,1358105.0,2628,0.0083713850837138,0.1516853932584269,153,13.0,240.4,122,American Psychological Association
Progress in Polymer Science,8.318,346,53,187,10867,1449257.0,6053,0.0117297207996035,0.0106951871657754,186,28.49,205.04,51,Elsevier Ltd
American Journal of Political Science,8.311,215,66,200,3966,1588005.0,1132,0.0415194346289752,0.085,198,5.58,60.09,32,Wiley-Blackwell Publishing Ltd
Cell Host and Microbe,8.206,255,196,505,7180,4100865.0,5300,0.0249056603773584,0.1485148514851485,500,10.04,36.63,19,Cell Press
Circulation,8.193,691,848,2875,24049,23111516.0,27413,0.0229817969576478,0.3147826086956521,1870,9.36,28.36,76,Lippincott Williams and Wilkins
Molecular Biology and Evolution,8.11,256,278,856,16926,6752869.0,10416,0.029857910906298,0.1261682242990654,801,13.48,60.88,43,Oxford University Press
Progress in Energy and Combustion Science,8.077,243,18,66,3283,525474.0,1785,0.0072829131652661,0.0,66,20.94,182.39,51,Elsevier B.V.
Physics Reports,8.052,328,59,138,18446,1194009.0,3040,0.0055921052631578,0.0144927536231884,138,17.96,312.64,55,Elsevier B.V.
"Vital and health statistics. Series 10, Data from the National Health Survey",8.033,42,0,10,0,56397.0,275,0.0,0.0,10,20.67,0.0,41,"U. S. Department of Health, Education and Welfare, Public Health Service, Health Resources Administration, National Center for Health Statistics"
Nature Chemical Biology,7.984,272,188,548,6940,4564383.0,5665,0.0155339805825242,0.1824817518248175,457,10.2,36.91,21,Nature Research
Annual Review of Economics,7.977,84,24,77,2284,583981.0,344,0.0377906976744186,0.1948051948051948,77,3.07,95.17,15,Annual Reviews Inc.
Trends in Genetics,7.867,253,83,238,7037,1883411.0,2483,0.0064438179621425,0.0588235294117647,210,9.75,84.78,41,Elsevier Ltd
Annual Review of Physical Chemistry,7.783,189,31,85,4195,711915.0,1469,0.0095302927161334,0.0352941176470588,84,14.58,135.32,39,Annual Reviews Inc.
Applied Physics Reviews,7.751,120,30,29,4965,145700.0,449,0.0111358574610244,0.1034482758620689,27,15.48,165.5,12,American Institute of Physics
eLife,7.741,225,982,1001,53774,9303770.0,7561,0.0386192302605475,0.1738261738261738,934,7.53,54.76,14,eLife Sciences Publications Ltd
Cold Spring Harbor Perspectives in Biology,7.723,251,136,437,17973,3606733.0,4812,0.0284704904405652,0.1098398169336384,435,10.73,132.15,17,Cold Spring Harbor Laboratory Press
Journal of Cell Biology,7.718,422,380,1028,18799,8894517.0,8207,0.0359449250639697,0.1994163424124513,877,7.6,49.47,71,Rockefeller University Press
Acta Mathematica,7.702,80,14,48,527,367230.0,179,0.0,0.1041666666666666,48,3.67,37.64,133,Springer Netherlands
FEMS Microbiology Reviews,7.689,261,61,145,11272,1209667.0,2170,0.0059907834101382,0.0551724137931034,136,14.2,184.79,36,Oxford University Press
Advances in Optics and Photonics,7.67,91,16,28,3185,259828.0,421,0.007125890736342,0.0714285714285714,26,15.4,199.06,16,Optica Publishing Group (formerly OSA)
The Lancet Global Health,7.636,153,230,327,3472,2109874.0,1326,0.0324283559577677,0.4036697247706422,76,4.06,15.1,13,Elsevier Ltd
European Urology,7.554,274,531,1593,9897,12107982.0,10388,0.072391220639199,0.4475831763967357,632,6.72,18.64,51,Elsevier B.V.
Trends in Immunology,7.505,265,98,240,7703,2017056.0,2804,0.0128388017118402,0.0375,236,11.32,78.6,31,Elsevier Ltd
Gastroenterology,7.472,482,634,1869,17138,14721026.0,14898,0.0285273191032353,0.4087747458533975,861,7.5,27.03,81,W.B. Saunders
Annual Review of Clinical Psychology,7.466,158,17,75,2186,529279.0,1287,0.0023310023310023,0.0266666666666666,74,15.0,128.59,20,Annual Reviews Inc.
EMBO Journal,7.42,441,249,940,13450,7987294.0,7813,0.0135671317035709,0.1414893617021276,929,7.72,54.02,44,Springer Science and Business Media Deutschland GmbH
Nucleic Acids Research,7.358,675,1374,4242,71791,32234965.0,43202,0.0647423730382852,0.066006600660066,4235,10.31,52.25,52,Oxford University Press
JAMA Psychiatry,7.343,417,216,539,6399,4355654.0,6265,0.0205905826017557,0.2077922077922078,412,10.65,29.63,13,American Medical Association
Current Opinion in Cell Biology,7.342,284,105,325,6878,2645130.0,2880,0.0215277777777777,0.0584615384615384,304,9.85,65.5,37,Elsevier Ltd
The Lancet Diabetes and Endocrinology,7.295,189,252,347,5825,2202912.0,1988,0.0261569416498993,0.4755043227665706,99,5.73,23.12,13,Elsevier Ltd
Developmental Cell,7.294,306,315,823,14244,6886894.0,6663,0.0262644454449947,0.1603888213851761,808,7.71,45.22,25,Cell Press
Journal of Accounting and Economics,7.29,197,37,118,1716,894371.0,699,0.0414878397711015,0.135593220338983,116,4.48,46.38,47,Elsevier B.V.
European Heart Journal,7.264,367,754,1861,16642,14667914.0,16805,0.0511157393632847,0.368081676518001,1264,7.78,22.07,46,Oxford University Press
Personality and Social Psychology Review,7.24,194,17,59,2832,435678.0,717,0.00976290097629,0.0169491525423728,59,9.64,166.59,29,SAGE Publications Inc.
Materials Science and Engineering R: Reports,7.225,182,13,30,4360,261028.0,802,0.0,0.0,30,29.65,335.38,33,Elsevier B.V.
Studies in Mycology,7.213,126,16,34,1482,319684.0,591,0.038917089678511,0.0294117647058823,33,15.32,92.63,28,Westerdijk Fungal Biodiversity Institute
Bulletin of the American Meteorological Society,7.184,244,157,364,6659,2855186.0,3684,0.0385450597176981,0.2664835164835165,353,7.1,42.41,54,American Meteorological Society
Endocrine Reviews,7.184,317,26,83,7741,684070.0,1614,0.0055762081784386,0.0963855421686747,80,15.33,297.73,46,The Endocrine Society
Organization Science,7.151,294,100,292,8440,2396350.0,1701,0.0728982951205173,0.0821917808219178,287,4.48,84.4,30,INFORMS Institute for Operations Research and the Management Sciences
Immunological Reviews,7.093,262,121,321,16507,2679096.0,3539,0.009607233681831,0.0498442367601246,313,10.03,136.42,57,Wiley-Blackwell Publishing Ltd
Journal of the Royal Statistical Society. Series B: Statistical Methodology,7.086,159,40,107,1597,830998.0,543,0.0220994475138121,0.1588785046728972,103,5.05,39.93,29,Oxford University Press
Journal of the European Economic Association,7.047,125,36,167,1811,1168418.0,787,0.0114358322744599,0.1796407185628742,164,4.19,50.31,23,Wiley-Blackwell
Geochemical Perspectives,7.025,16,3,10,994,40288.0,121,0.024793388429752,0.0,10,8.0,331.33,12,European Association of Geochemistry
Annual Review of Genomics and Human Genetics,6.997,134,16,68,2114,506086.0,687,0.0,0.0147058823529411,68,10.17,132.13,25,Annual Reviews Inc.
Aldrichimica Acta,6.944,62,21,24,544,246085.0,258,0.0,0.2916666666666667,19,4.94,25.9,34,Aldrich
"Astrophysical Journal, Supplement Series",6.924,286,221,492,17087,4357591.0,5725,0.0620087336244541,0.0975609756097561,491,11.99,77.32,40,American Astronomical Society
Acta Numerica,6.905,91,4,18,428,126672.0,187,0.0160427807486631,0.0555555555555555,18,10.42,107.0,33,Cambridge University Press
Annual Review of Entomology,6.892,239,33,81,4295,661906.0,1143,0.0104986876640419,0.037037037037037,80,14.85,130.15,61,Annual Reviews Inc.
JAMA,6.892,794,1298,3826,13419,29519368.0,28721,0.0134396434664531,0.4777835859905907,2222,7.07,10.34,143,American Medical Association
Acta Neuropathologica,6.879,227,134,434,8322,3213166.0,4379,0.0580041105275177,0.0622119815668202,362,9.66,62.1,65,Springer Science and Business Media Deutschland GmbH
American Economic Journal: Macroeconomics,6.878,88,35,90,1483,819297.0,379,0.0052770448548812,0.1777777777777777,90,3.34,42.37,16,American Economic Association
Proceedings of the National Academy of Sciences of the United States of America,6.814,896,3726,12455,158949,95532495.0,123410,0.0237663074305161,0.0749096748293857,11194,9.37,42.66,72,National Academy of Sciences
Journal of the American Mathematical Society,6.813,116,26,89,959,719294.0,312,0.0064102564102564,0.1123595505617977,89,3.13,36.88,38,American Mathematical Society
Gut,6.809,364,298,861,11055,6600684.0,8928,0.0282258064516129,0.1939605110336817,575,10.68,37.1,66,BMJ Publishing Group
Journal of the American Chemical Society,6.775,734,2357,8455,130491,64921010.0,116226,0.0602791113864367,0.0140745121230041,8446,13.74,55.36,147,American Chemical Society
Molecular Psychiatry,6.768,261,192,548,11308,4179773.0,5567,0.0357463624932638,0.0875912408759124,406,9.48,58.9,30,Springer Nature
Morbidity and Mortality Weekly Report,6.749,274,323,790,2537,6725630.0,6476,0.0299567634342186,0.2050632911392405,514,8.48,7.85,45,Department of Health and Human Services
Nature Geoscience,6.74,280,262,774,7052,6134756.0,6513,0.0171963764778136,0.2609819121447028,571,8.24,26.92,18,Nature Publishing Group
ACS Nano,6.712,504,1279,3764,64085,29257039.0,55241,0.0464329030973371,0.0244420828905419,3726,14.06,50.11,19,American Chemical Society
Journal of Marketing,6.709,296,37,144,2542,1159562.0,1139,0.0579455662862159,0.0416666666666666,144,5.72,68.7,38,American Marketing Association
