Title,SJR,H index,IPP,SNIP,Total Docs. (2015),Total Docs. (3years),Total Refs.,Est. value (USD) (2015),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Ca-A Cancer Journal for Clinicians,35.501,223,131.191176470588,55.1670460172981,39,114,3501,1227409.0,6304,0.0046002538071065,0.3157894736842105,106,52.23,89.77,76,John Wiley and Sons Inc
Nature Reviews Genetics,32.553,439,38.39,8.58896538154771,127,452,6603,4489008.0,9153,0.0068829891838741,0.4380530973451327,209,17.26,51.99,26,Nature Research
Rhinology. Supplement,30.387,5,26.814401506119594,12.455368479996984,0,2,0,11452.0,135,0.0,0.0,2,11.0,0.0,11,Internationl Rhinologic Society
Nature Reviews Molecular Cell Biology,29.354,531,36.2385321100917,8.24978639924737,119,470,8204,4508155.0,8905,0.0062886019090398,0.4638297872340425,226,17.43,68.94,26,Nature Research
Cell,27.712,925,31.0846645367412,6.36030553275531,620,1684,25822,16960067.0,44245,0.0162504237766979,0.1045130641330166,1618,24.3,41.65,52,Elsevier B.V.
Nature Reviews Immunology,26.399,486,36.5816326530612,8.30553644156265,145,532,8090,4940565.0,8091,0.0092695587690025,0.4962406015037593,197,15.05,55.79,25,Nature Research
National Vital Statistics Reports,25.709,120,42.8823529411765,26.8130849957773,13,29,458,281265.0,1311,0.022883295194508,0.0344827586206896,29,45.39,35.23,27,"Public Health Services, US Dept of Health and Human Services"
Nature Reviews Cancer,25.056,527,36.9575471698113,8.72119266706912,124,497,8643,4625173.0,8983,0.0061226761660915,0.4044265593561368,214,15.61,69.7,25,Nature Publishing Group
"Vital & health statistics. Series 3, Analytical and epidemiological studies / [U.S. Dept. of Health and Human Services, Public Health Service, National Center for Health Statistics]",24.786,5,2.9430115197282487,1.9577975390427338,0,1,0,0.0,58,0.0,0.0,1,0.0,0.0,11,U.S. National Center for Health Statistics
Reviews of Modern Physics,24.493,399,35.8145161290323,15.1241594705888,38,126,9432,1328886.0,4768,0.0048238255033557,0.0396825396825396,125,36.43,248.21,97,American Physical Society
Nature Genetics,24.157,660,27.9605263157895,6.71952246632022,269,924,10745,8752894.0,22237,0.0223501371587894,0.2067099567099567,735,24.73,39.94,34,Nature Research
Quarterly Journal of Economics,22.572,322,9.0495867768595,7.80618938070356,40,121,2374,1238621.0,1285,0.0202334630350194,0.0495867768595041,121,8.49,59.35,140,Oxford University Press
Nature Methods,21.488,408,22.9232209737828,6.05462543297025,368,1039,6690,9173871.0,18410,0.0143400325909831,0.3243503368623676,593,13.21,18.18,22,Nature Research
Nature,19.669,1442,32.9741207697412,8.1672608458635,2552,7460,44706,71599446.0,116566,0.0106634867800216,0.3785522788203753,4200,14.06,17.52,157,Nature Research
MMWR Recommendations and Reports,19.166,155,28.0625,19.5247666626464,4,20,1071,144411.0,693,0.0072150072150072,0.0,20,31.41,267.75,35,Centers for Disease Control and Prevention (CDC)
Nature Nanotechnology,18.842,444,32.3279069767442,7.898973658618,240,669,6829,6097443.0,16582,0.0124834157520202,0.1748878923766816,531,21.71,28.45,20,Nature Publishing Group
Nature Biotechnology,18.263,531,25.8604651162791,5.4911279385426,375,1004,5794,9335013.0,13585,0.0147221199852778,0.348605577689243,517,14.53,15.45,37,Nature Research
Chemical Reviews,18.035,873,44.5697329376855,11.2379418865904,268,684,112998,6678833.0,33297,0.0103312610745712,0.0116959064327485,668,38.12,421.63,102,American Chemical Society
Physiological Reviews,17.706,401,31.9897959183673,9.77883915538049,43,103,19437,1015538.0,3702,0.0035116153430578,0.0,103,37.02,452.02,81,American Physiological Society
Nature Photonics,17.275,404,30.2601431980907,9.94576286124369,183,683,5023,5899240.0,16451,0.0130691143395538,0.2767203513909224,502,22.34,27.45,19,Nature Publishing Group
Academy of Management Annals,16.908,119,13.4193548387097,9.05257680526849,14,31,3480,310836.0,575,0.008695652173913,0.0,31,16.65,248.57,16,Academy of Management
New England Journal of Medicine,16.591,1231,33.4246031746032,12.336816015196,1575,4602,16848,42505421.0,77030,0.0073867324419057,0.379400260756193,2153,16.66,10.7,81,Massachussetts Medical Society
Annual Review of Neuroscience,16.464,269,21.08,6.14681910130598,21,76,2862,698681.0,1798,0.0033370411568409,0.0131578947368421,75,16.55,136.29,47,Annual Reviews Inc.
Nature Materials,16.382,583,34.5402542372881,9.04731575876272,276,822,8268,7477604.0,19811,0.0075715511584473,0.2652068126520681,661,23.47,29.96,24,Nature Publishing Group
Journal of Finance,16.246,370,7.17587939698493,5.68825520398721,74,206,3294,1939448.0,1576,0.0260152284263959,0.0728155339805825,202,6.61,44.51,80,Wiley-Blackwell Publishing Ltd
Immunity,16.126,475,22.8525252525253,4.57686120675421,251,685,10373,6342196.0,12549,0.0296437963184317,0.1401459854014598,678,19.08,41.33,32,Cell Press
Nature Reviews Microbiology,15.714,393,23.6444444444444,5.92185757829525,145,501,7757,4215441.0,6154,0.0082872928176795,0.4890219560878243,242,11.89,53.5,23,Nature Research
The Lancet,14.974,936,18.886572917387277,5.3853824262962435,1775,5187,25665,45081911.0,41726,0.016728179073,0.5070368228262965,1328,7.41,14.46,203,Elsevier B.V.
Nature Reviews Neuroscience,14.865,493,21.5860805860806,5.8665187126417,129,525,9228,4346432.0,6812,0.0068995889606576,0.5561904761904762,277,13.08,71.53,26,Springer Nature
Genome Research,14.278,338,14.4178861788618,2.96473853871738,171,614,10544,5420554.0,9718,0.0195513480139946,0.014657980456026,612,12.85,61.66,35,Cold Spring Harbor Laboratory Press
Chemical Society Reviews,14.214,673,34.6826843413422,7.72696839223092,371,1249,61159,10521848.0,47179,0.0157061404438415,0.0208166533226581,1236,34.86,164.85,54,Royal Society of Chemistry
Living Reviews in Relativity,14.152,101,26.7037037037037,9.98951196903644,3,27,1267,200545.0,794,0.008816120906801,0.0,27,38.56,422.33,28,Springer International Publishing AG
Nature Cell Biology,14.151,420,15.3872340425532,3.27455112483389,162,530,7871,5039092.0,8100,0.0139506172839506,0.1264150943396226,491,15.61,48.59,27,Nature Research
The Lancet Oncology,13.951,432,23.55759949755054,5.771672286841717,598,1330,9986,11829204.0,16642,0.0180867684172575,0.3962406015037594,508,11.67,16.7,26,Elsevier Ltd
Annual Review of Pathology: Mechanisms of Disease,13.788,156,22.1960784313725,5.79772158038751,19,51,3652,494569.0,1315,0.0,0.0196078431372549,51,28.39,192.21,19,Annual Reviews Inc.
Annual Review of Condensed Matter Physics,13.78,96,16.75,5.11222848127912,18,45,1845,362851.0,781,0.0051216389244558,0.0666666666666666,44,18.41,102.5,15,Annual Reviews Inc.
Cancer Cell,13.74,416,23.9406528189911,4.9647236203341,173,515,6373,4710084.0,9423,0.011779687997453,0.087378640776699,510,16.38,36.84,24,Cell Press
Econometrica,13.734,231,4.83838383838384,4.7563690915924,68,206,2603,1827832.0,1090,0.046788990825688,0.0922330097087378,198,4.84,38.28,43,Wiley-Blackwell Publishing Ltd
Molecular Cell,13.587,459,14.0994535519126,2.77801294889538,389,1080,17543,9934729.0,13985,0.0275294958884519,0.1037037037037037,1074,13.09,45.1,29,Cell Press
Nature Neuroscience,13.47,496,15.3267195767196,3.60055532352389,309,874,14805,7751010.0,13177,0.0243606283676102,0.1327231121281464,803,15.0,47.91,28,Nature Research
Cell Stem Cell,13.002,316,20.5409356725146,4.0723027435103,175,579,6601,5073940.0,8645,0.0363215731636784,0.155440414507772,512,15.0,37.72,19,Cell Press
Nature Physics,12.944,349,18.4074941451991,5.64004890211251,288,766,7038,7269691.0,8762,0.014266149280986,0.3537859007832898,514,9.82,24.44,21,Nature Publishing Group
Science,12.872,1382,28.3953237410072,7.65325057233883,2022,6234,36469,55278436.0,98459,0.0100752597527905,0.3031761308950914,4777,15.91,18.04,145,American Association for the Advancement of Science
Annual Review of Plant Biology,12.787,307,23.1477272727273,6.06990203746081,24,89,3681,742747.0,2322,0.0060292850990525,0.0337078651685393,88,25.1,153.38,29,Annual Reviews Inc.
Annual Review of Psychology,12.781,298,24.6666666666667,12.5239422367024,33,71,5121,668585.0,2105,0.0033254156769596,0.028169014084507,69,24.08,155.18,74,Annual Reviews Inc.
Nature Medicine,12.642,653,22.0903522205207,5.11813800650593,278,1239,9954,10379974.0,17051,0.0070963579848689,0.2929782082324455,890,14.08,35.81,31,Nature Research
Nature Reviews Drug Discovery,12.019,412,31.7951807228916,8.19154143591546,187,657,6637,5256786.0,7028,0.0086795674445076,0.4444444444444444,278,10.52,35.49,24,Nature Research
Cell Metabolism,11.858,368,18.254817987152,3.89278248404983,227,637,9570,5365061.0,9699,0.0227858542117744,0.1130298273155416,623,14.35,42.16,21,Cell Press
The Lancet Neurology,11.799,379,19.7200180898289,5.3179296060643955,262,714,7958,6164646.0,7693,0.0145586897179253,0.3991596638655462,273,10.73,30.37,24,Elsevier Ltd
Nature Immunology,11.699,452,17.9082352941176,3.77874297173413,177,726,7961,6209016.0,8498,0.0212991292068722,0.3539944903581267,599,12.23,44.98,26,Nature Research
Genes and Development,11.598,489,10.9457917261056,2.29197306894621,207,702,12706,6113535.0,8436,0.0202702702702702,0.0284900284900284,700,11.33,61.38,39,Cold Spring Harbor Laboratory Press
The Lancet Infectious Diseases,11.595,304,13.164778822964145,3.9864460472501007,385,901,8332,7728189.0,6290,0.0235294117647058,0.4428412874583796,268,7.21,21.64,25,Elsevier Ltd
Neuron,11.412,548,14.9117117117117,3.57472153779,488,1402,31078,12118166.0,19019,0.047215941952784,0.1105563480741797,1399,12.48,63.68,38,Cell Press
Annual Review of Marine Science,11.289,133,18.0645161290323,6.14478006561107,24,64,5115,565773.0,1271,0.012588512981904,0.03125,62,14.95,213.13,17,Annual Reviews Inc.
Nature Structural and Molecular Biology,11.288,310,11.4837545126354,2.4697494589575,174,694,7636,5760249.0,7137,0.0152725234692447,0.1786743515850144,672,10.81,43.89,23,Nature Research
Nature Chemistry,11.144,308,20.4168377823409,4.62559039192931,202,669,6282,5517966.0,11221,0.0072186079672043,0.1644245142002989,544,17.17,31.1,17,Nature Publishing Group
Microbiology and Molecular Biology Reviews,11.125,287,16.1282051282051,4.59517063304802,22,78,4659,621462.0,1413,0.0049539985845718,0.0128205128205128,78,15.86,211.77,28,American Society for Microbiology
Progress in Materials Science,11.083,255,34.0281690140845,15.0245299773009,27,72,8864,637785.0,2763,0.0072385088671733,0.0138888888888888,71,36.02,328.3,56,Elsevier Ltd
