Title,SJR,H index,IPP,SNIP,Total Docs. (2006),Total Docs. (3years),Total Refs.,Est. value (USD) (2006),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Reviews of Modern Physics,28.649,399,34.3535353535354,17.3360824418686,32,100,8492,983640.0,3728,0.0067060085836909,0.0,100,34.87,265.38,97,American Physical Society
Annual Review of Neuroscience,24.278,269,27.4264705882353,7.05736242263129,20,69,3357,642648.0,2196,0.0077413479052823,0.0144927536231884,68,32.47,167.85,47,Annual Reviews Inc.
Cell,23.831,925,22.9990147783251,4.72756699283359,538,1196,18927,12702204.0,27886,0.0205838054937961,0.0944816053511705,1135,22.58,35.18,52,Elsevier B.V.
Ca-A Cancer Journal for Clinicians,22.277,223,57.622641509434,24.5557602732821,43,95,1857,939370.0,3663,0.0038220038220038,0.3684210526315789,68,51.39,43.19,76,John Wiley and Sons Inc
Nature Immunology,20.283,452,22.5010438413361,4.14172948660027,218,659,7943,6232167.0,12417,0.025529515986148,0.1623672230652503,510,18.61,36.44,26,Nature Research
Physiological Reviews,20.104,401,32.4554455445545,10.1508146348342,32,101,14426,929220.0,3814,0.0060304142632406,0.0,101,36.18,450.81,81,American Physiological Society
Quarterly Journal of Economics,19.825,322,6.0,7.07001455186556,40,120,1676,1130804.0,902,0.0266075388026607,0.0583333333333333,120,5.49,41.9,140,Oxford University Press
Genes and Development,15.479,489,13.902380952381,2.59843365240088,316,841,18165,8135973.0,13029,0.0317752705503108,0.0071343638525564,840,15.32,57.48,39,Cold Spring Harbor Laboratory Press
Current Opinion in Cell Biology,14.862,284,14.4859154929577,2.89797275260436,100,304,5471,2764095.0,4631,0.0123083567264089,0.0592105263157894,282,14.28,54.71,37,Elsevier Ltd
Molecular Cell,14.444,459,12.7515657620042,2.49227006375362,349,1024,14441,9319375.0,13620,0.0297356828193832,0.0478515625,1019,12.54,41.38,29,Cell Press
Nature Genetics,14.302,660,21.625,5.00694633374778,304,890,7365,8149128.0,16168,0.0177511133102424,0.1595505617977528,778,17.28,24.23,34,Nature Research
Nature Cell Biology,14.255,420,13.6215139442231,2.64482712415053,234,695,6023,6556759.0,7880,0.0120558375634517,0.2460431654676259,519,11.11,25.74,27,Nature Research
Journal of Political Economy,14.003,225,3.9645390070922,4.74482928625018,38,141,1241,1156000.0,690,0.0144927536231884,0.1063829787234042,141,4.57,32.66,48,University of Chicago Press
Nature Reviews Molecular Cell Biology,13.834,531,13.809963099631,3.0781780431693,202,602,8439,5349658.0,8449,0.0075748609302876,0.5830564784053156,571,14.12,41.78,26,Nature Research
Nature Reviews Cancer,13.766,527,21.1902173913043,4.95219993097984,200,559,9527,4924863.0,9136,0.015323992994746,0.5509838998211091,388,14.07,47.64,25,Nature Publishing Group
Immunity,13.705,475,15.0646651270208,2.8966879821776,194,476,7673,4435521.0,7473,0.0278335340559346,0.0630252100840336,471,16.39,39.55,32,Cell Press
