Title,SJR,H index,IPP,SNIP,Total Docs. (2012),Total Docs. (3years),Total Refs.,Est. value (USD) (2012),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Reviews of Modern Physics,49.268,399,54.1708860759494,22.7575910338113,46,160,13480,1616755.0,9115,0.0058145913329676,0.03125,159,45.99,293.04,97,American Physical Society
Ca-A Cancer Journal for Clinicians,36.872,223,123.064516129032,54.7609281003458,35,109,2848,1092884.0,8823,0.0017001020061203,0.3211009174311927,95,98.86,81.37,76,John Wiley and Sons Inc
Advances in Physics,26.181,127,31.76,12.2509107814305,8,30,3340,271917.0,876,0.002283105022831,0.2,25,30.14,417.5,72,Taylor and Francis Ltd.
Nature Genetics,25.621,660,32.4545454545455,7.13608767023657,341,767,9521,8505087.0,24139,0.0218318903020009,0.0938722294654498,680,28.73,27.92,34,Nature Research
Cell,25.117,925,32.5372507869885,6.93406990298654,538,1488,27484,15424106.0,39424,0.0162084009740259,0.1223118279569892,1407,25.4,51.09,52,Elsevier B.V.
Quarterly Journal of Economics,22.54,322,7.03787878787879,6.42350328868563,41,132,1893,1239154.0,1161,0.0267011197243755,0.0378787878787878,132,7.43,46.17,140,Oxford University Press
Annual Review of Condensed Matter Physics,22.431,96,18.3,6.99893298366466,16,21,1658,102613.0,394,0.0025380710659898,0.0476190476190476,20,18.76,103.63,15,Annual Reviews Inc.
Annual Review of Neuroscience,21.876,269,26.7258064516129,7.43169881876599,27,62,3564,673873.0,1936,0.0041322314049586,0.0,62,24.59,132.0,47,Annual Reviews Inc.
Chemical Reviews,20.653,873,39.365553602812,11.2474423058032,179,584,60545,5270507.0,25112,0.0056944886906658,0.0068493150684931,567,43.09,338.24,102,American Chemical Society
Econometrica,19.953,231,5.05952380952381,5.72132757352961,78,181,2754,1677811.0,980,0.0744897959183673,0.1270718232044199,174,4.54,35.31,43,Wiley-Blackwell Publishing Ltd
Journal of Finance,19.469,370,6.40579710144928,5.17073128621006,64,211,2957,1956239.0,1611,0.0465549348230912,0.0426540284360189,207,6.32,46.2,80,Wiley-Blackwell Publishing Ltd
Physiological Reviews,18.955,401,31.6372549019608,9.92533102384194,39,98,19677,1029363.0,3633,0.0035783099366914,0.0,98,34.49,504.54,81,American Physiological Society
Nature Immunology,18.857,452,21.1444444444444,4.15542663730036,281,618,7627,6391397.0,11535,0.0268747290853922,0.1925566343042071,522,18.64,27.14,26,Nature Research
Nature Reviews Molecular Cell Biology,18.575,531,19.7341463414634,4.52574885213636,161,546,8458,5208379.0,9870,0.0072948328267477,0.5567765567765568,413,15.79,52.53,26,Nature Research
Nature Materials,18.482,583,26.5487571701721,8.16583071973553,288,703,6754,6875314.0,16266,0.0094061232017705,0.1863442389758179,588,21.88,23.45,24,Nature Publishing Group
Nature Reviews Genetics,17.947,439,22.5052356020942,5.06448624247531,149,540,7600,4743098.0,10649,0.0115503803174006,0.4777777777777778,390,19.47,51.01,26,Nature Research
