Title,SJR,H index,IPP,SNIP,Total Docs. (2009),Total Docs. (3years),Total Refs.,Est. value (USD) (2009),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Reviews of Modern Physics,36.88,399,39.2525252525253,19.6356568422135,47,103,14529,1154374.0,4162,0.0064872657376261,0.0485436893203883,100,35.0,309.13,97,American Physical Society
Cell,26.21,925,31.3761755485893,6.52788189356255,550,1603,20673,15683406.0,36942,0.0183260245790698,0.1185277604491578,1517,21.42,37.59,52,Elsevier B.V.
Annual Review of Neuroscience,25.89,269,25.2923076923077,7.03960833556545,18,65,3023,617824.0,1966,0.0045778229908443,0.0,65,27.27,167.94,47,Annual Reviews Inc.
Nature Genetics,24.768,660,30.0572337042925,6.38407178061216,256,915,7106,8399580.0,22434,0.0249621110813943,0.1103825136612021,810,25.42,27.76,34,Nature Research
Physiological Reviews,22.65,401,36.4380952380952,10.8113070454826,33,105,14749,997989.0,4410,0.0045351473922902,0.0,105,41.63,446.94,81,American Physiological Society
Ca-A Cancer Journal for Clinicians,22.215,223,75.5689655172414,34.1592462956318,39,114,2218,1086842.0,5114,0.0039108330074305,0.4385964912280701,106,58.86,56.87,76,John Wiley and Sons Inc
Nature Reviews Molecular Cell Biology,19.519,531,18.7753479125249,4.44350917265269,183,595,8365,5330378.0,10868,0.0077291129922708,0.5647058823529412,527,18.79,45.71,26,Nature Research
Annual Review of Biophysics,18.089,178,18.7846153846154,4.69448886216181,19,66,1818,560651.0,1347,0.0037119524870081,0.0303030303030303,65,19.85,95.68,17,Annual Reviews Inc.
Nature Immunology,17.635,452,16.2703180212014,3.10999202477382,206,658,7395,6159052.0,10507,0.0287427429332825,0.1671732522796352,566,16.69,35.9,26,Nature Research
Quarterly Journal of Economics,17.601,322,6.232,6.80240754396418,43,125,1984,1182806.0,1020,0.0313725490196078,0.04,125,7.4,46.14,140,Oxford University Press
Molecular Cell,17.237,459,13.6095132743363,2.82889836541646,368,1056,15229,9699813.0,14062,0.0360546152752097,0.0634469696969697,1040,13.41,41.38,29,Cell Press
Acta Crystallographica Section A: Foundations and Advances,16.68,92,35.2440476190476,48.0254728810005,49,175,1324,1254982.0,5853,0.0056381342901076,0.4171428571428571,172,46.05,27.02,13,John Wiley &amp; Sons Inc.
Annual Review of Plant Biology,16.31,307,24.3975903614458,8.12419830174358,24,83,3419,683680.0,2329,0.0107342206955775,0.0240963855421686,83,25.4,142.46,29,Annual Reviews Inc.
Nature Cell Biology,16.183,420,13.6795302013423,2.70668953455926,231,686,7008,6340565.0,9360,0.0117521367521367,0.1720116618075801,613,13.38,30.34,27,Nature Research
Immunity,16.015,475,19.5753086419753,3.73255688060307,206,588,9173,5130234.0,9283,0.0399655283852202,0.1071428571428571,548,15.54,44.53,32,Cell Press
Chemical Reviews,15.979,873,29.3960784313725,9.24363044370981,183,532,67000,4656801.0,16656,0.0090658021133525,0.0225563909774436,511,35.65,366.12,102,American Chemical Society
Advances in Physics,15.87,127,16.3,8.14591708552638,9,30,2301,256543.0,544,0.0,0.0333333333333333,30,21.78,255.67,72,Taylor and Francis Ltd.
Progress in Materials Science,15.561,255,20.3461538461538,13.8661035214423,26,53,4775,469376.0,1219,0.0073831009023789,0.0188679245283018,52,17.53,183.65,56,Elsevier Ltd
Nature Materials,15.548,583,18.2902033271719,6.65602790133229,226,704,5983,5988296.0,11873,0.0120441337488419,0.1974431818181818,614,17.55,26.47,24,Nature Publishing Group
Genes and Development,15.51,489,12.3153347732181,2.42757741610668,269,932,14918,8241125.0,12807,0.0227219489341766,0.0300429184549356,931,12.58,55.46,39,Cold Spring Harbor Laboratory Press
Nature,15.185,1442,29.322360953462,8.1840301637232,2384,7340,35610,65482605.0,99929,0.0132093786588477,0.4028610354223433,4904,13.34,14.94,157,Nature Research
Cancer Cell,15.159,416,23.1132075471698,4.55385848999308,133,356,4007,3285721.0,6424,0.0126089663760896,0.0786516853932584,353,17.09,30.13,24,Cell Press
National Vital Statistics Reports,14.828,120,36.19758276760354,29.477660548412832,6,23,0,189745.0,830,0.0,0.0434782608695652,23,35.88,0.0,27,"Public Health Services, US Dept of Health and Human Services"
Current Opinion in Cell Biology,14.272,284,13.2021660649819,2.8452561449893,116,297,7247,2781362.0,4128,0.0072674418604651,0.074074074074074,276,14.07,62.47,37,Elsevier Ltd
Journal of Finance,13.359,370,5.56349206349206,5.0768345636221,81,256,3611,2214090.0,1648,0.0661407766990291,0.078125,251,4.76,44.58,80,Wiley-Blackwell Publishing Ltd
