Title,SJR,H index,IPP,SNIP,Total Docs. (2014),Total Docs. (3years),Total Refs.,Est. value (USD) (2014),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Ca-A Cancer Journal for Clinicians,47.751,223,180.421875,79.1764199601466,41,107,2851,1197971.0,12099,0.0014877262583684,0.3177570093457944,102,86.25,69.54,76,John Wiley and Sons Inc
Rhinology. Supplement,39.558,5,33.336703499965004,22.73354278255013,1,1,0,11111.0,117,0.0,0.0,1,117.0,0.0,11,Internationl Rhinologic Society
Reviews of Modern Physics,36.87,399,42.7906976744186,17.1197016464281,35,130,10587,1595500.0,5735,0.0033129904097646,0.0153846153846153,129,32.44,302.49,97,American Physical Society
Nature Reviews Genetics,29.409,439,37.0845070422535,8.55534801917893,146,480,8016,4641155.0,9580,0.0107515657620041,0.4083333333333333,223,19.52,54.9,26,Nature Research
Cell,28.505,925,32.9888507718696,6.76880660342657,587,1566,28922,15990724.0,44272,0.0182508131550415,0.0977011494252873,1520,26.59,49.27,52,Elsevier B.V.
Nature Reviews Immunology,27.596,486,36.1764705882353,8.30401425543896,163,553,8289,5015000.0,8510,0.0098707403055229,0.515370705244123,206,14.13,50.85,25,Nature Research
Quarterly Journal of Economics,27.113,322,8.7244094488189,7.68689523302341,40,127,2183,1253492.0,1304,0.0276073619631901,0.0708661417322834,127,8.64,54.58,140,Oxford University Press
Nature Reviews Cancer,24.923,527,36.6636771300448,8.69273393675251,158,527,9726,4869902.0,9260,0.0053995680345572,0.4554079696394686,229,16.71,61.56,25,Nature Publishing Group
Nature Reviews Molecular Cell Biology,24.869,531,28.3959183673469,6.41346301580076,144,499,8884,4854420.0,7998,0.006626656664166,0.4929859719438877,255,16.42,61.69,26,Nature Research
Nature Genetics,23.98,660,27.1339915373766,6.25186366015407,252,935,9766,8675796.0,22133,0.0214159851804997,0.1903743315508021,739,21.22,38.75,34,Nature Research
Journal of Finance,21.42,370,7.97860962566845,6.40737802655223,74,192,3508,1911007.0,1705,0.0416422287390029,0.0729166666666666,190,7.03,47.41,80,Wiley-Blackwell Publishing Ltd
Econometrica,20.349,231,5.17741935483871,5.23376030183497,61,195,2713,1813283.0,1081,0.0444033302497687,0.082051282051282,187,4.57,44.48,43,Wiley-Blackwell Publishing Ltd
MMWR Recommendations and Reports,19.912,155,18.8,14.643303817602,6,16,631,136424.0,489,0.0040899795501022,0.0625,16,29.36,105.17,35,Centers for Disease Control and Prevention (CDC)
Annual Review of Neuroscience,19.027,269,22.8513513513514,6.29272738724772,25,75,3210,704212.0,1940,0.0036082474226804,0.0133333333333333,74,21.59,128.4,47,Annual Reviews Inc.
Nature,18.78,1442,31.7043062200957,7.93300998894693,2375,7611,39366,70691238.0,116203,0.0101374319079541,0.3918013401655498,4316,14.82,16.58,157,Nature Research
Physiological Reviews,18.632,401,32.4859813084112,9.56421092644445,30,105,10735,964710.0,3761,0.0021270938580164,0.0095238095238095,105,30.96,357.83,81,American Physiological Society
Chemical Reviews,18.38,873,44.6598984771574,11.3353458192623,289,600,114691,6269944.0,28930,0.0092637400622191,0.0116666666666666,586,48.25,396.85,102,American Chemical Society
Nature Nanotechnology,17.177,444,30.3806146572104,7.98428953190095,248,603,6486,5873185.0,15037,0.0136995411318747,0.1442786069651741,503,21.95,26.15,20,Nature Publishing Group
