Title,SJR,H index,IPP,SNIP,Total Docs. (1999),Total Docs. (3years),Total Refs.,Est. value (USD) (1999),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Cell,43.449,925,34.1393568147014,6.34524311922662,351,1340,15964,2342559.0,48295,0.019235946,0.004477612,1332,34.68,45.48,52,Elsevier B.V.
Annual Review of Neuroscience,25.76,269,26.1186440677966,7.02427842296934,21,60,3419,127273.0,1632,0.011029412,0.0,60,22.79,162.81,47,Annual Reviews Inc.
Genes and Development,25.272,489,18.578231292517,3.08709352342021,298,889,16623,1799712.0,17382,0.03768266,0.004499438,888,18.97,55.78,39,Cold Spring Harbor Laboratory Press
Immunity,22.298,475,20.1461187214612,3.4441108393873,151,438,7770,891122.0,9222,0.044025157,0.0,438,20.47,51.46,32,Cell Press
Current Opinion in Cell Biology,21.691,284,22.4036363636364,4.17273147949455,104,318,5829,610637.0,6603,0.013327275,0.110062893,298,22.57,56.05,37,Elsevier Ltd
Advances in Theoretical and Mathematical Physics,20.965,85,14.6727272727273,9.92938916740366,48,55,1821,280069.0,1225,0.038367347,0.236363636,55,22.27,37.94,28,"International Press, Inc."
Molecular Cell,20.282,459,16.4158415841584,2.83585646191737,193,203,8814,1119253.0,3624,0.022350993,0.02955665,202,17.85,45.67,29,Cell Press
Neuron,18.242,548,15.8344733242134,3.37012856310943,296,757,19449,1683346.0,12495,0.055702281,0.034346103,745,15.68,65.71,38,Cell Press
Physiological Reviews,17.173,401,23.8571428571429,8.42316683427831,43,94,18222,241832.0,2388,0.010887772,0.0,94,23.41,423.77,81,American Physiological Society
Brookings Papers on Economic Activity,16.673,99,6.03225806451613,7.97012573529059,10,31,644,55934.0,204,0.039215686,0.129032258,31,4.9,64.4,31,Brookings Institution Press
Science,16.615,1382,23.1519422481953,6.98301133111384,2240,7753,41400,12521264.0,78780,0.016742828,0.466529086,3956,9.36,18.48,145,American Association for the Advancement of Science
Quarterly Journal of Economics,16.278,322,4.30252100840336,4.89076062812216,40,120,1425,222751.0,604,0.034768212,0.1,120,5.39,35.63,140,Oxford University Press
Nature,15.599,1442,24.5804132973944,7.24414872054949,2550,8538,30670,14089225.0,80940,0.01493699,0.510072617,4369,9.26,12.03,157,Nature Research
Trends in Biochemical Sciences,15.126,309,14.9630872483221,3.37053631600761,129,405,4225,708714.0,5524,0.009413469,0.17037037,323,13.49,32.75,50,Elsevier Ltd
EMBO Journal,15.002,441,13.1263992537313,2.39339683056436,665,2148,35100,3647904.0,29732,0.040595991,0.013035382,2148,13.87,52.78,44,Springer Science and Business Media Deutschland GmbH
Nature Genetics,14.31,660,19.8316831683168,5.19356777032356,363,1014,7572,1973997.0,18355,0.012530646,0.111439842,869,18.17,20.86,34,Nature Research
Journal of Cell Biology,14.107,422,12.440622972096,2.2803990939949,457,1566,25592,2478631.0,20794,0.080648264,0.008301405,1563,13.17,56.0,71,Rockefeller University Press
Annual Review of Plant Biology,13.979,307,18.0987654320988,7.67067830210407,24,82,3636,129950.0,1581,0.013282732,0.048780488,82,17.41,151.5,29,Annual Reviews Inc.
Microbiology and Molecular Biology Reviews,13.69,287,17.252427184466,6.64996000200253,37,104,10337,199570.0,1982,0.010595358,0.009615385,104,18.8,279.38,28,American Society for Microbiology
Reviews of Modern Physics,13.273,399,13.0272727272727,8.29650817083828,94,110,10415,504131.0,1516,0.019129288,0.236363636,110,15.52,110.8,97,American Physical Society
Current Opinion in Genetics and Development,12.947,203,11.2878228782288,2.26161815335021,99,307,5375,528517.0,3272,0.015586797,0.09771987,291,11.15,54.29,35,Elsevier Ltd
Chemical Reviews,12.871,873,19.2114093959732,11.2535342643373,113,299,27326,602602.0,6537,0.011320177,0.023411371,299,20.23,241.82,102,American Chemical Society
Development (Cambridge),12.279,369,9.94488759970993,1.84603602329899,520,1383,27972,2749064.0,14225,0.172231986,0.014461316,1383,10.05,53.79,39,Company of Biologists Ltd
Journal of Experimental Medicine,12.049,503,14.7942617214836,2.79939079041705,400,1478,17985,2107304.0,22971,0.045100344,0.01285521,1432,15.06,44.96,128,Rockefeller University Press
