Title,SJR,H index,IPP,SNIP,Total Docs. (2017),Total Docs. (3years),Total Refs.,Est. value (USD) (2017),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Ca-A Cancer Journal for Clinicians,61.786,223,230.356164383562,91.8450175967689,42,122,3160,1368163.0,16284,0.0016580692704495,0.2622950819672131,107,182.86,75.24,76,John Wiley and Sons Inc
Nature Reviews Genetics,34.896,439,40.4670658682635,8.60204541610609,109,421,7108,4309994.0,7850,0.0114649681528662,0.4441805225653206,167,16.55,65.21,26,Nature Research
MMWR Recommendations and Reports,34.638,155,57.625,35.7594044318211,2,16,184,172265.0,1148,0.0017421602787456,0.0,16,87.6,92.0,35,Centers for Disease Control and Prevention (CDC)
National Vital Statistics Reports,33.557,120,38.3913043478261,21.948326281947,7,32,207,295364.0,1321,0.0068130204390613,0.03125,32,47.44,29.57,27,"Public Health Services, US Dept of Health and Human Services"
Nature Reviews Molecular Cell Biology,32.714,531,42.8465608465608,10.2356754233612,114,406,7552,4207961.0,9184,0.0068597560975609,0.4064039408866995,194,17.33,66.25,26,Nature Research
Quarterly Journal of Economics,29.602,322,10.3166666666667,8.87338271079363,39,120,2161,1211838.0,1435,0.0181184668989547,0.0166666666666666,120,9.31,55.41,140,Oxford University Press
Nature Reviews Immunology,28.786,486,39.8152173913044,9.66100355791057,143,448,8100,4820121.0,8364,0.0084887613582018,0.4620535714285714,184,17.54,56.64,25,Nature Research
Nature Reviews Materials,28.63,215,41.6271186440678,10.1113104316598,89,105,7332,550006.0,2817,0.0081647142350017,0.3142857142857143,59,26.83,82.38,10,Nature Publishing Group
Cell,25.137,925,29.6630769230769,6.01576300882475,528,1872,26155,18145989.0,44577,0.0158601969625591,0.1485042735042735,1711,22.28,49.54,52,Elsevier B.V.
Nature Reviews Cancer,23.53,527,37.586387434555,9.16041091795528,121,389,10019,3967955.0,8086,0.0106356665842196,0.3316195372750642,197,21.56,82.8,25,Nature Publishing Group
Chemical Reviews,23.414,873,51.2394195888755,12.0451712018703,272,848,100639,7750994.0,45246,0.0097246165406886,0.0153301886792452,823,51.08,370.0,102,American Chemical Society
Nature Genetics,22.243,660,25.8843648208469,6.04296974576214,270,751,12127,8044383.0,17627,0.0250751687751744,0.1065246338215712,686,21.78,44.91,34,Nature Research
