Title,SJR,H index,IPP,SNIP,Total Docs. (2013),Total Docs. (3years),Total Refs.,Est. value (USD) (2013),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Genes and Development,14.209,489,12.5248990578735,2.52748163219289,225,747,13622,6744824.0,10516,0.0187333586915176,0.037483266398929,746,13.84,60.54,39,Cold Spring Harbor Laboratory Press
Nature Biotechnology,13.974,531,23.8247126436782,5.36109517390401,332,1036,4938,8993558.0,12498,0.0132821251400224,0.3301158301158301,547,11.45,14.87,37,Nature Research
The Lancet Oncology,13.752,432,15.122113196181493,4.845152925139786,429,995,9389,8527717.0,11752,0.0143805309734513,0.3899497487437185,365,11.5,21.89,26,Elsevier Ltd
Nature Photonics,13.684,404,22.9154228855721,9.39118822375974,231,690,6238,5949709.0,12239,0.0178936187597025,0.3231884057971014,516,17.24,27.0,19,Nature Publishing Group
Review of Financial Studies,13.684,250,5.00920245398773,4.12891685573203,84,331,4074,3026021.0,1897,0.0653663679493937,0.0876132930513595,328,4.64,48.5,30,Oxford University Press
Annual Review of Plant Biology,13.569,307,26.3670886075949,7.85201040902947,33,79,4812,754360.0,2383,0.0113302559798573,0.0,79,21.3,145.82,29,Annual Reviews Inc.
Rhinology. Supplement,13.223,5,35.15798844264396,20.842599380242664,0,3,0,4912.0,129,0.0,0.0,3,77.0,0.0,11,Internationl Rhinologic Society
Neuron,12.809,548,16.0389743589744,3.85845117824563,454,1238,27936,10778869.0,18101,0.0499419921551295,0.0993537964458804,1234,14.03,61.53,38,Cell Press
Chemical Society Reviews,12.697,673,27.2810327706058,6.49010330488646,444,1046,65346,9178181.0,31634,0.0189353227539988,0.02868068833652,1040,30.28,147.18,54,Royal Society of Chemistry
Science,12.41,1382,26.7514409221902,7.75548322765228,2053,6465,35222,57761401.0,96190,0.0103649027965484,0.299922660479505,4635,14.26,17.16,145,American Association for the Advancement of Science
Journal of Experimental Medicine,12.387,503,13.5507936507937,2.95414284482779,211,671,11526,6097375.0,10435,0.0163871586008624,0.0193740685543964,650,15.28,54.63,128,Rockefeller University Press
Journal of Financial Economics,12.299,331,5.56388888888889,4.44148939430757,154,363,7463,3195774.0,2308,0.07842287694974,0.0826446280991735,360,5.2,48.46,52,Elsevier B.V.
Review of Economic Studies,12.2,177,3.75609756097561,3.63955410405548,81,163,3937,1537996.0,673,0.0297176820208023,0.1717791411042944,163,3.8,48.6,93,Oxford University Press
Pharmacological Reviews,12.114,264,22.6593406593407,6.5202581581762,36,91,13930,746661.0,2345,0.0106609808102345,0.0,91,20.88,386.94,76,Elsevier Inc.
The Lancet,12.11,936,11.165999958144237,3.9269281715170052,1714,5169,21456,41784058.0,40679,0.0176012193023427,0.5273747339911008,1315,7.49,12.52,203,Elsevier B.V.
American Economic Journal: Macroeconomics,11.927,88,5.31182795698925,5.36793235120422,36,93,1736,692002.0,578,0.0276816608996539,0.086021505376344,93,4.47,48.22,16,American Economic Association
Nature Neuroscience,11.901,496,14.385989010989,3.59869536858759,295,862,12504,7468206.0,11932,0.019108280254777,0.1287703016241299,824,13.12,42.39,28,Nature Research
Nature Reviews Neuroscience,11.838,493,17.0383480825959,4.63994720204274,157,565,9008,4637452.0,6935,0.0070656092285508,0.6088495575221239,354,10.15,57.38,26,Springer Nature
Trends in Cognitive Sciences,11.544,375,20.2588235294118,6.15368835817397,109,317,6702,2599337.0,4359,0.0144528561596696,0.1829652996845426,209,12.73,61.49,29,Elsevier Ltd
The Lancet Neurology,11.392,379,13.523505375733741,4.354223445566088,247,678,7922,5786796.0,8035,0.0148102053515868,0.3952802359882006,259,11.05,32.07,24,Elsevier Ltd
Academy of Management Review,11.368,320,9.61855670103093,5.60967513892449,43,102,3550,942375.0,1247,0.0481154771451483,0.0588235294117647,97,10.26,82.56,43,Academy of Management
Trends in Biochemical Sciences,11.219,309,13.6118721461187,3.08251184058484,82,229,5711,2025696.0,3335,0.0041979010494752,0.0436681222707423,224,14.52,69.65,50,Elsevier Ltd
Annual Review of Psychology,11.205,298,20.3239436619718,9.6082453676978,21,73,2900,631587.0,1784,0.0028026905829596,0.0273972602739726,71,24.62,138.1,74,Annual Reviews Inc.
Nature Structural and Molecular Biology,11.168,310,11.2401263823065,2.45304475776571,261,759,10400,6586331.0,8002,0.0233691577105723,0.1357048748353096,724,9.41,39.85,23,Nature Research
Physics Reports,11.136,328,24.9911504424779,12.3592648042965,48,112,15705,987254.0,3180,0.0040880503144654,0.0357142857142857,112,25.4,327.19,55,Elsevier B.V.
Living Reviews in Relativity,11.101,101,20.1153846153846,8.48515995530461,9,26,4258,209331.0,551,0.0181488203266787,0.0384615384615384,26,16.84,473.11,28,Springer International Publishing AG
American Economic Journal: Applied Economics,11.033,117,4.34782608695652,4.05519162574068,38,117,1650,765147.0,599,0.023372287145242,0.1111111111111111,115,3.97,43.42,16,American Economic Association
American Political Science Review,10.769,215,5.27692307692308,4.75824557439747,53,139,3762,1126269.0,865,0.0520231213872832,0.1366906474820144,132,5.55,70.98,120,Cambridge University Press
Annual Review of Biophysics,10.759,178,13.830985915493,3.86617409699598,31,72,3158,655689.0,1101,0.0045413260672116,0.0,72,13.34,101.87,17,Annual Reviews Inc.
Trends in Ecology and Evolution,10.756,396,16.4976076555024,5.1831219006709,132,361,6239,3099216.0,4514,0.0239255649091714,0.1440443213296399,222,10.07,47.27,40,Elsevier Ltd
Accounts of Chemical Research,10.742,472,21.2847965738758,4.86541270764617,292,484,14970,4998690.0,11398,0.0050886120371995,0.012396694214876,473,24.32,51.27,58,American Chemical Society
Annual Review of Marine Science,10.664,133,16.6896551724138,5.5255868443081,25,61,2746,440395.0,1182,0.0143824027072758,0.0491803278688524,58,17.91,109.84,17,Annual Reviews Inc.
Progress in Materials Science,10.642,255,24.4406779661017,12.4706525490199,25,61,7508,586054.0,1662,0.0054151624548736,0.0655737704918032,59,27.31,300.32,56,Elsevier Ltd
Microbiology and Molecular Biology Reviews,10.549,287,16.6493506493506,5.05307007686922,26,77,7306,684194.0,1466,0.0020463847203274,0.0,77,16.53,281.0,28,American Society for Microbiology
Reports on Progress in Physics,10.509,259,15.5602409638554,5.87580301470739,61,167,11914,1308014.0,2832,0.0042372881355932,0.0838323353293413,166,16.95,195.31,88,IOP Publishing Ltd.
American Economic Review,10.472,380,4.1867816091954,3.85309725017189,224,759,5742,6029283.0,3550,0.0256338028169014,0.2187088274044795,732,4.03,25.63,50,American Economic Association
Foundations and Trends in Machine Learning,10.454,42,24.6,19.3981220437995,3,10,467,75225.0,412,0.0024271844660194,0.1,10,13.86,155.67,17,Now Publishers Inc
Progress in Polymer Science,10.403,346,30.503355704698,12.1055049514307,62,151,14730,1319507.0,5290,0.0111531190926276,0.0,150,29.71,237.58,51,Elsevier Ltd
Cell Metabolism,10.311,368,15.7486772486772,3.34940360618088,203,534,9456,4405871.0,7067,0.0236309608037356,0.1254681647940075,515,13.35,46.58,21,Cell Press
Nature Methods,10.259,408,13.8246268656716,3.49843920905185,340,968,6108,7911877.0,12861,0.0154731358370266,0.3388429752066115,653,12.58,17.96,22,Nature Research
Trends in Cell Biology,10.238,271,12.0087719298246,2.69522967217893,79,253,6496,2124549.0,3215,0.0087091757387247,0.0513833992094861,239,12.92,82.23,35,Elsevier Ltd
Nature Reviews Microbiology,10.211,393,16.9198717948718,4.60142460087117,173,546,8244,4417155.0,6245,0.0081665332265812,0.5146520146520146,339,10.42,47.65,23,Nature Research
Trends in Neurosciences,10.206,326,13.6263157894737,3.43117814246105,79,201,7671,1782528.0,3045,0.0085385878489326,0.0248756218905472,196,13.88,97.1,48,Elsevier Ltd
American Economic Journal: Economic Policy,10.182,97,3.4639175257732,2.88969316510946,43,97,1886,645999.0,367,0.0463215258855585,0.134020618556701,97,3.21,43.86,16,American Economic Association
Molecular Systems Biology,9.995,178,12.75,3.00114885848208,82,284,5283,2274270.0,3761,0.0255251262961978,0.0528169014084507,273,14.1,64.43,21,Springer Science and Business Media Deutschland GmbH
Annual Review of Microbiology,9.988,220,14.7325581395349,3.85010757579687,31,86,3478,739206.0,1467,0.0061349693251533,0.0465116279069767,86,14.3,112.19,74,Annual Reviews Inc.
Academy of Management Annals,9.964,119,9.125,5.00807014582528,8,40,1794,163744.0,504,0.0218253968253968,0.0,40,11.7,224.25,16,Academy of Management
The Lancet Infectious Diseases,9.868,304,7.238339938029151,3.4720759646548855,295,696,6783,5556221.0,5210,0.0247600767754318,0.3922413793103448,217,7.02,22.99,25,Elsevier Ltd
Journal of Cell Biology,9.702,422,9.86294416243655,2.20513002906759,351,1157,17329,9604099.0,11203,0.0318664643399089,0.1763180639585134,1018,8.48,49.37,71,Rockefeller University Press
Clinical Microbiology Reviews,9.699,340,21.6666666666667,10.214647278802,36,95,9134,809636.0,2371,0.0063264445381695,0.0,87,19.53,253.72,37,American Society for Microbiology
Academy of Management Journal,9.662,396,7.10416666666667,4.06789034182341,79,195,7174,1700645.0,1836,0.0468409586056644,0.0461538461538461,193,6.98,90.81,50,Academy of Management
Journal of Clinical Investigation,9.631,558,13.3401534526854,3.24221042268421,518,1393,26689,11569182.0,17644,0.0134323282702335,0.0933237616654702,1147,12.42,51.52,81,American Society for Clinical Investigation
Reviews of Geophysics,9.544,207,14.2413793103448,6.26690610671545,15,58,3157,429284.0,930,0.0032258064516129,0.0172413793103448,58,11.59,210.47,63,John Wiley and Sons Inc
Nature Medicine,9.439,653,19.9854838709677,4.59912176525052,428,1481,11503,11667611.0,15365,0.0073543768304588,0.3808237677245105,996,11.62,26.88,31,Nature Research
Trends in Genetics,9.409,253,11.0614525139665,2.32270728340745,97,207,6696,1905142.0,2462,0.0117790414297319,0.038647342995169,196,12.62,69.03,41,Elsevier Ltd
Administrative Science Quarterly,9.319,218,5.7843137254902,3.25354500242533,19,56,1733,465174.0,334,0.0389221556886227,0.2142857142857142,51,2.54,91.21,47,Johnson School at Cornell University
Systematic Biology,9.288,208,14.1722222222222,4.85540752387462,63,196,3991,1514410.0,2793,0.0447547440028643,0.0510204081632653,182,11.52,63.35,53,Oxford University Press
Journal of the American College of Cardiology,9.281,512,14.3886554621849,4.89775528489109,1020,2771,26338,23159646.0,25468,0.0769200565415423,0.3345362684951281,1659,9.3,25.82,43,Elsevier Inc.
Developmental Cell,9.151,306,11.0154738878143,2.55914187138982,269,715,11379,6094641.0,6795,0.024429727740986,0.193006993006993,698,8.13,42.3,25,Cell Press
EMBO Journal,9.143,441,9.1473594548552,1.92601322041968,293,1181,13992,9177057.0,11617,0.0118791426357923,0.0711261642675698,1168,9.8,47.75,44,Springer Science and Business Media Deutschland GmbH
Nano Letters,9.081,569,12.8896193771626,3.3731642728082,983,2865,38015,23357136.0,43976,0.055325632162998,0.0198952879581151,2863,14.05,38.67,25,American Chemical Society
