Title,SJR,H index,IPP,SNIP,Total Docs. (2019),Total Docs. (3years),Total Refs.,Est. value (USD) (2019),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Ca-A Cancer Journal for Clinicians,88.192,223,282.671052631579,112.925094440865,35,125,2924,1410476.0,18105,0.0026512013256006,0.248,88,113.1,83.54,76,John Wiley and Sons Inc
MMWR Recommendations and Reports,41.022,155,75.4545454545455,38.6481291460692,4,11,496,120964.0,973,0.0,0.0,11,56.2,124.0,35,Centers for Disease Control and Prevention (CDC)
Nature Reviews Materials,36.691,215,75.476821192053,15.5791484728209,80,287,7672,1663612.0,12689,0.0030735282528174,0.3588850174216028,154,35.93,95.9,10,Nature Publishing Group
Quarterly Journal of Economics,36.22,322,14.5546218487395,11.3762877480309,34,119,2167,1195570.0,1990,0.0115577889447236,0.0084033613445378,118,12.84,63.74,140,Oxford University Press
Nature Reviews Molecular Cell Biology,29.997,531,43.514450867052,10.0440899499307,105,375,7453,3743625.0,8155,0.007602697731453,0.4026666666666667,183,22.66,70.98,26,Nature Research
National Vital Statistics Reports,29.81,120,40.1818181818182,25.6016333322225,16,30,379,361625.0,1203,0.0174563591022443,0.0,30,47.0,23.69,27,"Public Health Services, US Dept of Health and Human Services"
Nature Reviews Genetics,28.619,439,39.9466666666667,9.33829009606206,104,371,7206,3800643.0,6775,0.0069372693726937,0.444743935309973,154,14.93,69.29,26,Nature Research
Cell,24.698,925,35.2533438237608,7.23831637389359,551,1797,32588,18049670.0,47835,0.0130448416431483,0.1263216471897607,1618,26.75,59.14,52,Elsevier B.V.
Reviews of Modern Physics,21.938,399,44.4426229508197,15.9831196583127,41,123,11794,1173699.0,5718,0.0038474991255683,0.048780487804878,121,45.55,287.66,97,American Physical Society
Nature Reviews Cancer,21.287,527,44.0662983425414,9.7804666414629,132,345,7563,3596593.0,8495,0.0067098293113596,0.417391304347826,203,22.26,57.3,25,Nature Publishing Group
Journal of Political Economy,21.239,225,7.40789473684211,5.75590644695712,70,183,3812,1621405.0,1204,0.021594684385382,0.1967213114754098,153,5.01,54.46,48,University of Chicago Press
Chemical Reviews,20.847,873,54.6536458333333,12.7211562484003,225,803,93153,7550353.0,45184,0.0091846671388101,0.0211706102117061,774,51.0,414.01,102,American Chemical Society
MMWR Surveillance Summaries,20.617,119,40.3061224489796,22.3855486105822,12,50,585,436766.0,2262,0.006631299734748,0.06,50,42.47,48.75,22,Centers for Disease Control and Prevention (CDC)
Nature Reviews Immunology,20.611,486,38.1638418079096,8.76759852261024,143,432,8420,4387411.0,7457,0.0053640874346251,0.4467592592592592,186,14.99,58.88,25,Nature Research
Nature Methods,20.148,408,24.7978723404255,6.15343485763094,389,921,6476,9763393.0,13797,0.013408712038849,0.3713355048859935,550,13.66,16.65,22,Nature Research
Nature Genetics,19.795,660,24.5453020134228,6.00100494516741,239,743,10379,7360513.0,15357,0.0242234811486618,0.1386271870794078,645,19.11,43.43,34,Nature Research
Nature Energy,19.635,259,42.5233918128655,7.59415142091297,212,585,5216,3606252.0,17245,0.0097999420121774,0.2991452991452991,404,23.2,24.6,10,Springer Nature
"Vital & health statistics. Series 3, Analytical and epidemiological studies / [U.S. Dept. of Health and Human Services, Public Health Service, National Center for Health Statistics]",19.393,5,5.425875613372405,2.3639648667507887,0,1,0,0.0,68,0.0,0.0,1,0.0,0.0,11,U.S. National Center for Health Statistics
New England Journal of Medicine,18.291,1231,37.7754846779237,13.1836731731441,1447,4539,15159,43058272.0,77509,0.0065153724083654,0.3716677682308879,1848,18.22,10.48,81,Massachussetts Medical Society
Journal of Finance,17.134,370,7.165,5.78314293635735,75,205,3839,2012490.0,1555,0.0398713826366559,0.1024390243902439,204,6.87,51.19,80,Wiley-Blackwell Publishing Ltd
Nature Medicine,15.812,653,28.7230215827338,5.85764539895121,384,808,11033,8112919.0,16085,0.0065278209511967,0.2512376237623762,640,19.61,28.73,31,Nature Research
The Lancet Oncology,15.65,432,6.26889354964519,2.7224124594020314,538,1787,7798,16143776.0,16454,0.0096025282606053,0.4846110800223839,541,7.87,14.49,26,Elsevier Ltd
Nature Reviews Chemistry,15.61,131,31.1764705882353,6.7670732285303,83,192,6916,987128.0,2968,0.0070754716981132,0.453125,102,15.46,83.33,9,Nature Publishing Group
Nature Nanotechnology,15.555,444,32.0310421286031,6.9987179310372,260,727,7168,6974591.0,16235,0.0086233446258084,0.2310866574965612,523,19.86,27.57,20,Nature Publishing Group
Nature Materials,14.862,583,35.2071129707113,7.71162740020772,277,760,8622,7355185.0,19645,0.0060066174599134,0.2052631578947368,603,22.65,31.13,24,Nature Publishing Group
Nature Reviews Neuroscience,14.78,493,29.376404494382,8.17964511409386,147,404,9323,3829031.0,5696,0.0047401685393258,0.5297029702970297,214,12.22,63.42,26,Springer Nature
Econometrica,14.563,231,4.69642857142857,4.43242740596079,60,186,2931,1745938.0,864,0.0289351851851851,0.1666666666666666,169,3.75,48.85,43,Wiley-Blackwell Publishing Ltd
The Lancet,14.554,936,6.770815361328168,2.807004128268926,1574,4734,22282,44152047.0,46109,0.012015007916025,0.4989438107308829,1274,8.39,14.16,203,Elsevier B.V.
Chemical Society Reviews,14.49,673,41.497062279671,8.18359211903667,186,891,39186,7990683.0,37597,0.0069686411149825,0.0179573512906846,865,42.09,210.68,54,Royal Society of Chemistry
Advances in Physics,14.432,127,25.8666666666667,8.34602682609987,4,15,885,136276.0,380,0.0,0.0666666666666666,15,9.67,221.25,72,Taylor and Francis Ltd.
Review of Economic Studies,14.235,177,4.90566037735849,4.28270140583185,74,160,4009,1294787.0,818,0.0134474327628361,0.10625,160,4.4,54.18,93,Oxford University Press
Nature,14.047,1442,34.1023544800523,8.72316391470289,2516,9136,43070,79962077.0,113759,0.0081575963220492,0.4892732049036777,4525,11.63,17.12,157,Nature Research
American Economic Review,13.773,380,5.81937602627258,4.64887069630667,117,645,6290,5259182.0,4048,0.0269268774703557,0.1875968992248062,632,5.7,53.76,50,American Economic Association
Nature Neuroscience,13.723,496,18.9910233393178,4.42733471567507,233,682,11035,6681214.0,10838,0.0179922494925262,0.1818181818181818,629,14.51,47.36,28,Nature Research
Nature Photonics,13.614,404,31.8429003021148,10.1794274512302,216,569,6056,5329275.0,12144,0.0129281949934123,0.2987697715289982,406,19.83,28.04,19,Nature Publishing Group
Nature Reviews Microbiology,13.16,393,29.7564766839378,7.99068730931471,172,438,7737,4188106.0,6414,0.0085749922045525,0.4931506849315068,235,12.77,44.98,23,Nature Research
Science,13.11,1382,31.2527027027027,7.79403276771892,3085,7680,39795,68721081.0,107242,0.0091661848902482,0.4641927083333333,4506,11.76,12.9,145,American Association for the Advancement of Science
Energy and Environmental Science,13.024,466,29.7648428405122,4.66341749014148,272,867,21732,7766337.0,28644,0.0190964949029465,0.0103806228373702,861,30.77,79.9,18,Royal Society of Chemistry
Review of Financial Studies,12.837,250,5.51681957186544,4.28458787932355,125,322,6752,2850186.0,1923,0.0431617264690587,0.1335403726708074,322,4.67,54.02,30,Oxford University Press
Academy of Management Annals,12.595,119,13.7428571428571,6.76110730343003,23,71,5376,583196.0,1184,0.0135135135135135,0.056338028169014,69,14.3,233.74,16,Academy of Management
Nature Biotechnology,12.565,531,26.7139037433155,5.92046180711936,356,1013,7221,9775347.0,11966,0.0152097609894701,0.40177690029615,668,10.62,20.28,37,Nature Research
Nature Reviews Disease Primers,12.268,210,36.6330935251799,13.548350390541,85,217,8161,1506093.0,6052,0.0009914077990746,0.1751152073732718,171,22.54,96.01,11,Nature Publishing Group
Journal of Financial Economics,11.999,331,6.1731843575419,4.53993146699596,134,358,6850,3249230.0,2434,0.057518488085456,0.0670391061452514,358,5.99,51.12,52,Elsevier B.V.
Immunity,11.977,475,22.2233201581028,4.30732230552314,250,747,14920,6754858.0,11810,0.0288738357324301,0.1659973226238286,730,13.75,59.68,32,Cell Press
Cancer Cell,11.909,416,25.0712328767123,5.05816191226143,149,535,7042,4560231.0,9329,0.012112766641655,0.114018691588785,532,17.27,47.26,24,Cell Press
Journal of Labor Economics,11.572,136,4.61157024793388,3.90085283761163,50,123,2147,1064412.0,630,0.0396825396825396,0.1544715447154471,121,3.48,42.94,37,University of Chicago Press
Administrative Science Quarterly,11.493,218,7.98484848484848,3.78382805671147,29,73,3136,656688.0,642,0.0482866043613707,0.1232876712328767,65,8.5,108.14,47,Johnson School at Cornell University
The Lancet Neurology,11.258,379,6.541157833944839,2.749241535495236,245,836,5011,7050151.0,7603,0.0114428515059844,0.485645933014354,266,8.27,20.45,24,Elsevier Ltd
Academy of Management Journal,11.19,396,8.58362989323843,3.9995400747761,76,280,7778,2229263.0,2983,0.0472678511565538,0.0178571428571428,280,8.36,102.34,50,Academy of Management
Nature Catalysis,11.104,162,23.0578512396694,4.16787758144088,184,187,6316,954870.0,2907,0.0213278293773649,0.2994652406417112,135,15.55,34.33,8,Nature Publishing Group
Molecular Cell,11.075,459,14.7157894736842,2.99256477070682,415,1155,23676,10442181.0,14949,0.0380627466720181,0.0995670995670995,1146,12.71,57.05,29,Cell Press
Annual Review of Plant Biology,10.836,307,19.9358974358974,5.47356130853384,29,78,4825,694266.0,1775,0.0078873239436619,0.0256410256410256,78,21.16,166.38,29,Annual Reviews Inc.
Cell Metabolism,10.81,368,21.93125,4.6148235431747,235,702,13104,6056030.0,11789,0.0254474510136567,0.1253561253561253,659,14.72,55.76,21,Cell Press
Living Reviews in Relativity,10.803,101,32.1875,6.98315010855694,6,16,2346,127214.0,534,0.0037453183520599,0.0625,16,34.29,391.0,28,Springer International Publishing AG
American Economic Journal: Applied Economics,10.788,117,5.416,4.24991095161215,46,125,2410,1057993.0,771,0.0194552529182879,0.032,125,5.63,52.39,16,American Economic Association
Advanced Materials,10.571,675,25.3173413293353,3.98995976969708,1327,4083,109914,32454553.0,109535,0.0383439083398,0.0232672054861621,3985,26.81,82.83,37,Wiley-Blackwell
Annual Review of Neuroscience,10.311,269,12.0555555555556,3.38955162930163,23,72,3046,620416.0,956,0.00418410041841,0.0,72,13.28,132.43,47,Annual Reviews Inc.
Annual Review of Psychology,10.232,298,20.4324324324324,9.07548308031357,32,76,4245,743625.0,1833,0.0049099836333878,0.0263157894736842,74,20.23,132.66,74,Annual Reviews Inc.
Physiological Reviews,10.153,401,22.9915254237288,6.68080913020397,39,124,22696,1124728.0,2992,0.0050133689839572,0.032258064516129,118,22.98,581.95,81,American Physiological Society
Journal of Clinical Oncology,10.054,646,17.6682063125481,5.50540551278469,539,2216,13245,18461212.0,25118,0.0193884863444541,0.3280685920577617,1346,11.51,24.57,43,Lippincott Williams and Wilkins
Journal of the American College of Cardiology,9.989,512,15.640312771503,5.80558050857762,959,3023,23133,26002192.0,21702,0.0465855681504008,0.3827323850479656,1163,7.36,24.12,43,Elsevier Inc.
Nature Chemistry,9.927,308,20.3884297520661,4.3328867028324,196,661,6494,5531742.0,10682,0.0073956187979779,0.1573373676248109,567,15.44,33.13,17,Nature Publishing Group
Nature Cell Biology,9.916,420,14.7602739726027,3.06692469099703,177,537,9416,4679702.0,6415,0.0124707716289945,0.217877094972067,467,11.03,53.2,27,Nature Research
Nature Reviews Clinical Oncology,9.882,238,28.130890052356,6.33112441372684,172,582,7157,4529051.0,6237,0.0094596761263427,0.506872852233677,285,11.57,41.61,17,Nature Publishing Group
Journal of Economic Literature,9.677,189,6.13541666666667,6.01194480359611,21,96,2615,687052.0,700,0.0042857142857142,0.28125,96,7.22,124.52,32,American Economic Association
Neuron,9.527,548,13.9076376554174,3.38624713530411,455,1503,27217,12656240.0,16842,0.0435815223845149,0.1550232867598137,1487,10.66,59.82,38,Cell Press
Advanced Energy Materials,9.513,355,22.5923207227555,2.98302231175191,615,1807,37669,13662980.0,44218,0.0372698900900085,0.018262313226342,1765,24.81,61.25,15,John Wiley and Sons Inc
Trends in Cell Biology,9.496,271,16.7207207207207,3.54425483599715,91,279,7753,2369600.0,4136,0.006769825918762,0.1003584229390681,262,13.85,85.2,35,Elsevier Ltd
Genome Biology,9.479,319,12.2444089456869,2.82592120448465,286,698,15569,6506638.0,8503,0.0258732212160414,0.1146131805157593,652,9.35,54.44,26,BioMed Central Ltd
Journal of Statistical Software,9.444,187,14.8755186721992,8.62730040018418,52,241,2512,1989359.0,3853,0.0080456786919283,0.2365145228215767,241,15.26,48.31,29,University of California at Los Angeles
Reviews of Geophysics,9.345,207,21.8028169014085,7.25398599284978,32,75,10168,673725.0,1668,0.0107913669064748,0.0533333333333333,71,21.75,317.75,63,John Wiley and Sons Inc
Cell Stem Cell,9.34,316,19.5190615835777,4.03792613416832,186,614,8846,5154418.0,7574,0.0240295748613678,0.2198697068403908,546,11.53,47.56,19,Cell Press
Joule,9.34,221,23.5728155339806,4.20865088763307,270,326,12271,2510175.0,5882,0.037062223733424,0.1809815950920245,275,18.04,45.45,9,Cell Press
The Lancet Diabetes and Endocrinology,9.337,189,6.397469699211465,2.7043071044868197,203,689,3878,5720144.0,5019,0.0185295875672444,0.420899854862119,210,8.27,19.1,13,Elsevier Ltd
Nature Immunology,9.283,452,18.84,3.72773108079028,259,692,7929,6000523.0,8190,0.017094017094017,0.3569364161849711,604,9.3,30.61,26,Nature Research
Genome Research,9.245,338,10.3208661417323,2.59437126353909,179,510,11057,4508895.0,5444,0.0213078618662748,0.0392156862745098,506,10.81,61.77,35,Cold Spring Harbor Laboratory Press
World Psychiatry,9.239,153,22.2027027027027,8.676206609988,99,292,2923,2303335.0,2530,0.0521739130434782,0.1472602739726027,75,8.66,29.53,19,Wiley-Blackwell
Psychological Bulletin,9.231,379,18.5078125,8.41091396363228,41,138,8781,1108304.0,2688,0.0066964285714285,0.036231884057971,128,19.99,214.17,122,American Psychological Association
Nature Physics,9.128,349,17.7992565055762,5.21761456409114,328,902,8032,7858472.0,10906,0.013570511644966,0.2727272727272727,624,11.66,24.49,21,Nature Publishing Group
The Lancet Infectious Diseases,9.04,304,5.385123533808715,2.529387726759875,446,1358,8578,11194556.0,10074,0.0199523525908278,0.3689248895434462,466,6.81,19.23,25,Elsevier Ltd
Nucleic Acids Research,8.907,675,12.5386254661694,3.92781456405244,1260,3849,65620,31929196.0,48574,0.0469592786264256,0.0828786697843595,3841,11.35,52.08,52,Oxford University Press
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,8.89,52,4.16,4.93254837308174,10,25,497,236298.0,110,0.009090909090909,0.0,25,4.63,49.7,63,Springer Verlag
Nature Structural and Molecular Biology,8.792,310,10.4609929078014,2.27899021384624,168,500,7811,4322878.0,4640,0.0116379310344827,0.148,458,9.08,46.49,23,Nature Research
Personnel Psychology,8.77,175,8.44615384615385,4.54750939393175,22,69,2311,525324.0,623,0.0321027287319422,0.072463768115942,66,6.83,105.05,78,Wiley-Blackwell
Journal of Economic Perspectives,8.761,239,10.1395348837209,8.76211081481991,45,145,2710,1142402.0,1776,0.009572072072072,0.1586206896551724,141,13.36,60.22,33,American Economic Association
Nano Futures,8.711,25,12.0,1.94230148247927,17,56,2226,84360.0,183,0.0,0.2678571428571428,3,3.27,130.94,9,Institute of Physics Publishing
Accounts of Chemical Research,8.693,472,19.5823466092573,3.88996446567483,332,946,18923,8148547.0,19387,0.0056223242378913,0.0243128964059196,927,19.38,57.0,58,American Chemical Society
Clinical Microbiology Reviews,8.664,340,20.6451612903226,7.48498436367892,36,97,9498,864522.0,2204,0.0040834845735027,0.0515463917525773,95,22.79,263.83,37,American Society for Microbiology
Journal of Marketing,8.626,296,9.21678321678322,4.55476493274919,47,147,3515,1125318.0,1638,0.0402930402930402,0.0612244897959183,143,6.19,74.79,38,American Marketing Association
Journal of the American Mathematical Society,8.581,116,4.74666666666667,5.65842690321532,20,75,1097,609888.0,417,0.0119904076738609,0.0933333333333333,75,6.11,54.85,38,American Mathematical Society
Annual Review of Condensed Matter Physics,8.574,96,14.9827586206897,4.47606195091583,22,58,2662,505868.0,956,0.0125523012552301,0.0517241379310344,58,15.69,121.0,15,Annual Reviews Inc.
Annual Review of Pathology: Mechanisms of Disease,8.508,156,16.5932203389831,4.34336011206999,20,59,3054,509398.0,1077,0.0,0.0508474576271186,59,17.89,152.7,19,Annual Reviews Inc.
Progress in Energy and Combustion Science,8.477,243,31.9620253164557,12.0936950129756,31,83,9662,633247.0,2916,0.0113168724279835,0.0120481927710843,82,32.33,311.68,51,Elsevier B.V.
Strategic Management Journal,8.43,351,6.3411214953271,3.11511610829349,91,439,7323,3180920.0,3234,0.0742115027829313,0.1047835990888382,427,6.36,80.47,46,John Wiley and Sons Ltd
European Urology,8.192,274,15.0410256410256,5.68697107372972,496,1556,8237,12693024.0,10764,0.0505388331475288,0.4530848329048843,587,6.46,16.61,51,Elsevier B.V.
Molecular Biology and Evolution,8.162,256,17.0847913862719,9.10176534073745,236,843,15382,6560423.0,13175,0.01707779886148,0.1553973902728351,772,10.29,65.18,43,Oxford University Press
Acta Neuropathologica,8.158,227,16.1981707317073,4.77141996365852,139,405,8839,3275617.0,6179,0.0305874737012461,0.0543209876543209,326,11.26,63.59,65,Springer Science and Business Media Deutschland GmbH
Progress in Materials Science,8.137,255,30.8926174496644,10.6557519508737,54,149,22297,1149514.0,5097,0.0088287227781047,0.0,149,35.13,412.91,56,Elsevier Ltd
Physics Reports,8.069,328,29.0641025641026,10.4817644897019,51,159,16466,1300875.0,4885,0.0051177072671443,0.0251572327044025,158,26.34,322.86,55,Elsevier B.V.
ACS Energy Letters,8.057,223,15.9605963791267,2.15809830061843,401,1025,18493,5827421.0,17374,0.049211465408081,0.0556097560975609,962,17.33,46.12,10,American Chemical Society
The Lancet Global Health,8.055,153,5.2102229979010914,2.4924716604162587,362,866,6227,7113854.0,4631,0.0272079464478514,0.3741339491916859,238,5.72,17.2,13,Elsevier Ltd
Science Immunology,8.014,123,6.158001578498743,2.733106671477214,105,241,5231,983956.0,2317,0.0159689253344842,0.2199170124481327,217,9.09,49.82,10,American Association for the Advancement of Science
Annual Review of Organizational Psychology and Organizational Behavior,7.999,86,10.5087719298246,5.57348477315761,19,59,2030,183522.0,760,0.0197368421052631,0.0508474576271186,57,12.41,106.84,12,Annual Reviews Inc.
Trends in Biochemical Sciences,7.974,309,16.3301886792453,3.71177956070396,104,308,7302,2522591.0,3890,0.0105398457583547,0.1461038961038961,285,10.54,70.21,50,Elsevier Ltd
Nature Microbiology,7.922,157,14.2030905077263,3.40789881832154,295,658,13525,3347950.0,6913,0.0198177347027339,0.2173252279635258,527,9.73,45.85,10,Nature Research
