Title,SJR,H index,IPP,SNIP,Total Docs. (2004),Total Docs. (3years),Total Refs.,Est. value (USD) (2004),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Reviews of Modern Physics,27.131,399,33.9405940594059,17.9610737213447,29,101,8420,923883.0,3631,0.0046819058110713,0.0198019801980198,101,34.65,290.34,97,American Physical Society
Cell,25.704,925,24.06,4.85060986114766,394,1068,15830,11254081.0,28177,0.01607694218689,0.0290262172284644,1054,26.05,40.18,52,Elsevier B.V.
Annual Review of Neuroscience,23.016,269,27.421686746988,7.19296456571665,26,84,3863,798180.0,2506,0.0055865921787709,0.0119047619047619,83,24.02,148.58,47,Annual Reviews Inc.
Physiological Reviews,21.42,401,35.6538461538462,10.7189573158268,35,104,15778,975421.0,4082,0.0051445369916707,0.0,104,36.67,450.8,81,American Physiological Society
Quarterly Journal of Economics,19.343,322,5.87704918032787,7.09255580528775,40,122,1548,1133940.0,917,0.034896401308615,0.0573770491803278,122,6.63,38.7,140,Oxford University Press
Nature Immunology,17.013,452,21.3864541832669,3.9152252251264,215,705,7764,4973246.0,12292,0.0291246339082329,0.1787234042553191,531,16.9,36.11,26,Nature Research
Genes and Development,16.983,489,15.2978971962617,2.82351117703577,275,859,15453,8151214.0,14513,0.02811272652105,0.0069848661233993,857,16.07,56.19,39,Cold Spring Harbor Laboratory Press
Molecular Cell,16.775,459,14.3062645011601,2.6335734545872,363,897,15144,8477973.0,13574,0.031530867835568,0.0367892976588628,891,14.76,41.72,29,Cell Press
Nature Cell Biology,16.146,420,16.2512820512821,3.00173244519804,224,777,5629,6899917.0,10654,0.0122019898629622,0.1969111969111969,623,13.25,25.13,27,Nature Research
Current Opinion in Cell Biology,15.019,284,16.2985611510791,3.23444934370699,100,309,5336,2883331.0,5039,0.0115102202818019,0.0744336569579288,280,15.04,53.36,37,Elsevier Ltd
Nature Reviews Cancer,14.414,527,20.0,4.43699745959392,193,391,9207,2764167.0,6922,0.0143022247905229,0.4961636828644501,309,16.95,47.7,25,Nature Publishing Group
Ca-A Cancer Journal for Clinicians,13.972,223,36.8627450980392,18.2462678763671,27,105,1637,851370.0,2197,0.0095584888484296,0.4571428571428571,70,25.17,60.63,76,John Wiley and Sons Inc
Nature Genetics,13.814,660,21.8510638297872,5.294061025739,286,979,6946,8776861.0,17451,0.0121483009569652,0.1818181818181818,894,18.26,24.29,34,Nature Research
Immunity,13.011,475,14.7526427061311,2.7548532146333,159,491,7437,4419652.0,7782,0.0303263942431251,0.0244399185336048,487,15.61,46.77,32,Cell Press
"Vital and health statistics. Series 11, Data from the National Health Survey",12.97,13,23.0,15.1835697568914,0,2,0,8834.0,50,0.0,0.0,2,25.0,0.0,27,U.S. National Center for Health Statistics
Pharmacological Reviews,12.836,264,26.2608695652174,8.31170402042141,21,74,6688,626736.0,2048,0.00341796875,0.027027027027027,72,23.35,318.48,76,Elsevier Inc.
Neuron,11.766,548,12.1672384219554,2.76892427538986,393,1231,18950,10229965.0,15851,0.049902214371333,0.0917952883834281,1221,12.66,48.22,38,Cell Press
Journal of Finance,11.732,370,4.64367816091954,4.4825307831581,93,262,3273,2323058.0,1407,0.1037668798862828,0.1259541984732824,261,4.93,35.19,80,Wiley-Blackwell Publishing Ltd
Microbiology and Molecular Biology Reviews,11.643,287,16.55,5.50010028148058,34,80,7824,786197.0,1495,0.0053511705685618,0.0,80,18.19,230.12,28,American Society for Microbiology
