Title,SJR,H index,IPP,SNIP,Total Docs. (2007),Total Docs. (3years),Total Refs.,Est. value (USD) (2007),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Reviews of Modern Physics,31.498,399,37.2365591397849,19.761092250986,34,94,8564,1023119.0,3746,0.0037373198077949,0.0319148936170212,94,37.69,251.88,97,American Physical Society
Annual Review of Neuroscience,26.86,269,30.6615384615385,8.840788161432,22,65,3515,664822.0,2358,0.003392705682782,0.0,65,28.97,159.77,47,Annual Reviews Inc.
Cell,25.228,925,25.1357649442756,5.18798275568013,543,1378,18786,13790355.0,30792,0.0217588984151727,0.1074020319303338,1286,21.23,34.6,52,Elsevier B.V.
Ca-A Cancer Journal for Clinicians,22.782,223,65.4363636363636,28.4632013883635,38,102,1943,991215.0,4107,0.0043827611395178,0.392156862745098,83,46.79,51.13,76,John Wiley and Sons Inc
Nature Immunology,20.217,452,20.0121951219512,3.88794638295218,219,643,7906,6223485.0,11232,0.0302706552706552,0.1944012441679626,526,17.2,36.1,26,Nature Research
Physiological Reviews,19.714,401,32.54,10.1173912769903,33,100,16153,962658.0,3748,0.0066702241195304,0.0,100,33.4,489.48,81,American Physiological Society
Nature Genetics,17.931,660,21.8088962108731,4.94959849960547,307,893,7439,8211543.0,16438,0.0237863487042219,0.1175811870100783,781,18.42,24.23,34,Nature Research
Genes and Development,17.565,489,13.9564719358534,2.69596122092167,298,874,16900,8158744.0,13768,0.0299244625217896,0.017162471395881,873,14.4,56.71,39,Cold Spring Harbor Laboratory Press
Journal of Political Economy,16.31,225,4.71532846715328,5.70987820405105,33,137,1145,1116053.0,791,0.0139064475347661,0.1094890510948905,137,5.26,34.7,48,University of Chicago Press
Immunity,15.893,475,16.8722358722359,3.33614393969837,187,496,7843,4643788.0,7905,0.0321315623023402,0.0786290322580645,477,14.87,41.94,32,Cell Press
Nature Reviews Molecular Cell Biology,15.614,531,14.112810707457,3.13220054082577,191,590,9136,5300217.0,8567,0.0099217929263452,0.5779661016949152,550,14.9,47.83,26,Nature Research
Nature Cell Biology,15.461,420,12.9831460674157,2.56001036278361,229,693,6238,6387386.0,7943,0.0117084225103865,0.2395382395382395,545,11.44,27.24,27,Nature Research
Annual Review of Biophysics,15.261,178,15.7758620689655,4.06297463816951,22,59,1973,539097.0,1065,0.012206572769953,0.0677966101694915,58,18.18,89.68,17,Annual Reviews Inc.
Chemical Reviews,15.142,873,24.2425447316103,9.08834054997367,173,522,53205,4545466.0,13665,0.0071716062934504,0.0191570881226053,504,22.81,307.54,102,American Chemical Society
Quarterly Journal of Economics,14.79,322,5.30833333333333,6.60493694121791,44,120,1761,1159759.0,771,0.0389105058365758,0.0416666666666666,120,4.94,40.02,140,Oxford University Press
Molecular Cell,14.755,459,11.9430051813472,2.45045463901975,359,1049,15056,9559463.0,13141,0.0338634807092306,0.0438512869399428,1043,11.94,41.94,29,Cell Press
Annual Review of Plant Biology,14.274,307,20.4666666666667,6.36153784527008,20,77,2479,644998.0,1860,0.0075268817204301,0.0519480519480519,76,21.13,123.95,29,Annual Reviews Inc.
Nature Reviews Immunology,14.196,486,18.5549597855228,4.13764697271472,201,501,8971,4818189.0,7790,0.0100128369704749,0.5069860279441117,396,12.97,44.63,25,Nature Research
Current Opinion in Cell Biology,13.888,284,12.8790035587189,2.73247026675425,97,299,5018,2740849.0,4085,0.0100367197062423,0.0735785953177257,278,13.48,51.73,37,Elsevier Ltd
Journal of Experimental Medicine,13.089,503,14.2674772036474,2.90256808324712,310,1009,13195,8795878.0,15891,0.0280662009942734,0.0356788899900891,997,16.2,42.56,128,Rockefeller University Press
Cancer Cell,12.992,416,18.0267558528428,3.74411470354768,121,382,4392,3335176.0,6601,0.0172701105893046,0.0471204188481675,379,17.08,36.3,24,Cell Press
Materials Science and Engineering R: Reports,12.374,182,24.04115628553666,7.8558371519985535,6,40,1957,301941.0,1001,0.0,0.025,40,18.84,326.17,33,Elsevier B.V.
Microbiology and Molecular Biology Reviews,12.015,287,16.7157894736842,5.11547249324533,24,96,6378,767591.0,1841,0.0108636610537751,0.0104166666666666,95,15.76,265.75,28,American Society for Microbiology
